ACCESSION: LQA00315
RECORD_TITLE: PI(16:0/16,17-EpDPE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PI(16:0/16,17-EpDPE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C47H79O14P
CH$EXACT_MASS: 899.111
CH$SMILES: CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC1OC1C\C=C/CC
CH$IUPAC: InChI=1S/C47H79O14P/c1-3-5-7-8-9-10-11-12-16-19-22-25-29-33-40(48)57-35-37(36-58-62(55,56)61-47-45(53)43(51)42(50)44(52)46(47)54)59-41(49)34-30-26-23-20-17-14-13-15-18-21-24-28-32-39-38(60-39)31-27-6-4-2/h6,14-15,17-18,23-24,26-28,37-39,42-47,50-54H,3-5,7-13,16,19-22,25,29-36H2,1-2H3,(H,55,56)/b17-14-,18-15-,26-23-,27-6-,28-24-
CH$LINK: INCHIKEY YWINRZWIJRZTLR-GZZYVGRFSA-N
CH$LINK: PUBCHEM CID:134782870
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 897.5134677
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-0002-0010000090-789b4efa70cac7a5ac17
PK$NUM_PEAK: 347
PK$PEAK: m/z int. rel.int.
  343.2075 10 11
  343.2127 23 26
  343.2153 18 20
  343.2179 28 31
  343.2205 25 28
  343.2231 20 22
  343.2257 28 31
  343.2284 23 26
  343.231 25 28
  343.2336 18 20
  343.2362 13 14
  343.2388 18 20
  343.2415 20 22
  343.244 8 9
  391.1981 18 20
  391.2009 8 9
  391.2037 8 9
  391.2065 15 17
  391.2093 15 17
  391.212 23 26
  391.2148 36 40
  391.2176 43 48
  391.2204 28 31
  391.2232 51 57
  391.226 23 26
  391.2288 51 57
  391.2316 51 57
  391.2344 18 20
  391.2372 33 37
  391.24 28 31
  391.2427 10 11
  391.2455 15 17
  391.2483 5 6
  409.2112 5 6
  409.2368 5 6
  409.2397 5 6
  409.2426 5 6
  417.2363 5 6
  479.195 5 6
  479.1981 5 6
  479.2074 8 9
  479.2105 5 6
  479.2136 5 6
  479.2228 8 9
  479.2259 8 9
  479.229 10 11
  479.2321 5 6
  479.2352 5 6
  479.2444 5 6
  497.2422 5 6
  523.9804 5 6
  551.5281 5 6
  553.2359 5 6
  553.2426 5 6
  553.2459 13 14
  553.2492 10 11
  553.2525 23 26
  553.2559 25 28
  553.2592 33 37
  553.2625 36 40
  553.2658 46 51
  553.2691 25 28
  553.2725 46 51
  553.2758 23 26
  553.2791 31 34
  553.2824 41 46
  553.2857 48 53
  553.289 23 26
  553.2924 56 62
  553.2957 18 20
  553.299 28 31
  553.3023 15 17
  553.3056 15 17
  553.309 8 9
  553.3123 5 6
  553.3156 8 9
  553.3256 5 6
  571.2618 13 14
  571.2651 8 9
  571.2685 8 9
  571.2719 10 11
  571.2753 18 20
  571.2786 10 11
  571.282 13 14
  571.2853 15 17
  571.2888 13 14
  571.2921 13 14
  571.2955 31 34
  571.2988 8 9
  571.3022 23 26
  571.3056 5 6
  571.309 8 9
  571.3123 10 11
  571.3224 5 6
  571.3258 8 9
  641.2429 5 6
  641.2572 8 9
  641.2607 10 11
  641.2643 13 14
  641.2679 10 11
  641.2715 18 20
  641.275 13 14
  641.2786 10 11
  641.2822 10 11
  641.2858 18 20
  641.2894 10 11
  641.2929 5 6
  641.2965 10 11
  641.3 5 6
  641.3036 5 6
  641.3215 8 9
  735.4482 5 6
  823.5238 5 6
  837.5687 5 6
  850.5549 5 6
  850.5714 8 9
  894.636 5 6
  894.6402 5 6
  894.6486 5 6
  894.657 5 6
  894.6655 5 6
  894.6782 5 6
  894.6951 8 9
  894.7035 8 9
  894.7288 5 6
  894.733 5 6
  897.2672 5 6
  897.415 10 11
  897.4193 15 17
  897.4235 10 11
  897.4277 13 14
  897.4319 15 17
  897.4362 25 28
  897.4404 47 52
  897.4446 89 99
  897.4489 38 42
  897.4531 46 51
  897.4573 51 57
  897.4615 93 103
  897.4658 62 69
  897.47 185 205
  897.4742 195 216
  897.4785 263 292
  897.4827 354 393
  897.4869 444 493
  897.4911 476 528
  897.4954 615 683
  897.4996 681 756
  897.5038 776 861
  897.5081 766 850
  897.5123 824 915
  897.5165 793 880
  897.5208 900 999
  897.525 879 976
  897.5292 841 934
  897.5334 782 868
  897.5377 768 852
  897.5419 731 811
  897.5461 628 697
  897.5504 517 574
  897.5546 415 461
  897.5588 382 424
  897.563 295 327
  897.5673 290 322
