  761.4572 24 12
  761.4611 24 12
  761.465 24 12
  761.4688 24 12
  761.4727 36 18
  761.4766 24 12
  761.4804 24 12
  761.4843 60 30
  761.4882 24 12
  761.492 12 6
  761.4959 12 6
  761.4998 12 6
  761.5075 12 6
  761.5153 12 6
  769.478 12 6
  769.4818 12 6
  769.5013 12 6
  785.4568 12 6
  785.4686 12 6
  787.4903 12 6
  787.4943 12 6
  813.5009 12 6
  813.5409 12 6
  829.8918 12 6
  829.8999 24 12
  829.912 12 6
  829.9403 12 6
  832.2531 12 6
  832.3219 12 6
  832.415 12 6
  832.4838 12 6
  832.4918 35 17
  832.4999 23 11
  832.504 11 5
  832.5081 180 89
  832.5121 93 46
  832.5161 167 83
  832.5202 196 97
  832.5242 336 167
  832.5283 623 309
  832.5323 838 416
  832.5364 929 461
  832.5404 1321 656
  832.5444 1835 911
  832.5485 1474 732
  832.5526 2012 999
  832.5566 1764 876
  832.5607 1334 662
  832.5647 1316 653
  832.5687 775 385
  832.5728 508 252
  832.5768 479 238
  832.5809 363 180
  832.5849 277 138
  832.589 162 80
  832.593 194 96
  832.597 76 38
  832.6011 46 23
  832.6052 34 17
  832.6092 35 17
  832.6133 46 23
  832.6173 12 6
  832.6254 12 6
  832.6375 12 6
  832.8035 12 6
  832.8196 12 6
  837.424 12 6
  837.428 12 6
  839.9178 12 6
  839.9545 12 6
  840.6334 12 6
  840.6863 12 6
  840.7351 12 6
  840.7635 12 6
  841.512 12 6
  841.5608 12 6
  844.5214 12 6
  844.5295 12 6
  844.5458 48 24
  844.558 12 6
  844.5621 12 6
  845.5406 12 6
  845.5569 12 6
  846.5156 12 6
  846.536 24 12
  846.5401 24 12
  846.5442 24 12
  846.5483 12 6
  846.5524 24 12
  846.5565 36 18
  846.5605 12 6
  846.5646 12 6
  846.5687 24 12
  846.5728 36 18
  846.5768 24 12
  846.585 24 12
  846.5891 12 6
  846.5931 24 12
  846.6013 12 6
  847.4749 12 6
  847.4871 12 6
  847.4912 12 6
  847.4953 36 18
  847.4993 12 6
  847.5034 12 6
  847.5075 24 12
  847.5157 24 12
  847.5198 12 6
  847.5239 36 18
  847.528 12 6
  847.532 12 6
  847.5361 12 6
  847.5402 24 12
  847.5443 12 6
  847.5524 12 6
  854.2907 12 6
  854.3358 12 6
  903.6978 12 6
  903.7484 12 6
  903.7863 12 6
  905.9971 12 6
  906.0308 12 6
  906.4531 12 6
  906.4573 12 6
  906.4699 12 6
  906.4868 12 6
  906.5333 12 6
  906.5375 24 12
  906.5417 24 12
  906.546 12 6
  906.5502 48 24
  906.5544 88 44
  906.5586 59 29
  906.5629 74 37
  906.5671 137 68
  906.5713 166 82
  906.5755 201 100
  906.5797 107 53
  906.584 117 58
  906.5882 205 102
  906.5924 152 75
  906.5966 146 72
  906.6008 175 87
  906.605 169 84
  906.6093 104 52
  906.6135 72 36
  906.6177 59 29
  906.6219 48 24
  906.6262 64 32
  906.6304 36 18
  906.6346 24 12
  906.6431 24 12
  906.6473 12 6
  906.6558 12 6
  906.66 12 6
  906.6642 12 6
//
