ACCESSION: LQA00383
RECORD_TITLE: PS(18:0/8,9-EpETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PS(18:0/8,9-EpETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C44H76NO11P
CH$EXACT_MASS: 826.064
CH$SMILES: CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1OC1C\C=C/C\C=C/C\C=C/CC
CH$IUPAC: InChI=1S/C44H76NO11P/c1-3-5-7-9-11-13-14-15-16-17-18-20-22-24-29-33-42(46)52-35-38(36-53-57(50,51)54-37-39(45)44(48)49)55-43(47)34-30-26-25-28-32-41-40(56-41)31-27-23-21-19-12-10-8-6-4-2/h6,8,12,19,23,25,27-28,38-41H,3-5,7,9-11,13-18,20-22,24,26,29-37,45H2,1-2H3,(H,48,49)(H,50,51)/b8-6-,19-12-,27-23-,28-25-
CH$LINK: INCHIKEY UZHYNONRHGKHKK-CEXVDVJOSA-N
CH$LINK: PUBCHEM CID:134772236
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 824.5083228
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-00dr-0140500790-2bb450f9aec9d398cf2e
PK$NUM_PEAK: 326
PK$PEAK: m/z int. rel.int.
  471.2065 24 21
  471.2096 12 10
  471.2126 12 10
  471.2157 12 10
  471.2248 12 10
  475.4418 24 21
  478.6 12 10
  478.603 12 10
  493.815 36 31
  493.8212 12 10
  540.2234 12 10
  540.2266 12 10
  540.2397 12 10
  552.2499 12 10
  552.2631 12 10
  605.467 12 10
  605.4739 12 10
  735.1474 12 10
  735.1588 12 10
  735.1931 12 10
  737.4118 12 10
  737.4232 35 30
  737.427 23 20
  737.4308 12 10
  737.4346 67 58
  737.4384 102 89
  737.4423 67 58
  737.446 156 136
  737.4499 146 127
  737.4537 338 294
  737.4575 261 227
  737.4613 558 485
  737.4651 628 546
  737.4689 814 707
  737.4727 848 737
  737.4765 855 743
  737.4803 727 632
  737.4841 673 585
  737.488 439 381
  737.4918 360 313
  737.4955 271 235
  737.4994 247 215
  737.5032 161 140
  737.507 84 73
  737.5108 117 102
  737.5146 59 51
  737.5184 59 51
  737.5222 23 20
  737.5261 23 20
  737.5298 12 10
  737.5336 12 10
  737.686 12 10
  737.7089 12 10
  750.4678 12 10
  750.4794 12 10
  821.8754 12 10
  821.9116 12 10
  821.9317 12 10
  822.9373 12 10
  822.9976 12 10
  823.0821 12 10
  823.1586 12 10
  824.3461 12 10
  824.4266 12 10
  824.4387 12 10
  824.4467 23 20
  824.4548 23 20
  824.4588 58 50
  824.4628 47 41
  824.4669 12 10
  824.4709 114 99
  824.4749 147 128
  824.4789 182 158
  824.483 340 295
  824.487 309 268
  824.491 656 570
  824.4951 649 564
  824.4991 1003 871
  824.5031 896 778
  824.5071 1150 999
  824.5112 941 817
  824.5152 1013 880
  824.5192 712 619
  824.5233 611 531
  824.5273 362 314
  824.5313 344 299
  824.5353 188 163
  824.5394 190 165
  824.5434 108 94
  824.5474 66 57
  824.5515 58 50
  824.5555 58 50
  824.5595 12 10
  824.5635 12 10
  824.5676 12 10
  824.6078 12 10
  825.5062 12 10
  825.5787 12 10
  828.9027 24 21
  828.9431 12 10
  836.187 12 10
  836.2194 12 10
//
