ACCESSION: LQA00352
RECORD_TITLE: PI(18:0/9-HODE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PI(18:0/9-HODE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C45H83O14P
CH$EXACT_MASS: 879.121
CH$SMILES: CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCC(O)\C=C\C=C/CCCCC
CH$IUPAC: InChI=1S/C45H83O14P/c1-3-5-7-9-11-12-13-14-15-16-17-18-20-24-28-32-38(47)56-34-37(35-57-60(54,55)59-45-43(52)41(50)40(49)42(51)44(45)53)58-39(48)33-29-25-21-23-27-31-36(46)30-26-22-19-10-8-6-4-2/h19,22,26,30,36-37,40-46,49-53H,3-18,20-21,23-25,27-29,31-35H2,1-2H3,(H,54,55)/b22-19-,30-26+
CH$LINK: INCHIKEY INDMOGBRINIYGQ-FHHGPMHOSA-N
CH$LINK: PUBCHEM CID:134738657
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 877.5447679
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-004i-0010000090-28aec89cfa79e54a8990
PK$NUM_PEAK: 397
PK$PEAK: m/z int. rel.int.
  297.048 31 4
  297.0529 20 3
  297.0553 31 4
  315.0283 20 3
  315.0383 41 6
  315.0433 41 6
  315.0458 51 7
  315.0483 31 4
  315.0508 20 3
  315.0533 20 3
  315.0558 20 3
  315.0583 31 4
  417.947 20 3
  417.9787 21 3
  419.2287 41 6
  419.2316 51 7
  419.2345 82 11
  419.2374 92 13
  419.2403 93 13
  419.2432 93 13
  419.246 134 19
  419.2489 247 34
  419.2518 237 33
  419.2547 349 48
  419.2576 217 30
  419.2605 144 20
  419.2634 187 26
  419.2663 144 20
  419.2692 144 20
  419.2721 122 17
  419.2749 112 16
  419.2778 20 3
  419.2807 61 8
  419.2836 31 4
  419.2952 20 3
  431.1984 31 4
  431.2013 41 6
  431.2043 41 6
  431.2072 61 8
  431.2101 41 6
  431.213 41 6
  431.216 82 11
  431.2189 61 8
  431.2218 122 17
  431.2248 82 11
  431.2277 143 20
  431.2306 102 14
  431.2336 92 13
  431.2365 51 7
  431.2394 20 3
  431.2423 31 4
  437.2494 20 3
  437.2552 20 3
  437.2582 31 4
  437.2611 20 3
  437.2641 20 3
  437.27 20 3
  437.2788 31 4
  437.2818 31 4
  437.2848 20 3
  482.1891 20 3
  521.3034 20 3
  571.2091 21 3
  579.4976 20 3
  581.2686 31 4
  581.272 72 10
  581.2755 41 6
  581.2789 31 4
  581.2822 52 7
  581.2856 72 10
  581.2891 157 22
  581.2924 136 19
  581.2958 144 20
  581.2993 238 33
  581.3027 209 29
  581.306 229 32
  581.3094 236 33
  581.3129 291 40
  581.3163 289 40
  581.3196 206 29
  581.3231 186 26
  581.3265 113 16
  581.3299 186 26
  581.3333 123 17
  581.3367 72 10
  581.3401 20 3
  581.3434 31 4
  581.3469 61 8
  581.3503 41 6
  581.3537 20 3
  581.3571 31 4
  581.3639 20 3
  590.8842 20 3
  593.2463 41 6
  593.2532 20 3
