  417.2558 87 31
  417.2587 51 18
  417.2616 25 9
  417.2644 41 14
  417.2673 36 13
  435.2341 10 4
  435.237 10 4
  435.2429 10 4
  435.2458 10 4
  435.2488 10 4
  435.2547 10 4
  435.2576 10 4
  453.183 15 5
  453.186 10 4
  453.195 15 5
  453.198 10 4
  453.201 20 7
  453.204 25 9
  453.21 15 5
  453.213 31 11
  453.216 25 9
  453.219 10 4
  453.225 10 4
  453.234 25 9
  471.2035 10 4
  577.4625 10 4
  579.2474 10 4
  579.2507 10 4
  579.2542 25 9
  579.2576 25 9
  579.2609 31 11
  579.2643 56 20
  579.2677 41 14
  579.2711 51 18
  579.2745 71 25
  579.2779 112 40
  579.2813 127 45
  579.2847 107 38
  579.2881 122 43
  579.2915 143 50
  579.2949 173 61
  579.2983 163 58
  579.3017 153 54
  579.3051 178 63
  579.3085 112 40
  579.3119 66 23
  579.3153 102 36
  579.3187 92 32
  579.3221 61 22
  579.3255 66 23
  579.3289 36 13
  579.3323 31 11
  579.3356 25 9
  580.3074 10 4
  597.2679 10 4
  597.2748 36 13
  597.2783 15 5
  597.2817 25 9
  597.2852 10 4
  597.2886 31 11
  597.2921 20 7
  597.2955 15 5
  597.299 41 14
  597.3024 41 14
  597.3058 46 16
  597.3093 20 7
  597.3127 51 18
  597.3162 20 7
  597.3231 51 18
  597.3265 20 7
  597.33 20 7
  597.3334 10 4
  615.218 10 4
  615.2355 10 4
  615.239 20 7
  615.2426 31 11
  615.246 15 5
  615.2495 36 13
  615.2531 46 16
  615.2565 31 11
  615.26 41 14
  615.2635 10 4
  615.267 31 11
  615.2705 25 9
  615.274 15 5
  615.2775 41 14
  615.281 15 5
  615.2845 20 7
  615.288 10 4
  615.295 10 4
  615.302 10 4
  633.267 10 4
  633.2706 10 4
  633.2741 10 4
  633.2883 15 5
  735.4662 10 4
  824.5229 10 4
  824.527 10 4
  824.5432 10 4
  824.5675 15 5
  824.5878 10 4
  894.6219 10 4
  894.643 10 4
  894.6515 10 4
  894.6557 20 7
  894.6599 10 4
  894.6641 20 7
  894.6768 20 7
  894.681 15 5
  894.6852 10 4
  894.6895 10 4
  894.6937 10 4
  894.6979 10 4
  894.7106 15 5
  894.719 10 4
  894.7232 15 5
  894.7359 15 5
  894.7612 10 4
  897.3714 10 4
  897.3968 15 5
  897.4094 15 5
  897.4179 15 5
  897.4221 15 5
  897.4263 20 7
  897.4559 74 26
  897.4602 285 101
  897.4644 544 192
  897.4686 591 209
  897.4728 661 233
  897.4771 821 290
  897.4813 962 339
  897.4855 1461 516
  897.4897 1474 520
  897.494 1707 602
  897.4982 1976 697
  897.5024 2429 857
  897.5067 2251 794
  897.5109 2508 885
  897.5151 2606 920
  897.5193 2707 955
  897.5236 2831 999
  897.5278 2729 963
  897.532 2439 861
  897.5363 2229 787
  897.5405 2276 803
  897.5447 1815 640
  897.549 1595 563
  897.5532 1148 405
  897.5574 966 341
  897.5616 667 235
  897.5659 586 207
  897.5701 436 154
  897.5743 394 139
  897.5786 275 97
  897.5828 160 56
  897.587 147 52
  897.5912 134 47
  897.5955 53 19
  897.5997 81 29
