ACCESSION: LQA00226
RECORD_TITLE: PE(16:1e/8-HETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PE(16:1e/8-HETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C41H74NO8P
CH$EXACT_MASS: 740.018
CH$SMILES: CCCCCCCCCCCCCC\C=C/OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC(O)\C=C/C=C\C\C=C/CCCCC
CH$IUPAC: InChI=1S/C41H74NO8P/c1-3-5-7-9-11-13-15-16-17-18-20-22-26-30-35-47-37-40(38-49-51(45,46)48-36-34-42)50-41(44)33-29-25-24-28-32-39(43)31-27-23-21-19-14-12-10-8-6-4-2/h12,14,21,23-24,27-28,30-31,35,39-40,43H,3-11,13,15-20,22,25-26,29,32-34,36-38,42H2,1-2H3,(H,45,46)/b14-12-,23-21-,28-24-,31-27-,35-30-
CH$LINK: INCHIKEY NJTPXIVRIMQPFB-LHBRILSUSA-N
CH$LINK: PUBCHEM CID:134752550
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 738.5079288
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-000i-0238400900-ec48d67ec8f73cc53865
PK$NUM_PEAK: 677
PK$PEAK: m/z int. rel.int.
  228.2 330 103
  228.2022 257 81
  228.2043 216 68
  228.2064 267 84
  228.2086 206 65
  228.2107 225 71
  228.2128 123 39
  228.215 123 39
  228.2171 61 19
  228.2192 82 26
  228.2214 31 10
  228.2235 41 13
  229.188 11 3
  229.1901 20 6
  229.1922 51 16
  229.1944 20 6
  229.1965 41 13
  229.1987 51 16
  229.2008 51 16
  229.2029 92 29
  229.2051 82 26
  229.2072 41 13
  229.2093 71 22
  229.2115 41 13
  229.2136 61 19
  229.2157 61 19
  229.2179 31 10
  239.2217 20 6
  239.2239 31 10
  239.2261 20 6
  239.2283 92 29
  239.2305 61 19
  239.2326 61 19
  239.2348 112 35
  239.237 112 35
  239.2392 92 29
  239.2414 133 42
  239.2435 133 42
  239.2457 82 26
  239.2479 92 29
  239.2501 61 19
  239.2523 20 6
  240.3863 20 6
  247.2047 20 6
  250.0926 20 6
  255.2262 20 6
  255.2307 41 13
  255.233 31 10
  255.242 31 10
  255.2443 31 10
  256.2348 21 7
  256.2371 20 6
  256.2439 31 10
  256.4156 21 7
  256.4178 21 7
  256.4291 21 7
  256.68 21 7
  257.2024 32 10
  257.2047 21 7
  257.2069 85 27
  257.2092 169 53
  257.2115 128 40
  257.2137 281 88
  257.216 368 115
  257.2183 446 140
  257.2205 460 144
  257.2228 722 226
  257.225 852 267
  257.2273 765 240
  257.2296 852 267
  257.2318 951 298
  257.2341 765 240
  257.2364 578 181
  257.2386 328 103
  257.2409 329 103
  257.2432 185 58
  257.2454 87 27
  257.2477 54 17
  257.2499 66 21
  257.2522 32 10
  257.2545 33 10
  257.2567 33 10
  257.259 11 3
  257.3631 11 3
  258.2331 22 7
  260.3255 11 3
  261.4331 11 3
  273.2279 20 6
  275.1929 20 6
  275.2046 51 16
  275.2116 20 6
  275.2233 20 6
  275.2256 41 13
  275.228 61 19
  275.2303 82 26
