ACCESSION: LQA00187
RECORD_TITLE: PE(16:0/8,9-EET); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PE(16:0/8,9-EET)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C41H74NO9P
CH$EXACT_MASS: 756.017
CH$SMILES: CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1OC1C\C=C/C\C=C/CCCCC
CH$IUPAC: InChI=1S/C41H74NO9P/c1-3-5-7-9-11-13-14-15-16-18-20-22-27-31-40(43)47-35-37(36-49-52(45,46)48-34-33-42)50-41(44)32-28-24-23-26-30-39-38(51-39)29-25-21-19-17-12-10-8-6-4-2/h12,17,21,23,25-26,37-39H,3-11,13-16,18-20,22,24,27-36,42H2,1-2H3,(H,45,46)/b17-12-,25-21-,26-23-
CH$LINK: INCHIKEY YOYIPDIQILBNBX-FXEOECEESA-N
CH$LINK: PUBCHEM CID:134782101
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 754.5028435
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-0zfr-0064100900-192b313656091d22ea51
PK$NUM_PEAK: 200
PK$PEAK: m/z int. rel.int.
  754.5671 56 96
  754.5826 11 19
  755.0129 11 19
  755.4859 20 34
  755.4937 31 53
  755.5014 20 34
  755.5053 20 34
  755.5092 31 53
  755.5363 11 19
  755.5596 31 53
//
