ACCESSION: LQA00249
RECORD_TITLE: PE(18:1/11,12-EpETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PE(18:1/11,12-EpETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C43H74NO9P
CH$EXACT_MASS: 780.039
CH$SMILES: CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C/C\C=C/CC
CH$IUPAC: InChI=1S/C43H74NO9P/c1-3-5-7-9-11-12-13-14-15-16-17-18-21-25-29-33-42(45)49-37-39(38-51-54(47,48)50-36-35-44)52-43(46)34-30-26-22-19-20-24-28-32-41-40(53-41)31-27-23-10-8-6-4-2/h6,8,14-15,19,22-24,27-28,39-41H,3-5,7,9-13,16-18,20-21,25-26,29-38,44H2,1-2H3,(H,47,48)/b8-6-,15-14-,22-19-,27-23-,28-24-
CH$LINK: INCHIKEY RSGNZKXWUYOQBX-SKIHJHLBSA-N
CH$LINK: PUBCHEM CID:134764973
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 778.5028435
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-004i-0010000900-de8c1e467eec788cc1e9
PK$NUM_PEAK: 327
PK$PEAK: m/z int. rel.int.
  478.3079 102 16
  478.311 82 12
  478.314 20 3
  478.3171 31 5
  478.3202 61 9
  478.3233 20 3
  478.3295 41 6
  496.241 20 3
  496.2567 20 3
  514.2546 20 3
  514.2578 20 3
  514.2738 41 6
  691.4662 20 3
  704.543 41 6
  704.5729 20 3
  718.5401 20 3
  760.5245 20 3
  776.0349 20 3
  776.0466 20 3
  776.0506 20 3
  776.0545 61 9
  776.0585 20 3
  776.0663 20 3
  776.0703 20 3
  776.0742 20 3
  776.0859 41 6
  776.0899 20 3
  776.0938 41 6
  776.0978 20 3
  776.1252 20 3
  776.1331 20 3
  776.597 20 3
  778.4265 20 3
  778.458 82 12
  778.4619 203 31
  778.4659 384 58
  778.4698 809 123
  778.4738 757 115
  778.4777 1436 218
  778.4816 1559 237
  778.4855 2519 383
  778.4895 3066 466
  778.4934 3908 594
  778.4974 4298 653
  778.5013 5200 790
  778.5052 5855 890
  778.5092 5863 891
  778.5131 5789 880
  778.517 6572 999
  778.521 6189 941
  778.5249 6051 920
  778.5289 6071 923
  778.5328 5889 895
  778.5367 4934 750
  778.5406 3452 525
  778.5446 2651 403
  778.5485 2576 392
  778.5525 1830 278
  778.5564 1149 175
  778.5604 769 117
  778.5643 738 112
  778.5682 401 61
  778.5721 220 33
  778.5761 148 22
  778.58 161 24
  778.584 143 22
  778.5879 75 11
  778.5919 28 4
  778.5958 53 8
  778.5997 122 19
  778.6351 28 4
  778.6548 20 3
  778.9462 23 3
  779.4622 31 5
  779.478 31 5
  779.4819 61 9
  779.4858 31 5
  779.4897 51 8
  779.4937 31 5
  779.4976 51 8
  779.5016 20 3
  779.5055 61 9
  779.5095 102 16
  779.5134 122 19
  779.5173 61 9
  779.5212 102 16
  779.5252 71 11
  779.5292 112 17
  779.5331 61 9
  779.537 61 9
  779.541 31 5
  779.5449 71 11
  779.5488 61 9
  779.5528 31 5
  779.5567 41 6
  779.5607 41 6
  779.5764 20 3
  779.5804 20 3
  779.5922 20 3
  780.0453 20 3
  784.7774 20 3
//
