ACCESSION: LQA00326
RECORD_TITLE: PI(16:0e/20-HETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PI(16:0e/20-HETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C45H81O13P
CH$EXACT_MASS: 861.106
CH$SMILES: CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCO
CH$IUPAC: InChI=1S/C45H81O13P/c1-2-3-4-5-6-7-8-9-17-20-23-26-29-32-35-55-36-38(37-56-59(53,54)58-45-43(51)41(49)40(48)42(50)44(45)52)57-39(47)33-30-27-24-21-18-15-13-11-10-12-14-16-19-22-25-28-31-34-46/h10,12-13,15-16,19,21,24,38,40-46,48-52H,2-9,11,14,17-18,20,22-23,25-37H2,1H3,(H,53,54)/b12-10-,15-13-,19-16-,24-21-
CH$LINK: INCHIKEY KIKHEDXETIJZRU-KRYFGHCNSA-N
CH$LINK: PUBCHEM CID:134743861
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 859.5342032
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-0a4i-0039010070-7e10a33c1b67fbc78f71
PK$NUM_PEAK: 413
PK$PEAK: m/z int. rel.int.
  96.96599 12 9
  96.96737 24 18
  96.96875 36 27
  96.97014 12 9
  96.97152 12 9
  96.9729 36 27
  96.97566 12 9
  119.0872 24 18
  121.0945 12 9
  121.1037 12 9
  121.1052 12 9
  135.1109 36 27
  135.1158 12 9
  135.1174 12 9
  141.0852 12 9
  141.0919 12 9
  141.0936 12 9
  163.0732 12 9
  163.075 12 9
  163.0768 12 9
  163.1449 12 9
  163.1503 12 9
  163.1521 24 18
  163.1556 12 9
  163.1574 12 9
  167.4001 12 9
  167.4055 12 9
  167.4128 12 9
  177.1315 12 9
  177.1539 12 9
  177.1558 12 9
  177.167 12 9
  177.1707 12 9
  177.4901 12 9
  177.492 12 9
  186.444 12 9
  186.4479 12 9
  189.1579 12 9
  189.1695 12 9
  189.1714 12 9
  191.1694 12 9
  191.1752 12 9
  191.1791 12 9
  191.181 12 9
  193.1174 12 9
  193.1544 12 9
  206.0565 12 9
  206.0585 12 9
  210.3549 12 9
  210.3569 24 18
  210.7986 12 9
  210.8006 12 9
  217.1894 12 9
  217.1936 12 9
  219.2655 24 18
  222.7286 12 9
  222.7349 12 9
  222.9883 12 9
  222.9904 12 9
  222.9924 12 9
  222.9966 24 18
  222.9987 48 35
  223.0008 60 44
  223.0029 36 27
  223.005 12 9
  223.0071 12 9
  223.0113 12 9
  223.0134 12 9
  223.1705 12 9
  223.1747 12 9
  223.1768 12 9
  223.181 12 9
  223.6338 12 9
  223.638 12 9
  240.9911 12 9
  240.9933 12 9
  240.9955 12 9
  240.9977 24 18
  240.9999 85 63
  241.002 143 105
  241.0042 224 165
  241.0064 324 239
  241.0086 351 259
  241.0107 282 208
  241.0129 282 208
  241.0151 228 168
  241.0173 138 102
  241.0195 111 82
  241.0216 36 27
  241.0238 81 60
  241.026 24 18
  241.0282 12 9
  241.0347 12 9
  245.1897 24 18
  245.2072 12 9
  245.2116 12 9
  245.2138 12 9
  245.216 12 9
  245.2182 24 18
  245.2204 24 18
  245.2226 48 35
  245.2248 36 27
  245.227 24 18
  245.2292 24 18
  245.2314 36 27
  245.2336 12 9
  245.2358 12 9
  245.238 12 9
  245.2402 12 9
  245.8687 12 9
  245.8797 12 9
  253.2109 24 18
  253.2221 24 18
  257.2103 12 9
  257.2171 24 18
  257.2193 12 9
  257.2238 12 9
  257.2261 12 9
  257.2396 12 9
  259.0062 12 9
  259.0085 36 27
  259.0107 12 9
  259.013 12 9
  259.0197 12 9
  259.022 24 18
  259.0243 12 9
  259.0265 12 9
  259.0287 24 18
  259.031 12 9
  259.0333 24 18
  273.2014 12 9
  273.2037 12 9
  273.2084 12 9
  273.213 24 18
  273.2153 12 9
  273.2177 12 9
  273.22 24 18
  273.2223 24 18
  273.2246 60 44
  273.2269 12 9
  273.2315 24 18
  275.222 12 9
  275.2243 12 9
  275.2267 12 9
  275.229 12 9
  275.2336 48 35
  275.236 83 61
  275.2383 68 50
  275.2406 60 44
  275.2429 24 18
  275.2453 12 9
  275.2476 24 18
  275.2499 12 9
  275.2522 12 9
  275.2545 12 9
  283.1923 24 18
  283.2017 12 9
  283.204 12 9
  283.2583 12 9
  283.2701 12 9
  287.1856 12 9
  287.207 12 9
  288.3181 12 9
  288.3228 12 9
  288.3466 12 9
  289.2023 12 9
  289.2047 12 9
  289.207 36 27
  289.2094 36 27
  289.2118 65 48
  289.2142 108 80
  289.2166 36 27
  289.219 36 27
  289.2213 12 9
  289.2237 12 9
  289.2261 24 18
  289.2285 12 9
  291.226 12 9
  291.2332 12 9
  291.2404 12 9
  301.1974 24 18
  301.1998 12 9
  301.2022 12 9
  301.2047 73 54
  301.2071 70 52
  301.2095 110 81
  301.212 163 120
  301.2144 123 91
  301.2168 173 127
  301.2193 89 66
  301.2217 74 55
  301.2242 60 44
  301.2266 77 57
  301.229 64 47
  301.2314 12 9
  301.2339 24 18
  315.3685 12 9
  315.371 12 9
  317.1968 12 9
  317.2068 12 9
  317.2093 12 9
  317.2118 12 9
  317.2568 12 9
  317.5791 12 9
  317.5941 12 9
  318.2118 24 18
  318.2168 12 9
  318.2293 12 9
  318.2468 12 9
  318.2493 12 9
  319.2008 12 9
  319.2033 59 43
  319.2058 59 43
  319.2083 59 43
  319.2108 102 75
  319.2133 144 106
  319.2159 394 290
  319.2184 517 381
  319.2209 851 627
  319.2234 931 686
  319.2259 1356 999
  319.2284 924 681
  319.2309 817 602
  319.2334 642 473
  319.2359 423 312
  319.2384 248 183
  319.2409 168 124
  319.2434 71 52
  319.2459 59 43
  319.2484 47 35
  319.2509 47 35
  319.256 12 9
  319.2635 12 9
  319.266 12 9
  319.8351 12 9
  319.8577 12 9
  320.1989 12 9
  320.2215 12 9
  320.2441 12 9
  321.8122 12 9
  321.8373 12 9
  322.3584 12 9
  322.4037 12 9
  323.6868 12 9
  323.7045 12 9
  323.7449 12 9
  324.6338 12 9
