ACCESSION: LQA00341
RECORD_TITLE: PI(18:0/15-HETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PI(18:0/15-HETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C47H83O14P
CH$EXACT_MASS: 903.143
CH$SMILES: CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C=C/C(O)CCCCC
CH$IUPAC: InChI=1S/C47H83O14P/c1-3-5-7-8-9-10-11-12-13-14-17-20-23-26-30-34-40(49)58-36-39(37-59-62(56,57)61-47-45(54)43(52)42(51)44(53)46(47)55)60-41(50)35-31-27-24-21-18-15-16-19-22-25-29-33-38(48)32-28-6-4-2/h15-16,21-22,24-25,29,33,38-39,42-48,51-55H,3-14,17-20,23,26-28,30-32,34-37H2,1-2H3,(H,56,57)/b16-15-,24-21-,25-22-,33-29+
CH$LINK: INCHIKEY HNBUAJVKBGPCHT-RROHPHJISA-N
CH$LINK: PUBCHEM CID:134735825
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 901.5447679
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-0udi-0021000009-18a25b022dd4311f4ffe
PK$NUM_PEAK: 1108
PK$PEAK: m/z int. rel.int.
  240.2721 20 1
  240.2787 23 1
  240.3377 22 1
  240.4121 23 1
  240.5937 23 1
  240.9681 21 1
  240.9813 23 1
  240.9834 26 1
  240.9878 34 1
  240.99 119 5
  240.9922 115 5
  240.9944 197 8
  240.9966 424 17
  240.9988 794 32
  241.001 1324 53
  241.0032 1708 69
  241.0054 2346 94
  241.0075 2839 114
  241.0097 3075 123
  241.0119 3642 146
  241.0141 2987 120
  241.0163 2554 102
  241.0185 2192 88
  241.0207 1380 55
  241.0229 896 36
  241.0251 470 19
  241.0273 291 12
  241.0294 142 6
  241.0316 179 7
  241.0338 117 5
  241.036 51 2
  241.0382 39 2
  241.047 11 0
  241.0492 24 1
  241.4415 13 1
  241.4809 13 1
  241.6015 12 0
  241.6256 13 1
  241.8231 13 1
  242.0096 31 1
  242.0118 31 1
  242.014 20 1
  242.0162 20 1
  242.0206 20 1
  245.1476 20 1
  247.202 20 1
  247.6947 21 1
  252.8644 21 1
  253.2168 21 1
  255.2235 20 1
  256.2253 21 1
  256.4196 42 2
  256.8083 21 1
  257.1273 21 1
  257.2019 31 1
  257.2042 32 1
  257.2065 73 3
  257.2087 74 3
  257.211 128 5
  257.2132 214 9
  257.2155 355 14
  257.2178 291 12
  257.22 399 16
  257.2223 647 26
  257.2245 757 30
  257.2268 810 32
  257.2291 798 32
  257.2314 700 28
  257.2336 593 24
  257.2359 290 12
  257.2381 269 11
  257.2404 162 6
  257.2426 119 5
  257.2449 53 2
  257.2472 43 2
  257.2495 22 1
  257.2517 32 1
  257.2562 11 0
  257.3128 11 0
  257.7861 11 0
  258.2212 20 1
  258.2371 11 0
  258.2416 11 0
  258.262 21 1
  258.5092 21 1
  258.9995 20 1
  259.0018 41 2
  259.004 31 1
  259.0063 72 3
  259.0086 31 1
  259.0108 83 3
  259.0131 186 7
  259.0154 197 8
  259.0176 259 10
  259.0199 269 11
  259.0222 280 11
  259.0245 311 12
  259.0267 331 13
  259.029 176 7
  259.0313 186 7
  259.0335 82 3
  259.0358 93 4
  259.0404 31 1
  259.0449 20 1
  259.0472 21 1
  273.2087 20 1
  273.2227 20 1
  273.2274 20 1
  275.2181 20 1
  275.2204 20 1
  275.2228 31 1
  275.2251 31 1
  275.2274 20 1
  275.2298 31 1
  275.2321 51 2
  275.2345 71 3
  275.2368 133 5
  275.2392 61 2
  275.2415 51 2
  275.2438 102 4
  275.2462 31 1
  275.2485 71 3
  275.2556 20 1
  282.3847 20 1
  282.3871 20 1
  282.4227 46 2
  282.9588 22 1
  283.1487 22 1
  283.2057 23 1
  283.2176 23 1
  283.2271 32 1
  283.2318 23 1
  283.2342 46 2
  283.2366 24 1
  283.239 106 4
  283.2413 95 4
  283.2437 189 8
  283.2461 407 16
  283.2484 495 20
  283.2508 700 28
  283.2532 1465 59
  283.2556 1746 70
  283.2579 2290 92
  283.2603 2572 103
  283.2627 2686 108
  283.265 2695 108
  283.2674 2585 104
  283.2698 2282 92
  283.2722 1948 78
  283.2746 1282 51
  283.2769 799 32
  283.2793 512 21
  283.2817 273 11
  283.2841 219 9
  283.2864 173 7
  283.2888 50 2
  283.2912 113 5
  283.2935 24 1
  283.2983 13 1
  283.4646 13 1
  283.4978 13 1
  283.6333 13 1
  283.7949 12 0
  284.2538 31 1
  284.2585 31 1
  284.2609 51 2
  284.2633 41 2
  284.2657 20 1
  284.2681 53 2
  284.2704 31 1
  284.2728 41 2
  284.2752 41 2
  284.2776 20 1
  285.2633 20 1
  286.7356 20 1
  290.7371 21 1
  291.4978 21 1
  296.1123 21 1
  296.3552 21 1
  297.0114 31 1
  297.0138 31 1
  297.0162 52 2
  297.0186 41 2
  297.0211 83 3
  297.0235 62 2
  297.0259 146 6
  297.0284 197 8
  297.0308 282 11
  297.0332 240 10
  297.0356 313 13
  297.0381 354 14
  297.0405 292 12
  297.0429 311 12
  297.0454 228 9
  297.0478 175 7
  297.0502 103 4
  297.0527 63 3
  297.0551 42 2
  297.0575 31 1
  297.0624 32 1
  300.2762 42 2
  300.2934 32 1
  300.33 32 1
  301.162 22 1
  301.1791 21 1
  301.1816 21 1
  301.1865 11 0
  301.1889 65 3
  301.1914 55 2
  301.1938 90 4
  301.1963 100 4
  301.1987 236 9
  301.2012 367 15
  301.2036 321 13
  301.2061 755 30
  301.2085 1124 45
  301.211 1194 48
  301.2134 1687 68
  301.2159 1471 59
  301.2183 1704 68
  301.2208 1398 56
  301.2232 1261 51
  301.2256 857 34
  301.2281 863 35
  301.2306 592 24
  301.233 356 14
  301.2355 195 8
  301.2379 171 7
  301.2404 70 3
  301.2428 67 3
  301.2453 45 2
  301.2477 34 1
  301.2502 22 1
