ACCESSION: NGA04358
RECORD_TITLE: 9,13-Epoxy-3,15,16,18-labdanetetrol; LC-ESI-QQQ; MS2; Frag=135.0V CID@15.0; [M+HCOO]-
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Diterpenoids, Labdane diterpenoids
CH$NAME: 9,13-Epoxy-3,15,16,18-labdanetetrol
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C20H36O5
CH$EXACT_MASS: 356.5069
CH$SMILES: C[C@H]1CCC2[C@](C)(CC[C@H](O)[C@@]2(C)CO)[C@@]12CCC(CO)(CCO)O2
CH$IUPAC: InChI=1S/C20H36O5/c1-14-4-5-15-17(2,12-22)16(24)6-7-18(15,3)20(14)9-8-19(13-23,25-20)10-11-21/h14-16,21-24H,4-13H2,1-3H3/t14-,15?,16-,17-,18-,19?,20+/m0/s1
CH$LINK: INCHIKEY XYPPDQHBNJURHU-NSGLWTTCSA-N
CH$LINK: PUBCHEM CID:12304971
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+HCOO]-
PK$SPLASH: splash10-0fri-3988880000-ba283fbb6f31af56b975
PK$NUM_PEAK: 3868
PK$PEAK: m/z int. rel.int.
  83.8 16.79 16
  83.9 17.79 17
  84.0 13.69 13
  84.2 7.19 7
  84.3 10.89 10
  84.4 15.62 15
  84.5 16.92 16
  84.6 14.25 14
  84.8 10.71 10
  84.9 14.1 14
  85.0 17.95 17
  85.1 18.62 18
  85.2 15.26 15
  85.3 10.58 10
  85.5 9.91 9
  85.6 13.25 13
  85.7 15.04 15
  85.8 13.78 13
  85.9 10.67 10
  86.1 8.61 8
  86.2 12.44 12
  86.3 17.28 17
  86.4 19.32 19
  86.5 16.94 16
  87.3 8.81 8
  87.4 11.86 11
  87.5 17.19 17
  87.6 20.53 20
  87.7 18.29 18
  87.8 11.95 11
  88.0 8.72 8
  88.1 13.47 13
  88.2 16.23 16
  88.3 14.7 14
  88.4 10.98 10
  88.6 7.4 7
  88.7 9.5 9
  88.8 13.47 13
  88.9 16.36 16
  89.0 15.28 15
  89.1 10.98 10
  89.3 8.92 8
  89.4 13.13 13
  89.5 16.56 16
  89.6 16.25 16
  89.7 12.55 12
  89.9 8.05 8
  90.0 11.36 11
  90.1 15.8 15
  90.2 17.48 17
  90.3 15.11 15
  90.6 11.18 11
  90.7 15.13 15
  90.8 17.71 17
  90.9 16.38 16
  91.0 11.63 11
  91.2 6.84 6
  91.3 10.67 10
  91.4 14.59 14
  91.5 14.7 14
  91.6 11.63 11
  91.8 9.52 9
  91.9 11.99 11
  92.0 14.14 14
  92.1 14.61 14
  92.2 12.44 12
  92.5 6.23 6
  92.6 12.75 12
  92.7 18.33 18
  92.8 18.29 18
