ACCESSION: NGA02765
RECORD_TITLE: Adrenoglomerulotropin; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: SubCategory_DNP: : Alkaloids derived from tryptophan, beta-Carboline alkaloids, Indole alkaloids
CH$NAME: Adrenoglomerulotropin
CH$COMPOUND_CLASS: Alkaloids
CH$FORMULA: C13H16N2O
CH$EXACT_MASS: 216.28527
CH$SMILES: COc1ccc2[nH]c3c(c2c1)CCN[C@H]3C
CH$IUPAC: InChI=1S/C13H16N2O/c1-8-13-10(5-6-14-8)11-7-9(16-2)3-4-12(11)15-13/h3-4,7-8,14-15H,5-6H2,1-2H3/t8-/m0/s1
CH$LINK: CAS 1210-56-6
CH$LINK: PUBCHEM CID:64188
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-00dr-0900000000-553f8ecb5bbe785c06c7
PK$NUM_PEAK: 250
PK$PEAK: m/z int. rel.int.
  143.2 13.72 13
  143.3 11.43 11
  143.4 8.54 8
  143.7 8.0 7
  143.8 11.16 11
  143.9 13.43 13
  144.0 14.14 14
  144.1 13.98 13
  144.2 13.52 13
  144.3 12.42 12
  144.4 10.41 10
  144.7 9.27 9
  144.8 12.71 12
  144.9 17.62 17
  145.0 23.19 23
  145.1 27.33 27
  145.2 27.57 27
  145.3 23.2 23
  145.4 15.87 15
  145.5 8.24 8
  145.6 2.62 2
  146.7 1.97 1
  146.8 3.7 3
  146.9 5.71 5
  147.0 6.95 6
  147.1 6.76 6
  147.2 5.31 5
  147.3 3.34 3
  153.3 1.18 1
  153.4 2.23 2
  153.5 4.21 4
  153.6 7.28 7
  153.7 11.35 11
  153.8 16.26 16
  153.9 21.45 21
  154.0 25.56 25
  154.1 27.23 27
  154.2 26.05 26
  154.3 21.94 21
  154.4 14.99 14
  154.5 6.89 6
  154.6 0.96 0
  155.4 3.14 3
  155.5 5.04 5
  155.6 7.47 7
  155.7 9.94 9
  155.8 12.44 12
  155.9 15.04 15
  156.0 17.44 17
  156.1 19.13 19
  156.2 19.61 19
  156.3 18.48 18
  156.6 12.54 12
  156.7 18.71 18
  156.8 31.23 31
  156.9 46.07 46
  157.0 57.68 57
  157.1 62.2 62
  157.2 59.08 59
  157.3 50.54 50
