ACCESSION: CB000312
RECORD_TITLE: Amorphin; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Pyrans
CH$NAME: Amorphin
CH$COMPOUND_CLASS: Flavonoids
CH$FORMULA: C34H40O16
CH$EXACT_MASS: 704.6883
CH$SMILES: C=C(CO[C@@H]1O[C@@H](CO[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@@H]1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1
CH$IUPAC: InChI=1S/C34H40O16/c1-13(9-45-34-31(41)29(39)28(38)24(50-34)12-47-33-30(40)27(37)17(35)10-46-33)19-7-16-18(48-19)5-4-14-26(36)25-15-6-21(42-2)22(43-3)8-20(15)44-11-23(25)49-32(14)16/h4-6,8,17,19,23-25,27-31,33-35,37-41H,1,7,9-12H2,2-3H3/t17-,19-,23?,24-,25?,27-,28+,29-,30+,31+,33-,34+/m0/s1
CH$LINK: CAS 4207-90-3
CH$LINK: CHEMSPIDER 109463
CH$LINK: INCHIKEY CMQOKNQYLSMKJC-ZIYIFGDVSA-N
CH$LINK: PUBCHEM CID:23010499
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0zfr-0100320900-ac56a8b287273deaea67
PK$NUM_PEAK: 171
PK$PEAK: m/z int. rel.int.
  704.6000 948906.3750 778
  704.7000 1059559.3750 869
  704.8000 960423.3750 787
  704.9000 936937.8750 768
  705.0000 1114208.5000 914
  705.1000 1217409.3750 999
  705.2000 1053236.3750 864
  705.3000 524811.6250 430
  705.4000 458194.0625 375
  705.5000 485744.3750 397
  705.6000 473098.2813 387
  705.7000 476937.2188 390
  705.8000 477388.8750 391
  705.9000 414610.1875 339
  706.0000 365606.7500 299
  706.1000 467001.0625 382
  706.2000 333539.9063 272
  706.3000 220854.4688 180
  706.4000 145881.3750 118
  706.5000 137977.5938 112
  706.6000 236436.2344 193
  706.7000 123750.7656 100
  706.8000 101168.5000 82
  706.9000 152204.4063 124
  707.0000 110427.2344 89
  707.1000 146333.0156 119
  707.2000 117879.3906 95
  707.3000 48100.2109 38
  707.4000 34550.8555 27
  707.5000 34776.6719 27
  707.8000 35002.4961 27
  708.1000 35002.4961 27
  708.2000 27776.1738 21
  721.2000 48551.8555 38
  721.3000 47422.7422 37
  721.4000 47196.9180 37
  721.5000 39518.9492 31
  721.6000 81296.1250 65
  721.7000 95297.1328 77
  721.8000 93264.7266 75
  721.9000 64811.0703 52
  722.0000 87167.5078 70
  722.1000 67069.2969 54
  722.3000 46519.4531 37
  722.8000 39518.9492 31
  722.9000 40422.2383 32
  723.2000 34776.6719 27
  1408.1000 28001.9961 22
  1408.2000 35002.4961 27
  1408.4000 77005.4922 62
  1408.5000 35002.4961 27
  1408.6000 63004.4961 50
  1408.7000 42003.0000 33
  1408.8000 56003.9922 45
  1408.9000 42003.0000 33
  1409.0000 70004.9922 56
  1409.1000 35002.4961 27
  1409.2000 49003.4961 39
  1409.4000 70004.9922 56
  1409.5000 56003.9922 45
