ACCESSION: NGA01401
RECORD_TITLE: Ugaferin; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Organic chemicals, Polycyclic compounds, Naphthalenes
CH$NAME: Ugaferin
CH$COMPOUND_CLASS: Polycyclic aromatic natural products
CH$FORMULA: C25H36O7
CH$EXACT_MASS: 448.5615
CH$SMILES: COc1cc(C(=O)O[C@H]2C/C(C)=C\CC[C@]3(C)O[C@@H]3C(O)C2C(C)C)cc(OC)c1OC
CH$IUPAC: InChI=1S/C25H36O7/c1-14(2)20-17(11-15(3)9-8-10-25(4)23(32-25)21(20)26)31-24(27)16-12-18(28-5)22(30-7)19(13-16)29-6/h9,12-14,17,20-21,23,26H,8,10-11H2,1-7H3/b15-9-/t17-,20?,21?,23+,25-/m0/s1
CH$LINK: CAS 63026-58-4
CH$LINK: INCHIKEY JOMAEHBZUXNYRX-LRWPUCEASA-N
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-001j-3900000000-52ee57449a45530d1bb6
PK$NUM_PEAK: 455
PK$PEAK: m/z int. rel.int.
  144.3 1.82 1
  144.4 3.09 3
  144.5 5.48 5
  144.6 10.04 10
  144.7 18.48 18
  144.8 31.77 31
  144.9 48.05 48
  145.0 62.98 62
  145.1 72.86 72
  145.2 75.28 75
  145.3 67.22 67
  145.4 47.65 47
  145.5 22.97 22
  145.6 4.34 4
  146.5 1.58 1
  146.6 2.85 2
  146.7 5.54 5
  146.8 9.63 9
  146.9 14.26 14
  147.0 18.26 18
  147.1 20.35 20
  147.2 19.21 19
  147.3 14.45 14
  147.4 7.81 7
  147.5 2.32 2
  148.4 2.57 2
  148.5 3.91 3
  148.6 5.45 5
  148.7 7.13 7
  148.8 9.38 9
  148.9 12.65 12
  149.0 16.52 16
  149.1 19.43 19
  149.2 19.43 19
  149.3 15.6 15
  149.4 9.3 9
  149.5 3.44 3
  150.6 3.35 3
  150.7 5.13 5
  150.8 8.34 8
  150.9 11.83 11
  151.0 13.43 13
  151.1 12.28 12
  151.2 9.57 9
  151.3 7.06 7
  151.4 5.38 5
  153.5 2.48 2
  153.6 4.86 4
  153.7 8.58 8
  153.8 12.59 12
  153.9 16.1 16
  154.0 18.84 18
  154.1 20.08 20
  154.2 18.4 18
  154.3 13.5 13
  154.4 7.21 7
  154.5 2.21 2
  158.2 0.32 0
  158.3 2.05 2
  158.4 5.83 5
  158.5 10.0 9
  158.6 14.32 14
  158.7 23.14 23
  158.8 41.22 41
  158.9 64.54 64
  159.0 80.72 80
  159.1 82.46 82
  159.2 73.88 73
  159.3 60.66 60
  159.4 42.72 42
  159.5 21.25 21
  159.6 3.92 3
  160.3 0.91 0
  160.4 2.37 2
  160.5 4.84 4
  160.6 8.28 8
  160.7 13.29 13
  160.8 19.94 19
  160.9 26.86 26
  161.0 32.55 32
  161.1 36.98 36
  161.2 40.19 40
  161.3 39.83 39
  161.4 32.65 32
  161.5 19.54 19
  161.6 6.61 6
  161.7 0.45 0
  162.4 2.27 2
  162.5 3.74 3
  162.6 4.9 4
  162.7 5.9 5
  162.8 8.04 8
  162.9 12.39 12
  163.0 17.69 17
  163.1 21.01 20
  163.2 20.38 20
  163.3 16.07 16
  163.4 9.81 9
  163.5 3.85 3
  168.6 2.13 2
  168.7 3.52 3
  168.8 5.55 5
  168.9 7.2 7
  169.0 7.19 7
  169.1 5.39 5
  169.2 3.02 3
  172.6 1.36 1
  172.7 4.36 4
  172.8 8.58 8
  172.9 12.07 12
  173.0 13.41 13
  173.1 13.34 13
  173.2 13.36 13
  173.3 13.13 13
  173.4 10.92 10
  173.5 6.57 6
  173.6 2.23 2
  174.8 3.37 3
  174.9 5.35 5
  175.0 8.22 8
  175.1 11.06 11
  175.2 12.5 12
  175.3 11.63 11
  175.4 8.75 8
  175.5 5.09 5
  175.6 2.03 2
  176.8 4.97 4
  176.9 6.85 6
  177.0 8.83 8
  177.1 10.71 10
  177.2 12.31 12
  177.3 12.41 12
  177.4 9.74 9
  177.5 5.12 5
  177.6 1.23 1
  190.7 2.82 2
  190.8 4.85 4
  190.9 8.18 8
  191.0 11.53 11
  191.1 13.35 13
  191.2 13.15 13
  191.3 11.39 11
  191.4 8.52 8
  191.5 5.01 5
  191.6 1.9 1
  194.0 1.61 1
  194.1 3.12 3
  194.2 4.34 4
  194.3 4.95 4
  194.4 5.73 5
  194.5 9.29 9
  194.6 19.25 19
  194.7 37.72 37
  194.8 62.12 62
  194.9 84.89 84
  195.0 98.31 98
  195.1 100.0 99
  195.2 91.72 91
  195.3 74.37 74
  195.4 48.91 48
  195.5 21.71 21
  195.6 2.92 2
  200.7 4.33 4
  200.8 6.13 6
  200.9 11.87 11
  201.0 19.63 19
  201.1 25.92 25
  201.2 28.9 28
  201.3 27.81 27
  201.4 21.8 21
  201.5 12.16 12
  201.6 3.37 3
  218.6 1.73 1
  218.7 3.44 3
  218.8 6.26 6
  218.9 9.09 9
  219.0 10.18 10
  219.1 8.98 8
  219.2 6.67 6
  219.3 4.64 4
  219.4 3.09 3
//
