ACCESSION: NGA03237
RECORD_TITLE: allopregnanolone; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Animal, Pregnanes
CH$NAME: allopregnanolone
CH$COMPOUND_CLASS: Steroids
CH$FORMULA: C21H34O2
CH$EXACT_MASS: 318.50393
CH$SMILES: CC(=O)C1CCC2C3CC[C@H]4C[C@H](O)CC[C@]4(C)C3CC[C@]12C
CH$IUPAC: InChI=1S/C21H34O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h14-19,23H,4-12H2,1-3H3/t14-,15+,16?,17?,18?,19?,20-,21+/m0/s1
CH$LINK: CAS 516-54-1
CH$LINK: PUBCHEM CID:83760 17216124
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-000i-2900000000-3af51bd77728f50e93f5
PK$NUM_PEAK: 453
PK$PEAK: m/z int. rel.int.
  70.4 2.45 2
  70.5 6.8 6
  70.6 14.63 14
  70.7 24.65 24
  70.8 34.73 34
  70.9 42.98 42
  71.0 48.0 47
  71.1 48.47 48
  71.2 43.56 43
  71.3 33.75 33
  71.4 21.19 21
  71.5 9.3 9
  71.6 1.36 1
  78.4 0.96 0
  78.5 2.92 2
  78.6 5.32 5
  78.7 7.66 7
  78.8 10.38 10
  78.9 13.93 13
  79.0 17.74 17
  79.1 20.15 20
  79.2 19.24 19
  79.3 14.45 14
  79.4 7.73 7
  79.5 2.31 2
  80.3 1.43 1
  80.4 3.67 3
  80.5 8.08 8
  80.6 15.02 15
  80.7 23.47 23
  80.8 31.68 31
  80.9 38.42 38
  81.0 43.04 42
  81.1 45.0 44
  81.2 43.68 43
  81.3 38.25 38
  81.4 28.29 28
  81.5 15.7 15
  81.6 4.85 4
  81.7 0.02 0
  90.4 1.37 1
  90.5 3.22 3
  90.6 5.43 5
  90.7 7.34 7
  90.8 8.72 8
  90.9 10.23 10
  91.0 12.24 12
  91.1 13.86 13
  91.2 13.46 13
  91.3 10.35 10
  91.4 5.72 5
  91.5 1.74 1
  92.4 2.06 2
  92.5 3.78 3
  92.6 7.5 7
  92.7 13.78 13
  92.8 21.53 21
  92.9 28.27 28
  93.0 31.92 31
  93.1 32.08 32
  93.2 29.72 29
  93.3 25.55 25
  93.4 19.34 19
  93.5 11.4 11
  93.6 4.14 4
  94.2 0.3 0
  94.3 1.84 1
  94.4 4.88 4
  94.5 9.02 9
  94.6 13.55 13
  94.7 18.3 18
  94.8 23.93 23
  94.9 30.36 30
  95.0 35.37 35
  95.1 36.58 36
  95.2 34.06 34
  95.3 29.18 29
  95.4 22.03 22
  95.5 12.84 12
  95.6 4.29 4
  104.3 1.11 1
  104.4 2.7 2
  104.5 4.92 4
  104.6 7.36 7
  104.7 10.02 10
  104.8 14.07 14
  104.9 20.61 20
  105.0 28.39 28
  105.1 33.87 33
  105.2 34.04 34
  105.3 28.26 28
  105.4 18.29 18
  105.5 7.83 7
  105.6 0.95 0
  106.3 1.96 1
  106.4 3.55 3
  106.5 6.87 6
  106.6 12.51 12
  106.7 20.05 20
  106.8 28.52 28
  106.9 37.01 36
  107.0 44.46 44
  107.1 49.14 49
  107.2 49.0 48
  107.3 42.71 42
  107.4 30.85 30
  107.5 16.72 16
  107.6 5.41 5
  107.7 0.26 0
  108.4 1.37 1
  108.5 3.38 3
  108.6 6.27 6
  108.7 10.18 10
  108.8 15.74 15
  108.9 22.36 22
  109.0 27.32 27
  109.1 28.48 28
  109.2 26.91 26
  109.3 24.57 24
  109.4 20.78 20
  109.5 14.01 13
  109.6 5.9 5
  109.7 0.32 0
  118.3 1.33 1
  118.4 2.45 2
  118.5 4.92 4
  118.6 9.32 9
  118.7 15.38 15
  118.8 21.85 21
  118.9 27.76 27
  119.0 33.1 33
  119.1 37.33 37
  119.2 37.74 37
  119.3 31.37 31
  119.4 19.35 19
  119.5 7.26 7
  119.6 0.73 0
  120.3 1.3 1
  120.4 2.54 2
  120.5 4.5 4
  120.6 8.59 8
  120.7 16.36 16
  120.8 27.34 27
  120.9 38.07 38
  121.0 44.44 44
  121.1 44.91 44
  121.2 41.06 41
  121.3 34.65 34
  121.4 25.78 25
  121.5 14.93 14
  121.6 5.09 5
  121.7 0.51 0
  122.5 1.38 1
