ACCESSION: NGA00928
RECORD_TITLE: 3-Hydroxy-12-ursen-28-oic acid; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+Na]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: 3-Hydroxy-12-ursen-28-oic acid
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C30H48O3
CH$EXACT_MASS: 456.7153
CH$SMILES: C[C@@H]1C2C3=CC[C@@H]4[C@@]5(C)CCC(O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CCC2(C(=O)O)CC[C@H]1C
CH$IUPAC: InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23?,24?,27+,28-,29-,30?/m1/s1
CH$LINK: CAS 77-52-1
CH$LINK: CHEMSPIDER 58472
CH$LINK: INCHIKEY WCGUUGGRBIKTOS-MUVOVJNASA-N
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
PK$SPLASH: splash10-004r-4889880000-f7c8891e237b8b46088a
PK$NUM_PEAK: 3788
PK$PEAK: m/z int. rel.int.
  81.1 14.87 14
  81.2 15.9 15
  81.3 12.08 12
  81.6 7.36 7
  81.7 11.1 11
  81.8 13.44 13
  81.9 12.84 12
  82.0 10.07 10
  82.2 8.3 8
  82.3 11.77 11
  82.4 15.04 15
  82.5 14.69 14
  82.6 10.27 10
  82.8 4.06 4
  82.9 8.02 8
  83.0 14.01 13
  83.1 17.44 17
  83.2 16.19 16
  83.3 11.86 11
  84.0 6.97 6
  84.1 10.14 10
  84.2 15.69 15
  84.3 19.51 19
  84.4 18.57 18
  84.5 13.75 13
  84.7 9.39 9
  84.8 14.01 13
  84.9 19.68 19
  85.0 21.75 21
  85.1 18.24 18
  85.2 11.45 11
  85.4 5.32 5
  85.5 8.85 8
  85.6 13.66 13
  85.7 16.29 16
  85.8 14.81 14
  85.9 10.78 10
  86.1 9.63 9
  86.2 13.15 13
  86.3 14.55 14
  86.4 12.31 12
  86.6 8.05 8
  86.7 10.84 10
  86.8 14.68 14
  86.9 15.74 15
  87.0 12.7 12
  87.3 7.13 7
  87.4 12.34 12
  87.5 17.67 17
  87.6 19.28 19
  87.7 16.2 16
  88.0 11.6 11
  88.1 14.75 14
  88.2 16.31 16
  88.3 15.24 15
  88.4 12.58 12
  88.5 10.3 10
  89.1 6.82 6
  89.2 9.82 9
  89.3 14.27 14
  89.4 17.01 16
  89.5 16.08 16
  89.6 11.83 11
  89.9 7.73 7
  90.0 13.09 13
  90.1 16.52 16
  90.2 15.03 15
  90.3 9.96 9
  90.5 7.12 7
  90.6 12.51 12
  90.7 17.23 17
  90.8 16.75 16
  90.9 11.5 11
  91.1 5.08 5
  91.2 8.86 8
  91.3 14.57 14
