ACCESSION: CB000225
RECORD_TITLE: Pteryxin; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Coumarins
CH$NAME: Pteryxin
CH$COMPOUND_CLASS: Benzopyranoids
CH$FORMULA: C21H22O7
CH$EXACT_MASS: 386.4053
CH$SMILES: C/C=C(/C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(C)=O
CH$IUPAC: InChI=1S/C21H22O7/c1-6-11(2)20(24)27-18-16-14(28-21(4,5)19(18)25-12(3)22)9-7-13-8-10-15(23)26-17(13)16/h6-10,18-19H,1-5H3/b11-6-
CH$LINK: CAS 13161-75-6
CH$LINK: CHEMSPIDER 4478570 4444773 4478775
CH$LINK: INCHIKEY LYUZYPKZQDYMEE-WDZFZDKYSA-N
CH$LINK: PUBCHEM CID:5316002
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-000i-0090000000-2657eb24089d67e649ad
PK$NUM_PEAK: 174
PK$PEAK: m/z int. rel.int.
  228.3000 712446.7500 79
  228.4000 580093.5000 64
  228.5000 225255.6563 24
  244.3000 1482428.8750 167
  244.4000 4204675.5000 475
  244.5000 6444179.5000 729
  244.6000 6934286.5000 785
  244.7000 6895201.0000 780
  244.8000 6976801.0000 789
  244.9000 6934432.0000 785
  245.0000 6874492.0000 778
  245.1000 6688832.0000 757
  245.2000 6321013.5000 715
  245.3000 6195151.0000 701
  245.4000 5427576.0000 614
  245.5000 3026914.0000 342
  245.6000 2320666.2500 262
  245.7000 2019571.3750 227
  245.8000 2043927.2500 230
  245.9000 1845069.1250 208
  246.0000 1864685.3750 210
  246.1000 1736780.5000 195
  246.2000 1683182.7500 189
  246.3000 1582404.7500 178
  246.4000 1348908.8750 151
  246.5000 538965.6250 60
  246.6000 372412.0625 41
  246.7000 269300.4688 29
  246.8000 269956.7813 29
  246.9000 266456.5313 29
  247.0000 281040.8750 30
  247.1000 276738.5313 30
  247.2000 257268.3750 28
  247.3000 254716.1250 27
  286.2000 407122.8125 45
  286.3000 2971712.5000 335
  286.4000 6557719.0000 742
  286.5000 7677799.0000 869
  286.6000 8282247.0000 937
  286.7000 8821797.0000 998
  286.8000 8614188.0000 975
  286.9000 8821870.0000 999
  287.0000 8804659.0000 997
  287.1000 8475272.0000 959
  287.2000 7901448.5000 894
  287.3000 7694788.5000 871
  287.4000 6717855.0000 760
  287.5000 4098354.7500 463
  287.6000 3400930.7500 384
  287.7000 3071761.0000 347
  287.8000 3209583.5000 362
  287.9000 3217459.0000 363
  288.0000 3367532.2500 380
  288.1000 3283963.2500 371
  288.2000 3167142.7500 358
  288.3000 2802533.5000 316
  288.4000 2090305.7500 235
  288.5000 1132549.7500 127
  288.6000 843487.3750 94
  288.7000 703039.7500 78
  288.8000 677954.6875 75
  288.9000 746865.8750 83
  289.0000 675767.0000 75
  289.1000 671756.3125 75
  289.2000 594823.6875 66
  289.3000 535829.9375 59
  289.4000 401726.5938 44
  386.7000 198347.5000 21
  386.9000 223068.0000 24
  387.0000 204910.4688 22
  387.1000 200389.3125 21
  403.3000 223359.7031 24
  403.4000 689403.4375 77
  403.5000 1507440.8750 169
  403.6000 2015925.2500 227
  403.7000 2174895.2500 245
  403.8000 2313884.0000 261
  403.9000 2221783.7500 250
  404.0000 2183208.2500 246
  404.1000 2027155.3750 228
  404.2000 1992079.7500 224
  404.3000 1926814.8750 217
  404.4000 1299759.5000 146
  404.5000 753210.1250 84
  404.6000 622315.3125 69
  404.7000 606928.6875 67
  404.8000 601313.8125 67
  404.9000 587677.3750 65
  405.0000 589135.8750 65
  405.1000 581260.2500 64
  405.2000 537944.6875 59
  405.3000 478440.4375 53
  405.4000 343899.5625 37
  672.4000 408727.1250 45
  672.5000 593438.1875 66
  672.6000 659724.1875 73
  672.7000 706248.3750 79
  672.8000 775451.2500 86
  672.9000 762398.0625 85
  673.0000 705446.1250 78
  673.1000 645796.1250 72
  673.2000 621877.6250 69
  673.3000 396694.9688 43
  673.4000 281551.4063 30
  673.5000 306636.5000 33
  673.6000 283884.8438 31
  673.7000 301167.3438 33
  673.8000 315022.4688 34
  673.9000 330773.5938 36
  674.0000 357025.5000 39
  674.1000 333107.1250 36
  674.2000 225547.3750 24
  772.4000 288187.2500 31
