ACCESSION: NGA03174
RECORD_TITLE: Hyrcanogenin; LC-ESI-QQQ; MS2; Frag=135.0V CID@15.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Cardanolides
CH$NAME: Hyrcanogenin
CH$COMPOUND_CLASS: Steroids
CH$FORMULA: C23H30O5
CH$EXACT_MASS: 386.49255000000005
CH$SMILES: C[C@]12CCC3C(CCC4=CC(O)CC[C@@]43C=O)C1(O)CCC2C1=CC(=O)OC1
CH$IUPAC: InChI=1S/C23H30O5/c1-21-7-5-18-19(3-2-15-11-16(25)4-8-22(15,18)13-24)23(21,27)9-6-17(21)14-10-20(26)28-12-14/h10-11,13,16-19,25,27H,2-9,12H2,1H3/t16?,17?,18?,19?,21-,22-,23?/m1/s1
CH$LINK: CAS 14530-91-7
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0fkc-0925000000-b0ab4222ddd661e95e5c
PK$NUM_PEAK: 685
PK$PEAK: m/z int. rel.int.
  143.3 18.69 18
  143.4 13.8 13
  143.5 7.19 7
  143.6 1.72 1
  144.2 0.78 0
  144.3 2.3 2
  144.4 4.35 4
  144.5 5.74 5
  144.6 6.92 6
  144.7 10.17 10
  144.8 16.89 16
  144.9 25.67 25
  145.0 33.38 33
  145.1 36.92 36
  145.2 34.6 34
  145.3 27.38 27
  145.4 18.28 18
  145.5 10.07 10
  145.6 3.99 3
  146.5 1.26 1
  146.6 2.46 2
  146.7 4.49 4
  146.8 7.06 7
  146.9 9.46 9
  147.0 11.04 11
  147.1 11.39 11
  147.2 10.4 10
  147.3 8.27 8
  147.4 5.55 5
  147.5 2.88 2
  152.2 1.28 1
  152.3 2.69 2
  152.4 6.97 6
  152.5 12.63 12
  152.6 18.19 18
  152.7 25.34 25
  152.8 37.57 37
  152.9 54.18 54
  153.0 69.15 69
  153.1 76.93 76
  153.2 75.71 75
  153.3 64.91 64
  153.4 45.02 44
  153.5 21.57 21
  153.6 3.87 3
  154.3 0.69 0
  154.4 2.29 2
  154.5 5.19 5
  154.6 9.21 9
  154.7 14.73 14
  154.8 22.62 22
  154.9 32.19 32
  155.0 40.12 40
  155.1 43.33 43
  155.2 41.99 41
  155.3 37.57 37
  155.4 29.7 29
  155.5 18.25 18
  155.6 6.67 6
  155.7 0.15 0
  156.4 0.95 0
  156.5 3.0 2
  156.6 5.13 5
  156.7 6.31 6
  156.8 6.89 6
  156.9 8.11 8
  157.0 10.13 10
  157.1 11.5 11
  157.2 10.91 10
  157.3 8.61 8
  157.4 5.77 5
  157.5 3.22 3
  158.4 1.78 1
  158.5 3.28 3
  158.6 5.27 5
  158.7 7.54 7
  158.8 10.8 10
  158.9 15.76 15
  159.0 21.13 21
  159.1 24.16 24
  159.2 23.35 23
  159.3 19.38 19
  159.4 13.57 13
  159.5 7.29 7
  159.6 2.29 2
  160.6 1.19 1
  160.7 2.36 2
  160.8 4.53 4
  160.9 7.95 7
  161.0 11.84 11
  161.1 14.37 14
  161.2 13.83 13
  161.3 10.18 10
  161.4 5.26 5
  161.5 1.54 1
  166.5 0.98 0
  166.6 2.51 2
  166.7 4.36 4
  166.8 5.8 5
  166.9 6.79 6
  167.0 8.05 8
  167.1 9.66 9
  167.2 10.33 10
  167.3 8.77 8
  167.4 5.49 5
  167.5 2.27 2
  168.6 2.32 2
  168.7 3.63 3
  168.8 6.95 6
  168.9 12.17 12
  169.0 16.92 16
  169.1 18.38 18
  169.2 16.21 16
  169.3 12.37 12
  169.4 8.37 8
  169.5 4.54 4
  169.6 1.42 1
  170.4 0.84 0
  170.5 2.16 2
  170.6 4.82 4
  170.7 9.27 9
  170.8 15.16 15
  170.9 21.27 21
  171.0 26.18 26
  171.1 29.11 29
  171.2 29.78 29
  171.3 27.74 27
  171.4 22.28 22
  171.5 13.89 13
  171.6 5.43 5
  171.7 0.54 0
  172.4 0.46 0
  172.5 1.89 1
  172.6 4.78 4
  172.7 8.22 8
  172.8 11.18 11
  172.9 13.18 13
  173.0 13.99 13
  173.1 13.8 13
  173.2 13.53 13
  173.3 13.47 13
  173.4 12.07 12
  173.5 8.04 8
  173.6 3.04 3
  174.5 1.55 1
  174.6 2.79 2
  174.7 4.52 4
  174.8 6.92 6
  174.9 9.79 9
  175.0 12.17 12
  175.1 13.32 13
  175.2 13.71 13
  175.3 13.9 13
  175.4 12.78 12
  175.5 9.03 9
  175.6 3.86 3
  176.7 2.01 2
  176.8 3.09 3
  176.9 4.1 4
  177.0 5.22 5
  177.1 6.25 6
  177.2 6.5 6
  177.3 5.41 5
  177.4 3.34 3
  178.7 1.28 1
  178.8 3.48 3
  178.9 5.9 5
  179.0 6.89 6
  179.1 5.75 5
  179.2 3.49 3
  180.6 0.43 0
  180.7 2.06 2
  180.8 5.67 5
  180.9 10.45 10
  181.0 13.82 13
  181.1 13.6 13
  181.2 10.47 10
  181.3 7.03 7
  181.4 4.73 4
  181.5 2.91 2
  182.6 2.08 2
  182.7 3.92 3
  182.8 6.7 6
  182.9 9.75 9
  183.0 12.39 12
  183.1 14.14 14
  183.2 14.19 14
  183.3 11.58 11
  183.4 6.86 6
  183.5 2.34 2
  184.4 1.33 1
  184.5 2.56 2
  184.6 4.67 4
  184.7 7.23 7
  184.8 10.01 9
  184.9 13.51 13
  185.0 17.95 17
  185.1 22.07 22
  185.2 23.7 23
  185.3 21.27 21
  185.4 15.08 15
  185.5 7.53 7
  185.6 1.94 1
  186.4 0.34 0
  186.5 2.14 2
  186.6 6.14 6
  186.7 13.31 13
  186.8 23.36 23
  186.9 34.47 34
  187.0 42.99 42
  187.1 45.94 45
  187.2 43.82 43
  187.3 38.68 38
  187.4 30.59 30
  187.5 19.23 19
  187.6 7.6 7
  187.7 1.25 1
  188.6 1.43 1
  188.7 3.24 3
  188.8 5.0 4
  188.9 6.08 6
  189.0 6.64 6
  189.1 7.03 7
  189.2 6.89 6
  189.3 5.5 5
  189.4 3.08 3
  190.8 1.84 1
  190.9 3.43 3
  191.0 4.79 4
  191.1 5.13 5
  191.2 4.25 4
  191.3 2.7 2
  192.7 2.33 2
  192.8 3.38 3
  192.9 4.55 4
  193.0 5.85 5
  193.1 6.7 6
  193.2 6.25 6
  193.3 4.41 4
  193.4 2.11 2
  194.4 0.69 0
  194.5 2.22 2
  194.6 4.1 4
  194.7 5.4 5
  194.8 5.8 5
  194.9 5.94 5
  195.0 6.96 6
  195.1 9.28 9
  195.2 11.5 11
  195.3 11.29 11
  195.4 7.99 7
  195.5 3.58 3
  196.4 1.23 1
  196.5 2.63 2
  196.6 4.59 4
  196.7 7.43 7
  196.8 11.13 11
  196.9 14.85 14
  197.0 17.49 17
  197.1 18.64 18
  197.2 18.63 18
  197.3 17.51 17
  197.4 14.66 14
  197.5 9.91 9
  197.6 4.7 4
  197.7 1.16 1
  198.6 1.81 1
  198.7 3.11 3
  198.8 4.52 4
  198.9 5.21 5
  199.0 5.54 5
  199.1 7.29 7
  199.2 10.46 10
  199.3 11.85 11
  199.4 8.99 8
