ACCESSION: NGA00674
RECORD_TITLE: Foetoside C; LC-ESI-QQQ; MS2;  Frag=135.0V CID@10.0 ; [M+Na]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: Foetoside C
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C58H94O25
CH$EXACT_MASS: 1191.3808800000002
CH$SMILES: CC1OC(OC2C(OC3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CC[C@]45C)C3(C)C)OCC(O)C2O)C(O)C(OC2OCC(O)C(O)C2O)C1O
CH$IUPAC: InChI=1S/C58H94O25/c1-24-34(62)45(81-48-41(69)35(63)27(60)21-74-48)44(72)50(77-24)82-46-36(64)28(61)22-75-51(46)80-33-12-13-55(6)31(54(33,4)5)11-14-57(8)32(55)10-9-25-26-19-53(2,3)15-17-58(26,18-16-56(25,57)7)52(73)83-49-43(71)40(68)38(66)30(79-49)23-76-47-42(70)39(67)37(65)29(20-59)78-47/h9,24,26-51,59-72H,10-23H2,1-8H3/t24?,26?,27?,28?,29?,30?,31?,32?,33?,34?,35?,36?,37?,38?,39?,40?,41?,42?,43?,44?,45?,46?,47?,48?,49?,50?,51?,55-,56+,57+,58?/m0/s1
CH$LINK: CAS 94483-11-1
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
PK$SPLASH: splash10-03di-6889444444-34145a2f4faaff0c6798
PK$NUM_PEAK: 9687
PK$PEAK: m/z int. rel.int.
  76.2 17.22 17
  76.3 17.33 17
  76.4 15.26 15
  76.5 12.32 12
  76.8 9.68 9
  76.9 10.98 10
  77.0 13.06 13
  77.1 15.13 15
  77.2 15.8 15
  77.3 14.16 14
  77.4 11.14 11
  77.7 9.88 9
  77.8 10.96 10
  77.9 11.5 11
  78.0 11.72 11
  78.1 12.04 12
  78.2 12.93 12
  78.3 14.53 14
  78.4 16.23 16
  78.5 17.0 16
  78.6 16.4 16
  78.7 14.88 14
  78.8 13.17 13
  79.7 3.46 3
  79.8 5.73 5
  79.9 9.09 9
  80.0 11.47 11
  80.1 11.73 11
  80.6 10.82 10
  80.7 11.18 11
  80.8 12.29 12
  80.9 13.93 13
  81.0 15.02 15
  81.1 14.42 14
  81.2 12.58 12
  82.0 10.82 10
  82.1 11.62 11
  82.2 12.77 12
  82.3 13.72 13
  82.4 14.15 14
  82.5 14.32 14
  82.6 14.41 14
  82.7 14.14 14
  84.1 11.33 11
  84.2 13.07 13
  84.3 14.28 14
  84.4 14.35 14
  84.5 14.05 14
  84.6 13.8 13
  84.7 13.15 13
  84.8 11.57 11
  84.9 9.53 9
  85.0 8.0 7
  85.3 7.68 7
  85.4 9.02 9
  85.5 11.48 11
  85.6 14.25 14
  85.7 15.82 15
  85.8 15.52 15
  85.9 13.98 13
  86.0 12.24 12
  86.1 10.4 10
  86.2 8.37 8
  86.4 6.54 6
  86.5 8.13 8
  86.6 11.02 11
  86.7 14.01 13
  86.8 15.69 15
  86.9 15.26 15
  87.0 13.0 12
  87.1 10.24 10
  87.4 8.15 8
  87.5 9.22 9
  87.6 10.9 10
  87.7 13.23 13
  87.8 15.34 15
  87.9 15.94 15
  88.0 14.91 14
  88.1 13.4 13
  88.2 12.43 12
  88.3 11.84 11
  88.4 10.92 10
  88.5 9.42 9
  88.8 8.05 8
  88.9 10.42 10
  89.0 13.69 13
  89.1 16.72 16
  89.2 18.24 18
  89.3 17.09 17
  89.4 13.58 13
  89.5 9.2 9
  89.6 5.6 5
  89.8 4.04 4
  89.9 6.79 6
  90.0 11.1 11
  90.1 14.63 14
  90.2 15.54 15
  90.3 14.28 14
  90.4 12.64 12
  90.5 11.5 11
  90.6 10.32 10
  90.9 7.54 7
  91.0 9.13 9
  91.1 11.73 11
  91.2 14.64 14
  91.3 17.17 17
  91.4 18.15 18
  91.5 16.46 16
  91.6 12.45 12
  91.7 8.25 8
  91.9 6.32 6
  92.0 8.14 8
  92.1 10.1 10
  92.2 11.06 11
  92.3 10.94 10
  92.4 10.68 10
  92.5 11.29 11
  92.6 12.51 12
  92.7 13.43 13
  92.8 13.65 13
  92.9 13.42 13
  93.0 13.09 13
  93.1 12.79 12
  93.2 12.2 12
  93.5 9.18 9
  93.6 11.37 11
  93.7 14.26 14
  93.8 15.82 15
  93.9 15.74 15
  94.0 14.85 14
  94.1 13.4 13
  94.2 11.4 11
  94.3 9.45 9
  95.0 7.44 7
  95.1 8.24 8
  95.2 8.96 8
  95.3 9.76 9
  95.4 10.89 10
  95.5 11.8 11
  95.6 12.48 12
  95.7 13.7 13
  95.8 16.05 16
  95.9 18.45 18
  96.0 19.03 19
  96.1 17.31 17
  96.2 14.88 14
  98.3 11.63 11
  98.4 12.57 12
  98.5 14.06 14
  98.6 15.26 15
  98.7 15.2 15
  98.8 14.12 14
  98.9 13.14 13
  99.0 12.55 12
  99.1 11.6 11
  99.2 9.93 9
  99.5 9.27 9
  99.6 11.1 11
  99.7 12.33 12
  99.8 12.72 12
  99.9 12.5 12
  100.0 11.81 11
  100.3 9.71 9
  100.4 10.82 10
  100.5 12.73 12
  100.6 14.83 14
  100.7 16.62 16
  100.8 17.53 17
  100.9 16.84 16
  101.0 14.65 14
  101.1 12.24 12
  101.7 10.91 10
  101.8 12.49 12
  101.9 15.01 14
  102.0 17.08 17
  102.1 17.46 17
  102.2 16.35 16
  102.3 14.9 14
  102.6 13.39 13
  102.7 14.16 14
  102.8 15.64 15
  102.9 16.89 16
  103.0 16.8 16
  103.1 15.14 15
  103.2 12.75 12
  103.3 10.65 10
  103.5 9.54 9
  103.6 10.54 10
  103.7 12.18 12
  103.8 13.99 13
  103.9 15.38 15
  104.0 15.9 15
  104.1 15.46 15
  104.2 14.46 14
  104.3 13.2 13
  104.4 11.83 11
  104.7 10.57 10
  104.8 11.67 11
  104.9 12.54 12
  105.0 12.45 12
  105.1 11.7 11
  105.2 11.56 11
  105.3 12.93 12
  105.4 15.3 15
  105.5 17.16 17
  105.6 17.31 17
  105.7 15.7 15
  105.8 13.17 13
  106.1 10.91 10
  106.2 14.45 14
  106.3 19.17 19
  106.4 22.73 22
  106.5 23.53 23
  106.6 21.6 21
  106.7 18.19 18
  106.8 14.58 14
  107.1 12.56 12
  107.2 14.81 14
  107.3 16.85 16
  107.4 18.06 18
  107.5 18.27 18
  107.6 17.22 17
  107.7 14.75 14
  107.8 11.28 11
  108.1 8.59 8
  108.2 11.49 11
  108.3 14.74 14
  108.4 17.41 17
  108.5 18.8 18
  108.6 19.07 19
  108.7 18.83 18
  108.8 18.43 18
  108.9 17.36 17
  109.0 15.52 15
  109.1 13.57 13
  109.2 12.22 12
  109.5 11.27 11
  109.6 12.58 12
  109.7 14.36 14
  109.8 15.77 15
  109.9 16.13 16
  110.0 15.45 15
  110.1 13.99 13
  110.2 12.53 12
  110.5 12.33 12
  110.6 13.26 13
  110.7 14.06 14
  110.8 14.38 14
  110.9 14.32 14
  111.0 13.95 13
  111.1 12.98 12
  111.5 11.6 11
  111.6 12.41 12
  111.7 12.82 12
  111.8 13.52 13
  111.9 14.92 14
  112.0 16.71 16
  112.1 18.41 18
  112.2 19.43 19
  112.3 19.18 19
  112.4 17.53 17
  112.5 15.06 15
  112.6 12.49 12
  112.9 10.86 10
  113.0 12.6 12
  113.1 14.64 14
  113.2 16.53 16
  113.3 17.82 17
  113.4 17.95 17
  113.5 16.67 16
  113.6 14.29 14
  113.7 11.73 11
  113.9 10.18 10
  114.0 11.74 11
  114.1 13.44 13
  114.2 13.72 13
  114.5 11.78 11
  114.6 14.01 13
  114.7 16.02 16
  114.8 16.4 16
  114.9 15.26 15
  115.6 11.45 11
  115.7 13.2 13
  115.8 14.72 14
  115.9 14.27 14
  116.0 12.4 12
  116.3 10.34 10
  116.4 11.52 11
  116.5 13.1 13
  116.6 14.59 14
  116.7 15.57 15
  116.8 15.73 15
  116.9 15.36 15
  117.0 15.32 15
  117.1 15.82 15
  117.2 15.73 15
  117.3 13.91 13
  117.6 10.12 10
  117.7 12.78 12
  117.8 15.35 15
  117.9 16.33 16
  118.0 15.65 15
  118.1 14.13 14
  118.2 12.68 12
  118.6 11.18 11
  118.7 11.95 11
  118.8 13.35 13
  118.9 15.0 14
  119.0 16.57 16
  119.1 17.78 17
  119.2 18.38 18
  119.3 18.12 18
  119.4 16.72 16
  119.5 14.53 14
  119.8 13.37 13
  119.9 14.31 14
  120.0 14.46 14
  120.1 14.65 14
  120.2 15.69 15
  120.3 17.2 17
  120.4 17.97 17
  120.5 17.09 17
  120.6 14.58 14
  120.7 11.56 11
  121.0 10.58 10
  121.1 12.78 12
  121.2 15.04 15
  121.3 16.67 16
  121.4 17.19 17
  121.5 16.52 16
  121.6 15.0 14
  121.7 13.07 13
  121.8 11.21 11
  121.9 9.69 9
  122.2 8.54 8
  122.3 9.3 9
  122.4 10.34 10
  122.5 11.55 11
  122.6 13.0 12
  122.7 14.63 14
  122.8 16.01 15
  122.9 16.24 16
  123.0 14.9 14
  123.3 13.49 13
  123.4 15.07 15
  123.5 16.18 16
  123.6 16.7 16
  123.7 16.57 16
  123.8 15.54 15
  123.9 13.98 13
  124.2 11.59 11
  124.3 12.71 12
  124.4 14.73 14
  124.5 16.42 16
  124.6 16.6 16
  124.9 14.02 14
  125.0 15.63 15
  125.1 17.6 17
  125.2 18.43 18
  125.3 17.34 17
  125.4 14.76 14
  125.5 12.12 12
  125.7 11.15 11
  125.8 12.74 12
  125.9 14.81 14
  126.0 16.47 16
  126.1 16.92 16
  126.2 16.06 16
  126.3 14.71 14
  127.0 14.27 14
  127.1 15.65 15
  127.2 16.77 16
