ACCESSION: NGA00962
RECORD_TITLE: Cycloheximide; LC-ESI-QQQ; MS2; Frag=135.0V CID@15.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Microbe
COMMENT: SubCategory_DNP: Alkaloids derived from lysine, Piperidine alkaloids
CH$NAME: Cycloheximide
CH$COMPOUND_CLASS: Alkaloids
CH$FORMULA: C15H23NO4
CH$EXACT_MASS: 281.35486000000003
CH$SMILES: CC1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)N=C(O)C2)C1
CH$IUPAC: InChI=1S/C15H23NO4/c1-8-3-9(2)15(20)11(4-8)12(17)5-10-6-13(18)16-14(19)7-10/h8-12,17H,3-7H2,1-2H3,(H,16,18,19)/t8?,9-,11-,12+/m0/s1
CH$LINK: CAS 66-81-9
CH$LINK: PUBCHEM CID:5962
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0002-0790000000-58518cfe6bff07098648
PK$NUM_PEAK: 377
PK$PEAK: m/z int. rel.int.
  182.9 10.35 10
  183.0 13.7 13
  183.1 15.82 15
  183.2 16.01 15
  183.3 14.11 14
  183.4 10.29 10
  183.5 5.48 5
  183.6 1.47 1
  184.5 1.42 1
  184.6 2.6 2
  184.7 5.24 5
  184.8 9.03 9
  184.9 12.89 12
  185.0 15.64 15
  185.1 16.67 16
  185.2 16.18 16
  185.3 14.58 14
  185.4 11.76 11
  185.5 7.7 7
  185.6 3.5 3
  186.3 2.2 2
  186.4 3.46 3
  186.5 5.33 5
  186.6 8.11 8
  186.7 12.33 12
  186.8 18.07 18
  186.9 24.29 24
  187.0 29.31 29
  187.1 32.1 32
  187.2 32.56 32
  187.3 30.25 30
  187.4 24.18 24
  187.5 14.88 14
  187.6 5.76 5
  188.8 3.64 3
  188.9 5.73 5
  189.0 7.77 7
  189.1 9.12 9
  189.2 9.82 9
  189.3 9.77 9
  189.4 8.27 8
  189.5 5.25 5
  200.6 4.74 4
  200.7 7.56 7
  200.8 13.06 13
  200.9 20.31 20
  201.0 27.19 27
  201.1 31.56 31
  201.2 32.37 32
  201.3 29.46 29
  201.4 23.03 23
  201.5 14.24 14
  201.6 5.87 5
  201.7 0.85 0
  204.7 4.98 4
  204.8 7.82 7
  204.9 12.76 12
  205.0 18.53 18
  205.1 22.92 22
  205.2 24.37 24
  205.3 22.3 22
  205.4 16.85 16
  205.5 9.45 9
  205.6 2.9 2
  217.7 0.94 0
  217.8 2.47 2
  217.9 4.93 4
  218.0 7.35 7
  218.1 8.63 8
  218.2 8.63 8
  218.3 8.12 8
  218.4 7.54 7
  218.5 6.73 6
  218.6 6.43 6
  218.7 8.39 8
  218.8 13.36 13
  218.9 20.07 20
  219.0 26.56 26
  219.1 31.47 31
  219.2 33.54 33
  219.3 31.17 31
  219.4 23.79 23
  219.5 13.55 13
  219.6 4.61 4
  227.7 1.71 1
  227.8 3.1 3
  227.9 5.21 5
  228.0 7.74 7
  228.1 9.85 9
  228.2 10.67 10
  228.3 10.1 10
  228.6 7.09 7
  228.7 11.25 11
  228.8 20.21 20
  228.9 30.8 30
  229.0 38.48 38
  229.1 41.66 41
  229.2 41.48 41
  229.3 38.01 37
  229.4 29.66 29
  229.5 17.21 17
  229.6 5.45 5
  229.7 0.0 0
  245.3 1.77 1
  245.4 3.79 3
  245.5 6.66 6
  245.6 10.95 10
  245.7 19.86 19
  245.8 36.74 36
  245.9 60.19 60
  246.0 83.03 82
  246.1 97.36 97
  246.2 100.0 99
  246.3 92.12 92
  246.4 75.56 75
  246.5 53.02 52
  246.6 31.6 31
  246.8 26.92 26
  246.9 43.45 43
  247.0 60.3 60
  247.1 70.03 69
  247.2 71.52 71
  247.3 66.03 65
  247.4 53.3 53
  247.5 33.98 33
  247.6 13.83 13
  247.7 1.08 1
  263.4 1.92 1
  263.5 3.33 3
  263.6 5.65 5
  263.7 9.69 9
  263.8 16.17 16
  263.9 24.71 24
  264.0 33.16 33
  264.1 38.54 38
  264.2 38.97 38
  264.3 34.58 34
  264.4 26.75 26
  264.5 17.43 17
  264.6 9.36 9
  264.8 6.06 6
  264.9 9.63 9
  265.0 13.69 13
  265.1 16.73 16
  265.2 17.65 17
  265.3 15.74 15
  265.4 11.43 11
  265.5 6.29 6
  265.6 2.11 2
//
