ACCESSION: NGA00140
RECORD_TITLE: Dihydroqinghaosu, Dihydroartemisinin.; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Sesquiterpenoids
CH$NAME: Dihydroqinghaosu, Dihydroartemisinin.
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C15H24O5
CH$EXACT_MASS: 284.3555
CH$SMILES: C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)OC3O[C@]4(C)CCC1C32OO4
CH$IUPAC: InChI=1S/C15H24O5/c1-8-4-5-11-9(2)12(16)17-13-15(11)10(8)6-7-14(3,18-13)19-20-15/h8-13,16H,4-7H2,1-3H3/t8-,9-,10?,11+,12+,13?,14+,15?/m1/s1
CH$LINK: CAS 71939-50-9
CH$LINK: CHEMSPIDER 2272104
CH$LINK: INCHIKEY BJDCWCLMFKKGEE-LVSKYXAASA-N
CH$LINK: PUBCHEM CID:44713104
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-000i-6988880000-5dcc1ac152f12cbd3f74
PK$NUM_PEAK: 1854
PK$PEAK: m/z int. rel.int.
  106.6 9.03 9
  106.7 9.42 9
  106.8 7.6 7
  107.7 3.83 3
  107.8 8.35 8
  107.9 11.26 11
  108.0 9.85 9
  108.3 3.61 3
  108.4 7.07 7
  108.5 10.05 10
  108.6 10.24 10
  108.7 7.7 7
  109.0 4.52 4
  109.1 7.32 7
  109.2 8.95 8
  109.3 7.79 7
  109.6 4.65 4
  109.7 7.84 7
  109.8 9.99 9
  109.9 9.35 9
  110.0 6.68 6
  110.9 4.6 4
  111.0 6.96 6
  111.1 8.58 8
  111.2 7.91 7
  112.8 5.51 5
  112.9 7.75 7
  113.0 9.77 9
  113.1 9.44 9
  113.2 6.63 6
  114.1 3.78 3
  114.2 6.63 6
  114.3 8.87 8
  114.4 8.63 8
  115.3 4.76 4
  115.4 8.84 8
  115.5 14.21 14
  115.6 15.43 15
  115.7 10.83 10
  115.8 4.54 4
  116.0 2.71 2
  116.1 5.71 5
  116.2 8.1 8
  116.3 8.43 8
  116.4 6.47 6
  117.2 3.72 3
  117.3 6.63 6
  117.4 10.55 10
  117.5 12.02 12
  117.6 9.65 9
  117.7 5.21 5
  121.1 2.67 2
  121.2 6.07 6
  121.3 9.04 9
  121.4 9.24 9
  121.5 6.91 6
  122.4 3.78 3
  122.5 7.06 7
  122.6 10.31 10
  122.7 10.58 10
  122.8 7.66 7
  124.3 3.43 3
  124.4 6.71 6
  124.5 10.12 10
  124.6 10.51 10
  124.7 7.2 7
  125.0 3.65 3
  125.1 7.39 7
  125.2 9.26 9
  125.3 8.11 8
  126.2 2.26 2
