ACCESSION: CB000340
RECORD_TITLE: Lasalocid A Na salt; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
CH$NAME: Lasalocid A Na salt
CH$COMPOUND_CLASS: Polyketide
CH$FORMULA: C34H53NaO8
CH$EXACT_MASS: 612.7865
CH$SMILES: CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c([O-])c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C.[Na+]
CH$IUPAC: InChI=1S/C34H54O8.Na/c1-9-25(31-21(6)18-34(11-3,42-31)26-16-17-33(40,10-2)23(8)41-26)30(37)22(7)28(35)19(4)12-14-24-15-13-20(5)29(36)27(24)32(38)39;/h13,15,19,21-23,25-26,28,31,35-36,40H,9-12,14,16-18H2,1-8H3,(H,38,39);/q;+1/p-1/t19-,21+,22+,23+,25+,26-,28+,31+,33-,34+;/m1./s1
CH$LINK: INCHIKEY RDHDUYAKDYQPEW-HWLWSTNVSA-M
CH$LINK: COMPTOX DTXSID9045895
CH$LINK: PUBCHEM CID:6426773
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0a4i-0234097000-66b1194d29c1635be50c
PK$NUM_PEAK: 321
PK$PEAK: m/z int. rel.int.
  590.9000 443556.9063 573
  591.0000 478596.5000 619
  591.1000 446202.9688 577
  591.2000 453212.6250 586
  591.3000 436751.4375 565
  591.4000 351315.5000 454
  591.5000 243392.7656 314
  591.6000 108387.0234 139
  591.7000 129407.0859 166
  591.8000 178169.2500 229
  591.9000 159442.4688 205
  592.0000 197898.7188 255
  592.1000 188929.9375 243
  592.2000 194909.1719 251
  592.3000 176785.8438 228
  592.4000 157028.4375 202
  592.5000 105443.8672 135
  592.6000 55019.8281 70
  592.7000 41845.1563 53
  592.8000 52513.0273 67
  592.9000 50303.3164 64
  593.0000 60117.0195 76
  593.1000 45271.1328 57
  593.2000 46478.1094 59
  593.3000 49504.8477 63
  593.4000 47759.3789 60
  593.5000 26163.6680 32
  607.4000 24371.7617 30
  607.5000 76383.4375 97
  607.6000 250569.6719 323
  607.7000 486692.5938 629
  607.8000 636107.7500 823
  607.9000 688073.1250 890
  608.0000 731868.0000 947
  608.1000 771614.8750 999
  608.2000 676532.3750 875
  608.3000 688797.4375 891
  608.4000 626099.2500 810
  608.5000 417151.8438 539
  608.6000 213255.2969 275
  608.7000 262073.0156 338
  608.8000 242659.2031 313
  608.9000 288933.0313 373
  609.0000 325374.8125 420
  609.1000 272703.7813 352
  609.2000 269955.6250 348
  609.3000 285516.4688 369
  609.4000 223022.5938 288
  609.5000 198892.2188 256
  609.6000 74155.1641 95
  609.7000 62261.7461 79
  609.8000 57396.6719 73
  609.9000 65084.2227 83
  610.0000 76596.9844 98
  610.1000 70441.3672 90
  610.2000 81220.6563 104
  610.3000 76151.3047 97
  610.4000 46886.6445 59
  610.5000 39876.8516 50
  611.0000 20240.1777 25
  611.1000 22338.4648 27
  612.6000 35113.9141 44
  612.7000 76894.0781 98
  612.8000 67303.2188 86
  612.9000 83318.9375 106
  613.0000 85277.9688 109
  613.1000 83226.0859 106
  613.2000 89725.2109 115
  613.3000 87989.0156 113
  613.4000 60664.8008 77
  613.5000 30935.8965 39
  613.6000 17037.0273 21
  613.7000 30657.3633 38
  613.8000 36088.7813 45
  613.9000 34658.9727 43
  614.0000 30926.6133 39
  614.1000 29728.9160 37
  614.2000 36562.2969 46
  614.3000 35587.4180 45
  614.4000 30425.2500 38
  621.9000 21994.9316 27
  622.3000 17464.1172 21
  1180.9000 18680.3789 23
  1181.2000 21484.2949 26
  1181.3000 17575.5254 21
  1181.4000 21772.1094 27
  1181.6000 17046.3105 21
  1181.7000 19200.3125 23
  1182.0000 18262.5781 22
  1182.3000 17482.6816 21
  1197.4000 29106.8496 36
  1197.5000 67758.1641 86
  1197.6000 71620.4922 91
  1197.7000 101507.2734 130
  1197.8000 131319.7656 169
  1197.9000 144280.8438 185
  1198.0000 133835.8281 172
  1198.1000 157687.6719 203
  1198.2000 154930.1719 199
  1198.3000 160491.6250 206
  1198.4000 181177.3906 233
  1198.5000 180295.4063 232
  1198.6000 182700.0313 235
  1198.7000 124894.8828 160
  1198.8000 131607.5938 169
  1198.9000 133278.7500 171
  1199.0000 117030.9063 150
  1199.1000 123817.9141 159
  1199.2000 114997.6094 148
  1199.3000 126371.0859 162
  1199.4000 141059.2031 181
  1199.5000 115870.3672 149
  1199.6000 107560.7344 138
  1199.7000 106205.2188 136
  1199.8000 60302.7109 77
  1199.9000 69020.8438 88
  1200.0000 51083.2266 65
  1200.1000 63143.7656 80
  1200.2000 53738.5898 68
  1200.3000 57368.8242 73
  1200.4000 62995.2148 80
  1200.5000 44407.6680 56
  1200.6000 42597.1914 54
  1200.7000 49170.6133 62
  1200.8000 22180.6250 27
  1200.9000 17612.6621 21
  1201.0000 30963.7539 39
  1201.1000 20073.0508 25
  1201.2000 19302.4414 24
  1201.3000 17547.6699 21
  1201.4000 21679.2637 27
  1201.5000 23981.8281 30
  1201.7000 17018.4609 21
//
