ACCESSION: NGA00880
RECORD_TITLE: Zearalenol; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Microbe, Resorcinols, Lactones
CH$NAME: Zearalenol
CH$COMPOUND_CLASS: Carbohydrates
CH$FORMULA: C18H24O5
CH$EXACT_MASS: 320.389
CH$SMILES: C[C@H]1CCCC(O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1
CH$IUPAC: InChI=1S/C18H24O5/c1-12-6-5-9-14(19)8-4-2-3-7-13-10-15(20)11-16(21)17(13)18(22)23-12/h3,7,10-12,14,19-21H,2,4-6,8-9H2,1H3/b7-3+/t12-,14?/m0/s1
CH$LINK: CAS 36455-72-8];[71030-11-0
CH$LINK: CHEMSPIDER 4754563
CH$LINK: INCHIKEY FPQFYIAXQDXNOR-FLBVUZLHSA-N
CH$LINK: PUBCHEM CID:6427035
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-004i-3930000000-86b39a9b92c26a564223
PK$NUM_PEAK: 508
PK$PEAK: m/z int. rel.int.
  68.3 1.82 1
  68.4 3.3 3
  68.5 4.8 4
  68.6 6.35 6
  68.7 8.76 8
  68.8 12.44 12
  68.9 16.26 16
  69.0 18.25 18
  69.1 17.7 17
  69.2 15.64 15
  69.3 12.93 12
  69.4 9.27 9
  69.5 4.87 4
  69.6 1.32 1
  70.8 2.18 2
  70.9 3.84 3
  71.0 5.42 5
  71.1 5.76 5
  71.2 4.58 4
  71.3 2.81 2
  78.5 1.88 1
  78.6 4.0 3
  78.7 6.27 6
  78.8 8.61 8
  78.9 11.74 11
  79.0 15.42 15
  79.1 17.54 17
  79.2 16.05 16
  79.3 11.35 11
  79.4 5.94 5
  79.5 2.24 2
  80.2 1.05 1
  80.3 3.05 3
  80.4 5.78 5
  80.5 7.17 7
  80.6 6.99 6
  80.7 9.21 9
  80.8 18.09 18
  80.9 30.94 30
  81.0 39.55 39
  81.1 39.27 39
  81.2 32.76 32
  81.3 24.39 24
  81.4 15.64 15
  81.5 7.31 7
  81.6 1.68 1
  92.3 1.48 1
  92.4 2.92 2
  92.5 4.42 4
  92.6 5.81 5
  92.7 8.52 8
  92.8 14.17 14
  92.9 21.55 21
  93.0 26.81 26
  93.1 27.66 27
  93.2 25.12 25
  93.3 20.52 20
  93.4 13.86 13
  93.5 6.34 6
  93.6 0.9 0
  94.4 0.48 0
  94.5 2.1 2
  94.6 6.8 6
  94.7 12.9 12
  94.8 18.39 18
  94.9 22.89 22
  95.0 27.44 27
  95.1 30.33 30
  95.2 27.73 27
  95.3 19.38 19
  95.4 9.97 9
  95.5 4.32 4
  104.5 1.11 1
  104.6 2.6 2
  104.7 4.58 4
  104.8 5.95 5
  104.9 5.85 5
  105.0 4.47 4
  106.5 1.38 1
  106.6 2.76 2
  106.7 4.71 4
  106.8 7.26 7
  106.9 10.08 10
  107.0 11.9 11
  107.1 11.48 11
  107.2 9.05 9
  107.3 6.06 6
  107.4 3.61 3
  108.4 2.15 2
  108.5 3.37 3
  108.6 5.93 5
  108.7 9.48 9
  108.8 12.2 12
  108.9 12.48 12
  109.0 11.36 11
  109.1 11.27 11
  109.2 12.37 12
  109.3 12.23 12
  109.4 9.32 9
  109.5 5.01 5
  109.6 1.74 1
  118.9 3.5 3
  119.0 5.21 5
  119.1 6.81 6
  119.2 7.41 7
  119.3 6.36 6
  119.4 4.01 4
  120.5 2.07 2
  120.6 3.49 3
  120.7 5.68 5
  120.8 9.0 8
  120.9 13.06 13
  121.0 17.14 17
  121.1 20.24 20
  121.2 20.94 20
  121.3 17.96 17
  121.4 11.75 11
  121.5 5.05 5
  121.6 0.81 0
  122.5 2.75 2
  122.6 4.97 4
  122.7 8.86 8
  122.8 13.53 13
  122.9 17.8 17
  123.0 20.91 20
  123.1 22.01 21
  123.2 19.9 19
  123.3 14.48 14
  123.4 7.83 7
  123.5 2.8 2
  130.6 2.75 2
  130.7 4.27 4
  130.8 5.98 5
  130.9 7.09 7
  131.0 7.45 7
  131.1 7.61 7
  131.2 7.59 7
  131.3 6.68 6
  131.4 4.63 4
  131.5 2.28 2
  132.7 2.06 2
  132.8 3.55 3
  132.9 5.18 5
  133.0 6.35 6
  133.1 6.83 6
  133.2 6.62 6
  133.3 5.56 5
  133.4 3.72 3
  134.6 0.9 0
  134.7 4.68 4
  134.8 11.1 11
  134.9 16.8 16
  135.0 18.75 18
  135.1 17.59 17
  135.2 15.73 15
  135.3 13.48 13
  135.4 9.66 9
  135.5 4.76 4
  135.6 1.14 1
  136.5 1.84 1
  136.6 3.19 3
  136.7 4.54 4
  136.8 5.44 5
  136.9 5.69 5
  137.0 5.72 5
  137.1 6.52 6
  137.2 8.41 8
  137.3 9.79 9
  137.4 8.5 8
  137.5 4.78 4
  144.6 1.33 1
  144.7 2.69 2
  144.8 4.31 4
  144.9 5.57 5
  145.0 6.32 6
  145.1 6.6 6
  145.2 6.14 6
  145.3 4.77 4
  145.4 2.98 2
  146.4 1.61 1
  146.5 3.15 3
  146.6 5.54 5
  146.7 8.34 8
  146.8 11.31 11
  146.9 14.36 14
  147.0 16.73 16
  147.1 16.86 16
  147.2 13.88 13
  147.3 8.77 8
  147.4 3.78 3
  148.4 1.2 1
  148.5 2.08 2
  148.6 5.22 5
  148.7 12.13 12
  148.8 21.78 21
  148.9 29.81 29
  149.0 32.23 32
  149.1 29.42 29
  149.2 24.47 24
  149.3 18.6 18
  149.4 11.48 11
  149.5 4.58 4
  160.4 4.25 4
  160.5 6.12 6
  160.6 9.52 9
  160.7 16.35 16
  160.8 26.67 26
  160.9 36.68 36
  161.0 42.05 42
  161.1 41.72 41
  161.2 37.01 36
  161.3 29.06 29
  161.4 19.12 19
  161.5 9.62 9
  161.6 2.93 2
  162.3 1.06 1
  162.4 2.97 2
  162.5 7.12 7
  162.6 12.22 12
  162.7 16.21 16
  162.8 17.97 17
  162.9 18.51 18
  163.0 19.88 19
  163.1 22.49 22
