ACCESSION: CB000266
RECORD_TITLE: Gyrophoric acid; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Microbe, Carboxylic acids
CH$NAME: Gyrophoric acid
CH$COMPOUND_CLASS: Carbohydrates
CH$FORMULA: C24H20O10
CH$EXACT_MASS: 468.421
CH$SMILES: Cc1cc(OC(=O)c2c(C)cc(OC(=O)c3c(C)cc(O)cc3O)cc2O)cc(O)c1C(=O)O
CH$IUPAC: InChI=1S/C24H20O10/c1-10-4-13(25)7-16(26)20(10)23(31)34-15-6-12(3)21(18(28)9-15)24(32)33-14-5-11(2)19(22(29)30)17(27)8-14/h4-9,25-28H,1-3H3,(H,29,30)
CH$LINK: CAS 548-89-0
CH$LINK: CHEMSPIDER 119550
CH$LINK: INCHIKEY ATQPZSQVWCPVGV-UHFFFAOYSA-N
CH$LINK: COMPTOX DTXSID30203289
CH$LINK: PUBCHEM CID:135728
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0udi-0912402002-45e88868e472dc13b6c9
PK$NUM_PEAK: 644
PK$PEAK: m/z int. rel.int.
  148.4000 20145.8789 88
  148.5000 34069.1055 151
  148.7000 43092.0195 191
  149.3000 46514.4609 206
  149.4000 7700.5801 33
  149.6000 7856.1196 34
  149.8000 5911.5342 25
  149.9000 5444.8369 23
  150.3000 31424.4688 139
  150.4000 41691.8711 185
  150.5000 198658.6250 886
  150.6000 223938.2188 999
  150.7000 157666.8281 703
  150.8000 145143.7188 647
  150.9000 149344.0156 665
  151.0000 173223.4844 772
  151.1000 139698.8906 622
  151.2000 169645.4531 756
  151.3000 129431.4844 576
  151.4000 54370.5547 241
  151.5000 38347.1836 170
  151.6000 18356.8652 80
  151.7000 33135.6992 146
  151.8000 11667.5000 51
  152.0000 39047.2344 173
  152.1000 18201.2988 80
  152.3000 11978.6338 52
  152.5000 5289.2666 22
  152.7000 12367.5488 54
  153.1000 11589.7168 50
  153.6000 5367.0503 22
  154.3000 12989.8154 57
  154.6000 5522.6143 23
  155.0000 5755.9668 24
  157.4000 9256.2168 40
  159.3000 12523.1162 54
  160.1000 6300.4502 27
  160.7000 5133.7002 21
  160.8000 19134.6992 84
  161.4000 5211.4834 22
  162.4000 5755.9668 24
  162.5000 5055.9165 21
  162.8000 9333.9990 40
  162.9000 9645.1318 42
  164.4000 5444.8330 23
  165.3000 5055.9165 21
  166.4000 8400.6045 36
  166.6000 25279.5859 111
  166.7000 23257.2246 102
  166.8000 24890.6719 110
  166.9000 11511.9395 50
  168.6000 10889.6660 47
  168.9000 5055.9165 21
  169.0000 19134.6992 84
  169.1000 19056.9141 84
  169.2000 5367.0503 22
  170.5000 5522.6162 23
  171.7000 6144.8828 26
  173.3000 11200.7988 49
  174.4000 11589.7168 50
  176.0000 12289.7656 53
  176.3000 12756.4668 55
  176.5000 9567.3486 41
  176.8000 23023.8652 101
  177.0000 22323.8145 98
  177.1000 15167.7490 66
  177.4000 10578.5322 46
  182.7000 12523.1162 54
  185.2000 5678.1836 24
  185.6000 6222.6660 26
  186.0000 6378.2334 27
  186.3000 6378.2334 27
  186.4000 6144.8828 26
  187.3000 6378.2334 27
  188.0000 5833.7500 25
  188.5000 5367.0503 22
  188.7000 5600.3999 24
  188.8000 5289.2666 22
  189.0000 5055.9165 21
  189.5000 8945.0830 38
  189.6000 8245.0322 35
  189.8000 8322.8164 36
  190.7000 10111.8320 44
  191.6000 5600.3999 24
  191.7000 12600.9004 55
  191.8000 5367.0503 22
  192.9000 5678.1836 24
  195.2000 5678.1836 24
  195.7000 5522.6162 23
  195.8000 5055.9165 21
  196.4000 12367.5488 54
  196.8000 12600.9004 55
  197.9000 5367.0537 22
  198.3000 51492.5742 228
  198.9000 6767.1538 29
  199.1000 14623.2686 64
  199.6000 11123.0156 48
  200.1000 5055.9165 21
  202.2000 6767.1494 29
  205.1000 5833.7500 25
  211.2000 5289.2666 22
  211.9000 5911.5332 25
  212.2000 6222.6660 26
  212.8000 6067.1001 26
  213.6000 7933.8984 34
  216.9000 7156.0674 30
  218.7000 12289.7656 53
  219.1000 5911.5332 25
  219.7000 6222.6660 26
  221.1000 13067.6074 57
  221.5000 7622.7720 33
  221.7000 11589.7178 50
  222.3000 21312.6387 94
  223.5000 6689.3701 28
  224.0000 9178.4365 39
  224.7000 7000.5083 30
  225.0000 12600.9121 55
  226.9000 8322.8164 36
  229.5000 6067.1001 26
  231.5000 5911.5332 25
  231.6000 6378.2334 27
  231.7000 5833.7500 25
  233.3000 18512.4336 81
  236.7000 5755.9668 24
  237.0000 5367.0503 22
  238.6000 44103.1484 195
  239.3000 8945.0859 38
  240.0000 10656.3154 46
  240.6000 11356.3652 49
  242.8000 5678.1836 24
  245.4000 6144.8828 26
  245.7000 6300.4502 27
  245.9000 6067.1001 26
  246.5000 6144.8828 26
  247.0000 6067.1001 26
  251.3000 10267.3994 44
  252.9000 5678.1836 24
  253.1000 5367.0503 22
  253.5000 6067.1001 26
  254.0000 6611.5835 28
  255.1000 5444.8330 23
  255.3000 5444.8330 23
  255.5000 6300.4502 27
  256.1000 6611.5835 28
  256.5000 6067.1001 26
  257.4000 13223.1670 58
  258.8000 4978.1333 21
  259.8000 6611.5835 28
  260.8000 9956.2637 43
  261.5000 5055.9185 21
  265.6000 11045.2324 48
  266.6000 11278.5820 49
  269.5000 5522.6162 23
  269.7000 6222.6660 26
  272.0000 6533.8003 28
  274.4000 6533.8003 28
  274.8000 5678.1836 24
  275.1000 5678.1836 24
  276.1000 6533.8003 28
  276.5000 6456.0166 27
  277.6000 13456.5156 59
  279.0000 8400.6074 36
  279.2000 10189.6201 44
  279.8000 18279.0801 80
  284.9000 5289.2666 22
  285.0000 5133.7002 21
  286.6000 5211.4834 22
  287.4000 6144.8828 26
  288.0000 6689.3662 28
  288.6000 5755.9668 24
  288.8000 6144.8828 26
  289.3000 5989.3169 25
  289.4000 5755.9668 24
  290.5000 6378.2334 27
  290.6000 6067.1001 26
  292.6000 5989.3169 25
  295.0000 8478.3828 36
  295.8000 4978.1333 21
  298.1000 11823.0664 51
  300.2000 5289.2666 22
  300.3000 18979.1328 83
  300.4000 33369.0547 148
  300.5000 32513.4355 144
  300.6000 53203.7969 236
  300.7000 33057.9219 146
  300.8000 39436.1445 175
  300.9000 52737.0938 234
  301.0000 52737.0938 234
  301.1000 74905.3672 333
  301.2000 32746.7852 145
  301.3000 11745.2822 51
  301.4000 20223.6641 89
  301.5000 13300.9492 58
  301.7000 6533.8003 28
  301.9000 13378.7324 58
  302.1000 13456.5156 59
  302.2000 6767.1494 29
  303.1000 6689.3662 28
  303.4000 6767.1494 29
  303.9000 6689.3662 28
  309.4000 6378.2334 27
  310.1000 6144.8828 26
  312.3000 12367.5488 54
  312.7000 5367.0503 22
  312.8000 5133.7002 21
  313.1000 5055.9165 21
  313.2000 5289.2666 22
  316.9000 5755.9668 24
  317.1000 5600.3999 24
  319.0000 6533.8003 28
  320.7000 6456.0166 27
  320.8000 5911.5332 25
  323.2000 5522.6162 23
  324.8000 5911.5332 25
  326.6000 9956.2656 43
  329.2000 6456.0166 27
  332.5000 6378.2334 27
  332.8000 6144.8828 26
  335.3000 6222.6660 26
  338.7000 6222.6660 26
  339.1000 6300.4502 27
  344.6000 6067.1001 26
  344.9000 6611.5835 28
  345.1000 6378.2334 27
  349.0000 6300.4502 27
  349.1000 6689.3662 28
  351.5000 6456.0166 27
  351.6000 6533.8003 28
  354.6000 5678.1836 24
  355.9000 5755.9668 24
  356.7000 6067.1001 26
  357.5000 6611.5835 28
  357.6000 6611.5835 28
  361.1000 27379.7324 121
  366.9000 13378.7324 58
  368.3000 5755.9668 24
  368.4000 6300.4502 27
  368.5000 5211.4834 22
  369.1000 12367.5488 54
  369.2000 5444.8330 23
  369.6000 6067.1001 26
  370.3000 6067.1001 26
  370.8000 5289.2666 22
  371.0000 5133.7002 21
  372.8000 6144.8828 26
  373.7000 6533.8003 28
  374.1000 6689.3662 28
  374.3000 6378.2334 27
  376.7000 6689.3662 28
  381.2000 6533.7998 28
  383.5000 6456.0166 27
  386.6000 6533.7998 28
  388.6000 5522.6162 23
  389.8000 6611.5835 28
  390.6000 6844.9326 29
  390.8000 10422.9688 45
  390.9000 11200.7998 49
  391.2000 17656.8184 77
  391.5000 7000.4990 30
