ACCESSION: CB000274
RECORD_TITLE: Kanamycin; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Microbe, Glycosides, Aminoglycosides
CH$NAME: Kanamycin
CH$COMPOUND_CLASS: Carbohydrates
CH$FORMULA: C18H36N4O11
CH$EXACT_MASS: 484.5078
CH$SMILES: NC[C@@H]1O[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@@H]3O[C@@H](CO)[C@H](O)[C@@H](N)[C@@H]3O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O
CH$IUPAC: InChI=1S/C18H36N4O11/c19-2-6-10(25)12(27)13(28)18(30-6)33-16-5(21)1-4(20)15(14(16)29)32-17-11(26)8(22)9(24)7(3-23)31-17/h4-18,23-29H,1-3,19-22H2/t4-,5+,6+,7+,8-,9+,10+,11+,12-,13+,14-,15+,16-,17+,18+/m1/s1
CH$LINK: CAS 8063-07-8
CH$LINK: CHEMSPIDER 5810
CH$LINK: INCHIKEY SBUJHOSQTJFQJX-HZKXJDKASA-N
CH$LINK: PUBCHEM CID:16397788
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-03di-0942000000-6de6702236244bbc69e0
PK$NUM_PEAK: 317
PK$PEAK: m/z int. rel.int.
  243.7000 111556.3359 128
  243.8000 115169.5000 132
  243.9000 68875.8906 79
  244.0000 29582.7480 33
  244.1000 30711.8633 34
  244.2000 37034.8984 42
  256.9000 28001.9922 31
  257.2000 25066.3066 28
  257.3000 24163.0137 27
  262.6000 23937.1914 26
  263.1000 35002.4961 39
  263.7000 30711.8633 34
  264.5000 25743.7734 28
  266.6000 23485.5488 26
  278.2000 25743.7734 28
  281.1000 19646.5645 21
  284.9000 26647.0566 29
  285.4000 24163.0137 27
  285.9000 25743.7734 28
  290.9000 24614.6621 27
  292.0000 19194.9199 21
  294.4000 21678.9590 24
  294.5000 40196.4023 45
  294.8000 20549.8359 22
  295.2000 31615.1484 35
  295.4000 19646.5723 21
  295.6000 23259.7266 26
  295.9000 19194.9141 21
  296.1000 21453.1387 23
  296.3000 36131.6133 40
  298.3000 32066.7988 36
  299.1000 20098.2109 22
  310.3000 20324.0313 22
  310.7000 104330.0391 120
  310.8000 860835.6875 999
  310.9000 300118.2188 347
  312.5000 23259.7266 26
  312.6000 41325.5352 47
  312.8000 68198.4141 78
  312.9000 58713.8750 67
  313.1000 39744.7656 45
  323.5000 71359.9375 81
  323.6000 113814.5703 131
  323.7000 99361.9375 114
  323.8000 71359.9375 81
  323.9000 171850.9844 198
  324.0000 527521.5625 611
  324.1000 163495.5313 188
  324.2000 85360.9375 98
  324.3000 93490.5391 107
  324.4000 87393.3359 100
  324.5000 55326.5234 63
  324.6000 21904.7910 24
  324.7000 23033.9004 25
  324.9000 28679.4590 32
  325.2000 24388.8379 27
  325.3000 23485.5488 26
  325.4000 24840.4844 27
  325.7000 19872.3848 22
  328.0000 19420.7422 21
  354.5000 35454.1445 40
  365.4000 20098.2090 22
  365.8000 19646.5645 21
  371.1000 19420.7344 21
  371.8000 22130.6113 24
  372.7000 29582.7520 33
  372.8000 21904.7910 24
  390.7000 24840.4766 27
  391.2000 23937.1855 26
  393.1000 18969.0977 21
  416.9000 19872.3848 22
  432.7000 18969.0859 21
  433.1000 34325.0391 38
  433.5000 28227.8164 31
  437.7000 34099.1992 38
  448.0000 20098.2090 22
  484.6000 72037.4063 82
  484.7000 113588.7500 130
  484.8000 101620.1563 117
  484.9000 86038.4063 98
  485.0000 112685.4609 129
  485.1000 93716.3750 107
  485.2000 104104.2109 119
  485.3000 101620.1563 117
  485.4000 72940.6953 83
  485.5000 54197.4180 61
  485.6000 60972.0898 69
  485.7000 93942.1953 108
  485.8000 53068.3047 60
  485.9000 23485.5488 26
  486.1000 25743.7734 28
  486.3000 44261.2227 50
  486.4000 28679.4590 32
  486.7000 41777.1719 47
  486.8000 27098.7090 30
  487.1000 56003.9922 64
  513.2000 20549.8555 22
//
