ACCESSION: NGA02800
RECORD_TITLE: 9(11)-dehydrohecogenin; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Sapogenins
CH$NAME: 9(11)-dehydrohecogenin
CH$COMPOUND_CLASS: Steroids
CH$FORMULA: C27H40O4
CH$EXACT_MASS: 428.6175
CH$SMILES: CC1CC[C@@]2(OC1)OC1CC3C4CC[C@H]5CC(O)CC[C@]5(C)C4=CC(=O)[C@]3(C)C1[C@@H]2C
CH$IUPAC: InChI=1S/C27H40O4/c1-15-7-10-27(30-14-15)16(2)24-22(31-27)12-21-19-6-5-17-11-18(28)8-9-25(17,3)20(19)13-23(29)26(21,24)4/h13,15-19,21-22,24,28H,5-12,14H2,1-4H3/t15?,16-,17-,18?,19?,21?,22?,24?,25-,26+,27+/m0/s1
CH$LINK: CAS 3514-26-9
CH$LINK: CHEMSPIDER 4954026
CH$LINK: INCHIKEY YLZUMNXGXFXZNQ-YQFCHWDISA-N
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-03xr-1962100000-660ded512b8b96b3b6f2
PK$NUM_PEAK: 942
PK$PEAK: m/z int. rel.int.
  132.5 1.62 1
  132.6 2.78 2
  132.7 4.59 4
  132.8 7.3 7
  132.9 10.59 10
  133.0 13.27 13
  133.1 14.0 13
  133.2 12.19 12
  133.3 8.36 8
  133.4 4.01 4
  133.5 0.82 0
  134.4 1.11 1
  134.5 3.18 3
  134.6 6.34 6
  134.7 9.62 9
  134.8 11.48 11
  134.9 11.33 11
  135.0 10.33 10
  135.1 10.23 10
  135.2 11.06 11
  135.3 10.87 10
  135.4 8.19 8
  135.5 4.06 4
  135.6 0.75 0
  136.6 1.17 1
  136.7 2.56 2
  136.8 3.81 3
  136.9 4.5 4
  137.0 4.97 4
  137.1 5.9 5
  137.2 6.85 6
  137.3 6.45 6
  137.4 4.24 4
  137.5 1.68 1
  138.7 1.06 1
  138.8 2.9 2
  138.9 5.09 5
  139.0 6.56 6
  139.1 6.55 6
  139.2 5.07 5
  139.3 2.86 2
  142.7 3.75 3
  142.8 4.61 4
  142.9 5.69 5
  143.0 6.78 6
  143.1 7.42 7
  143.2 7.16 7
  143.3 5.79 5
  143.4 3.61 3
  143.5 1.5 1
  144.4 0.97 0
  144.5 2.88 2
  144.6 6.2 6
  144.7 9.95 9
  144.8 12.7 12
  144.9 13.84 13
  145.0 13.93 13
  145.1 13.94 13
  145.2 13.98 13
  145.3 12.85 12
  145.4 9.45 9
  145.5 4.67 4
  145.6 0.88 0
  146.3 0.41 0
  146.4 1.66 1
  146.5 4.43 4
  146.6 8.9 8
  146.7 14.62 14
  146.8 20.56 20
  146.9 25.78 25
  147.0 29.69 29
  147.1 31.64 31
  147.2 30.36 30
  147.3 24.76 24
  147.4 15.68 15
  147.5 6.44 6
  147.6 0.92 0
  148.5 1.04 1
  148.6 2.17 2
  148.7 3.83 3
  148.8 5.79 5
  148.9 7.67 7
  149.0 9.0 8
  149.1 9.39 9
  149.2 8.81 8
  149.3 7.33 7
  149.4 5.06 5
  149.5 2.5 2
  150.5 1.58 1
  150.6 3.17 3
  150.7 5.76 5
  150.8 9.01 9
  150.9 11.33 11
  151.0 11.06 11
  151.1 8.66 8
  151.2 6.49 6
  151.3 5.9 5
  151.4 5.7 5
  151.5 4.31 4
  151.6 2.07 2
  156.6 1.93 1
  156.7 4.22 4
  156.8 7.79 7
  156.9 11.38 11
  157.0 13.39 13
  157.1 13.14 13
  157.2 11.14 11
  157.3 8.33 8
  157.4 5.44 5
  157.5 2.97 2
  158.2 0.38 0
  158.3 1.35 1
  158.4 4.1 4
  158.5 7.81 7
  158.6 11.24 11
  158.7 14.53 14
  158.8 19.11 19
  158.9 24.79 24
  159.0 29.02 28
  159.1 30.04 30
  159.2 28.28 28
  159.3 23.95 23
  159.4 16.49 16
  159.5 7.54 7
  159.6 1.18 1
  160.4 1.83 1
  160.5 2.79 2
  160.6 4.39 4
  160.7 7.29 7
  160.8 11.84 11
  160.9 17.14 17
  161.0 20.81 20
  161.1 20.81 20
  161.2 17.59 17
  161.3 13.38 13
  161.4 9.49 9
  161.5 5.72 5
  161.6 2.21 2
  162.5 2.22 2
  162.6 3.57 3
  162.7 5.02 5
  162.8 6.43 6
  162.9 7.43 7
  163.0 7.65 7
  163.1 7.5 7
  163.2 7.84 7
  163.3 8.44 8
  163.4 7.82 7
  163.5 5.3 5
  163.6 2.16 2
  164.4 2.03 2
  164.5 3.83 3
  164.6 6.53 6
  164.7 10.38 10
  164.8 15.51 15
  164.9 20.81 20
  165.0 24.32 24
  165.1 25.42 25
  165.2 25.39 25
  165.3 24.62 24
  165.4 21.14 21
  165.5 13.82 13
  165.6 5.4 5
  165.7 0.41 0
  168.5 0.82 0
  168.6 1.86 1
  168.7 3.88 3
  168.8 6.89 6
  168.9 10.14 10
  169.0 12.04 12
  169.1 11.17 11
  169.2 7.82 7
  169.3 4.0 3
  169.4 1.6 1
  170.4 2.18 2
  170.5 3.12 3
  170.6 4.18 4
  170.7 7.05 7
  170.8 12.77 12
  170.9 19.72 19
  171.0 24.48 24
  171.1 25.07 25
  171.2 22.26 22
  171.3 17.73 17
  171.4 12.26 12
  171.5 6.43 6
  171.6 1.95 1
  172.4 0.94 0
  172.5 2.77 2
  172.6 6.04 6
  172.7 10.95 10
  172.8 17.54 17
  172.9 24.86 24
  173.0 30.65 30
  173.1 33.05 33
  173.2 31.99 31
  173.3 28.04 28
  173.4 21.11 21
  173.5 12.03 12
  173.6 3.83 3
  174.5 0.98 0
  174.6 2.4 2
  174.7 4.86 4
  174.8 7.98 7
  174.9 10.46 10
  175.0 11.42 11
  175.1 11.54 11
  175.2 11.71 11
  175.3 11.09 11
  175.4 8.36 8
  175.5 4.23 4
  175.6 0.99 0
  180.5 2.07 2
  180.6 2.9 2
  180.7 5.05 5
  180.8 9.1 9
  180.9 14.34 14
  181.0 18.73 18
  181.1 20.46 20
  181.2 19.39 19
  181.3 16.31 16
  181.4 11.7 11
