  125.5 7.98 7
  125.6 7.08 7
  126.3 5.26 5
  126.4 6.29 6
  126.5 7.69 7
  126.6 8.91 8
  126.7 9.21 9
  126.8 8.38 8
  135.5 4.92 4
  135.6 6.48 6
  135.7 7.89 7
  135.8 8.33 8
  135.9 7.7 7
  136.0 6.76 6
  136.1 6.34 6
  136.2 6.62 6
  136.3 7.12 7
  136.4 7.33 7
  136.5 7.21 7
  136.6 7.12 7
  136.7 7.34 7
  136.8 7.72 7
  136.9 7.68 7
  137.0 6.77 6
  142.6 4.2 4
  142.7 5.57 5
  142.8 7.12 7
  142.9 8.05 8
  143.0 8.13 8
  143.1 7.64 7
  143.2 7.02 7
  143.3 6.41 6
  143.4 5.72 5
  143.8 3.87 3
  143.9 5.11 5
  144.0 6.45 6
  144.1 7.36 7
  144.2 7.75 7
  144.3 7.69 7
  144.4 7.3 7
  144.5 6.61 6
  144.6 5.89 5
  144.7 5.42 5
  144.8 5.26 5
  144.9 5.44 5
  145.0 6.31 6
  145.1 7.95 7
  145.2 9.62 9
  145.3 10.25 10
  145.4 9.51 9
  145.5 8.08 8
  147.2 5.7 5
  147.3 8.18 8
  147.4 9.71 9
  147.5 9.58 9
  147.6 8.46 8
  150.7 4.96 4
  150.8 6.26 6
  150.9 7.76 7
  151.0 8.67 8
  151.1 8.58 8
  151.2 7.73 7
  151.3 6.72 6
  151.4 5.78 5
  151.8 4.39 4
  151.9 5.7 5
  152.0 6.99 6
  152.1 7.57 7
  152.2 7.19 7
  152.3 6.25 6
  152.4 5.53 5
  152.5 5.53 5
  152.6 6.12 6
  152.7 6.81 6
  152.8 7.09 7
  152.9 6.71 6
  153.0 5.92 5
  153.1 5.41 5
  153.2 5.54 5
  153.3 5.89 5
  153.4 5.76 5
  153.5 5.04 5
  154.6 3.74 3
  154.7 4.98 4
  154.8 6.36 6
  154.9 6.93 6
  155.0 6.62 6
  155.1 6.21 6
  155.2 6.27 6
  155.3 6.68 6
  155.4 6.97 6
  155.5 6.88 6
  155.6 6.47 6
  155.7 5.87 5
  155.8 5.06 5
  156.3 3.84 3
  156.4 5.43 5
  156.5 6.9 6
  156.6 7.7 7
  156.7 7.7 7
  156.8 7.24 7
  156.9 6.82 6
  157.0 6.74 6
  157.1 6.88 6
  157.2 6.77 6
  158.4 4.07 4
  158.5 5.57 5
  158.6 6.73 6
  158.7 6.96 6
  158.8 6.37 6
  158.9 5.43 5
  160.6 5.1 5
  160.7 6.36 6
  160.8 7.49 7
  160.9 7.67 7
  161.0 6.76 6
  168.2 3.82 3
  168.3 5.39 5
  168.4 6.74 6
  168.5 7.43 7
  168.6 7.13 7
  168.7 6.07 6
  174.5 4.68 4
  174.6 5.72 5
  174.7 6.66 6
  174.8 6.84 6
  174.9 6.06 6
  182.1 4.42 4
  182.2 5.44 5
  182.3 6.35 6
  182.4 6.66 6
  182.5 6.27 6
  182.6 5.52 5
  182.7 4.78 4
  182.8 3.97 3
  183.1 2.41 2
  183.2 3.97 3
  183.3 6.18 6
  183.4 7.78 7
  183.5 7.99 7
  183.6 7.0 6
  183.7 5.54 5
  186.6 7.24 7
  186.7 8.21 8
  186.8 9.25 9
  186.9 10.03 10
  187.0 10.29 10
  187.1 10.12 10
  187.2 9.74 9
  187.3 9.13 9
  187.4 8.02 8
  187.5 6.32 6
  187.6 4.45 4
  189.2 4.87 4
  189.3 5.82 5
  189.4 6.53 6
  189.5 6.9 6
  189.6 7.07 7
  189.7 7.01 7
  189.8 6.28 6
  189.9 4.62 4
  196.0 3.56 3
  196.1 4.84 4
  196.2 5.8 5
  196.3 6.16 6
  196.4 6.1 6
  196.5 5.91 5
  196.6 5.83 5
  196.7 5.94 5
  196.8 6.19 6
  196.9 6.24 6
  197.0 5.87 5
  197.1 5.3 5
  197.2 4.99 4
  197.3 4.94 4
  197.4 4.67 4
  197.5 3.87 3
  197.6 3.02 3
  197.7 2.93 2
  197.8 3.74 3
  197.9 4.68 4
  198.0 4.81 4
  198.1 3.95 3
  198.5 3.36 3
  198.6 4.81 4
  198.7 6.16 6
  198.8 6.93 6
  198.9 6.66 6
  199.0 5.25 5
  199.4 3.3 3
  199.5 4.16 4
  199.6 4.9 4
  199.7 5.44 5
  199.8 5.55 5
  199.9 5.14 5
  200.0 4.47 4
  200.1 4.15 4
  200.2 4.39 4
  200.3 4.72 4
  200.4 4.55 4
  200.5 4.04 4
  200.6 4.08 4
  200.7 5.04 5
  200.8 6.15 6
  200.9 6.45 6
  201.0 5.81 5
  201.1 4.99 4
  201.2 4.83 4
  201.3 5.51 5
  201.4 6.46 6
  201.5 6.88 6
  201.6 6.63 6
  201.7 6.2 6
  201.8 6.04 6
  201.9 6.11 6
  202.0 6.13 6
  202.1 5.92 5
  202.2 5.47 5
  202.3 4.99 4
  202.4 4.71 4
