ACCESSION: CB000273
RECORD_TITLE: Dihydrostreptomycin; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Microbe, Glycosides, Aminoglycosides
CH$NAME: Dihydrostreptomycin
CH$COMPOUND_CLASS: Carbohydrates
CH$FORMULA: C21H41N7O12
CH$EXACT_MASS: 583.6006
CH$SMILES: CNC1C(O)[C@@H](O)C(CO)O[C@H]1OC1[C@H](OC2C(O)[C@@H](O)C(NC(=N)N)C(O)[C@@H]2NC(=N)N)O[C@@H](C)C1(O)CO
CH$IUPAC: InChI=1S/C21H41N7O12/c1-5-21(36,4-30)16(40-17-9(26-2)13(34)10(31)6(3-29)38-17)18(37-5)39-15-8(28-20(24)25)11(32)7(27-19(22)23)12(33)14(15)35/h5-18,26,29-36H,3-4H2,1-2H3,(H4,22,23,27)(H4,24,25,28)/t5-,6?,7?,8-,9?,10-,11?,12-,13?,14?,15?,16?,17-,18-,21?/m0/s1
CH$LINK: CAS 128-46-1
CH$LINK: CHEMSPIDER 23089228
CH$LINK: INCHIKEY ASXBYYWOLISCLQ-PMUJNECLSA-N
CH$LINK: PUBCHEM CID:6427042
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-01ox-0690100000-99629b01d6350bf4d4cf
PK$NUM_PEAK: 399
PK$PEAK: m/z int. rel.int.
  208.8000 40390.7773 79
  208.9000 20916.6523 40
  209.0000 26623.1152 51
  209.1000 32944.7891 64
  209.2000 25159.3770 48
  209.3000 36487.4531 71
  209.4000 37442.0664 73
  209.5000 53437.1602 105
  209.6000 18158.8770 35
  216.8000 13619.1650 26
  217.0000 11137.1689 21
  217.1000 25138.1660 48
  220.4000 31099.2031 60
  220.5000 87251.7422 172
  220.6000 107977.4375 213
  220.7000 109101.7500 215
  220.8000 155496.0156 307
  220.9000 167015.0156 330
  221.0000 171427.4531 339
  221.1000 165911.8438 328
  221.2000 190965.1719 377
  221.3000 211733.3281 419
  221.4000 111541.3281 220
  221.5000 71129.3281 140
  221.6000 27132.2461 52
  221.7000 38842.1836 76
  221.8000 39733.1602 77
  221.9000 26135.2148 50
  222.0000 46076.0313 90
  222.1000 63725.7773 125
  222.2000 38184.5664 74
  222.3000 26559.4941 51
  222.4000 41748.4375 81
  222.5000 31205.2617 60
  222.6000 44357.7148 87
  222.7000 39902.8516 78
  222.8000 26877.6836 52
  222.9000 13852.5107 26
  223.0000 15358.6768 29
  223.1000 24459.3262 47
  223.2000 32159.8809 62
  223.3000 35087.3594 68
  223.4000 19177.1387 37
  223.6000 11158.3711 21
  223.8000 12452.4033 23
  224.4000 19686.2598 38
  224.5000 18880.1523 36
  224.6000 30590.0820 59
  224.7000 19686.2480 38
  224.8000 34111.5391 66
  224.9000 16249.6494 31
  225.0000 31056.7637 60
  225.1000 31693.1836 61
  225.2000 34132.7461 66
  225.3000 12325.1309 23
  225.4000 20598.4473 39
  225.7000 13067.6016 24
  225.8000 14955.6133 28
  226.9000 17352.7539 33
  238.4000 12600.8994 24
  238.6000 52015.8359 102
  238.7000 36190.4688 70
  238.9000 19728.7109 38
  240.4000 12494.8320 23
  240.5000 12813.0391 24
  245.4000 23865.3438 46
  245.5000 60267.9375 118
  245.6000 75329.6328 148
  245.7000 68180.6250 134
  245.8000 69368.6094 136
  245.9000 86997.1328 171
  246.0000 84981.8438 167
  246.1000 78596.5313 154
  246.2000 70429.2813 138
  246.3000 70938.4063 139
  246.4000 50891.5156 99
  246.5000 16737.5625 32
  246.6000 13088.8184 24
  246.8000 15040.4717 28
  262.4000 65741.0703 129
  262.5000 228089.0781 451
  262.6000 384306.2188 761
  262.7000 329850.8750 653
  262.8000 349134.0313 691
  262.9000 375417.7500 744
  263.0000 347267.2500 688
  263.1000 495423.3125 982
  263.2000 412117.3750 816
  263.3000 300766.9688 595
  263.4000 315319.5313 624
  263.5000 220727.9063 437
  263.6000 55749.4414 109
  263.7000 38608.8203 75
  263.8000 32626.5723 63
  263.9000 22634.9531 43
  264.0000 38736.1055 75
  264.1000 29402.1055 57
  264.2000 37696.6367 73
  264.3000 47518.5508 93
  264.4000 46648.7969 91
  264.5000 15889.0176 30
  281.3000 11285.6572 21
  291.9000 35320.7070 69
  292.0000 154838.3438 306
  292.1000 221555.2500 438
  292.2000 295675.6563 585
  292.3000 320962.3438 635
  292.4000 367632.3438 728
  292.5000 386236.7188 765
  292.6000 401934.8125 796
  292.7000 503569.4063 998
  292.8000 503908.7813 999
  292.9000 450026.0938 892
  293.0000 249726.9531 494
  293.1000 186531.5156 369
  293.2000 140455.5156 277
  293.3000 123442.1563 243
  293.4000 116441.6719 230
  293.5000 59589.1172 117
  293.6000 31311.3320 61
  293.7000 25880.6406 50
  293.8000 27301.9570 53
  293.9000 18201.3027 35
  294.0000 14552.5566 27
  294.6000 18561.9355 35
  294.7000 24480.5430 47
  294.8000 21553.0625 41
  294.9000 13046.3809 24
  295.1000 15740.5264 30
  295.3000 14955.6201 28
  295.9000 11794.7852 22
  296.0000 17373.9668 33
  299.4000 13300.9521 25
  299.7000 20407.5215 39
  299.9000 14297.9922 27
  310.3000 11094.7334 21
  310.4000 12855.4697 24
  310.5000 41748.4375 81
  310.6000 54306.9297 106
  310.7000 70726.2969 139
  310.8000 97540.3281 192
  310.9000 51040.0313 100
  311.0000 96543.2891 190
  311.1000 45545.6875 89
  311.2000 60564.9414 119
  311.3000 54009.9297 106
  311.4000 43424.3125 85
  311.5000 15613.2402 29
  311.6000 19389.2695 37
  312.1000 20449.9512 39
  312.2000 43594.0234 85
  312.3000 28277.7773 55
  312.4000 12091.7734 22
  312.6000 11137.1582 21
  312.9000 13979.7979 26
  313.1000 16143.5801 31
  313.4000 13152.4570 25
  313.8000 12303.9092 23
  355.1000 11158.3730 21
  355.2000 11688.7178 22
  367.1000 12091.7754 22
  368.8000 13470.6621 25
  370.6000 15337.4609 29
  373.1000 15104.1094 28
  408.4000 22337.9629 43
  408.5000 99279.8359 196
  408.6000 153077.6094 302
  408.7000 169157.5469 334
  408.8000 193001.6719 382
  408.9000 208848.2656 413
  409.0000 215848.7656 427
  409.1000 186955.7969 370
  409.2000 195080.6250 386
  409.3000 196120.0938 388
  409.4000 156365.7344 309
  409.5000 66462.3203 130
  409.6000 41557.5195 81
  409.7000 51146.0898 100
  409.8000 46076.0273 90
  409.9000 44145.5820 86
  410.0000 50891.5273 99
  410.1000 41154.4609 80
  410.2000 39181.5898 76
  410.3000 35957.1094 70
  410.4000 24947.2402 48
  410.5000 19346.8379 37
