ACCESSION: NGA03408
RECORD_TITLE: Bovoside A; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Cardanolides
CH$NAME: Bovoside A
CH$COMPOUND_CLASS: Steroids
CH$FORMULA: C31H44O9
CH$EXACT_MASS: 560.69093
CH$SMILES: COC1C(O)C(C)OC(OC2CC[C@]3(C=O)C4CC[C@]5(C)C(c6ccc(=O)oc6)CCC5(O)C4CC[C@H]3C2)C1O
CH$IUPAC: InChI=1S/C31H44O9/c1-17-25(34)27(37-3)26(35)28(39-17)40-20-8-12-30(16-32)19(14-20)5-6-23-22(30)9-11-29(2)21(10-13-31(23,29)36)18-4-7-24(33)38-15-18/h4,7,15-17,19-23,25-28,34-36H,5-6,8-14H2,1-3H3/t17?,19-,20?,21?,22?,23?,25?,26?,27?,28?,29+,30+,31?/m0/s1
CH$LINK: CAS 11028-14-1
CH$LINK: PUBCHEM CID:948251
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-03di-8349050000-13b8a15eadf797479f96
PK$NUM_PEAK: 359
PK$PEAK: m/z int. rel.int.
  347.5 24.55 24
  347.6 8.29 8
  347.7 0.48 0
  364.5 3.45 3
  364.6 4.28 4
  364.7 7.95 7
  364.8 17.4 17
  364.9 31.59 31
  365.0 45.62 45
  365.1 55.5 55
  365.2 59.58 59
  365.3 55.58 55
  365.4 41.64 41
  365.5 21.77 21
  365.6 5.24 5
  365.7 0.0 0
  382.7 1.48 1
  382.8 4.51 4
  382.9 10.93 10
  383.0 19.17 19
  383.1 25.43 25
  383.2 26.34 26
  383.3 21.43 21
  383.4 13.32 13
  383.5 5.73 5
  383.6 1.8 1
  400.7 1.33 1
  400.8 3.17 3
  400.9 6.8 6
  401.0 12.0 11
  401.1 16.77 16
  401.2 18.24 18
  401.3 15.14 15
  401.4 9.22 9
  401.5 3.67 3
  542.6 1.59 1
  542.7 3.32 3
  542.8 5.96 5
  542.9 8.56 8
  543.0 10.1 10
  543.1 10.43 10
  543.2 10.11 10
  543.3 9.47 9
  543.4 8.19 8
  543.5 5.98 5
  543.6 3.32 3
  560.3 1.45 1
  560.4 3.5 3
  560.5 6.74 6
  560.6 10.29 10
  560.7 14.41 14
  560.8 21.71 21
  560.9 35.13 35
  561.0 54.21 54
  561.1 73.81 73
  561.2 88.21 88
  561.3 96.68 96
  561.4 100.0 99
  561.5 92.43 92
  561.6 67.02 66
  561.7 30.68 30
  561.8 2.99 2
//
