ACCESSION: MSBNK-NILU-NL0170
RECORD_TITLE: PBDE-99; GC-EI-FT; MS; Positive; CE: 35
DATE: 2024.08.05
AUTHORS: MILK, NILU
LICENSE: CC BY
COPYRIGHT: MILK, NILU
CH$NAME: PBDE-99
CH$NAME: 2,2,4,4,5-Pentabromodiphenyl ether
CH$COMPOUND_CLASS: Non-Natural Product; Brominated Flame Retardant
CH$FORMULA: C12H5Br5O
CH$EXACT_MASS: 559.6257
CH$SMILES: C1=CC(=C(C=C1Br)Br)OC2=CC(=C(C=C2Br)Br)Br
CH$IUPAC: InChI=1S/C12H5Br5O/c13-6-1-2-11(9(16)3-6)18-12-5-8(15)7(14)4-10(12)17/h1-5H
AC$INSTRUMENT: Trace 1310 GC, Thermo Scientific; Q Exactive Orbitrap, Thermo Scientific
AC$INSTRUMENT_TYPE: GC-EI-FT
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 35
AC$CHROMATOGRAPHY: RETENTION_TIME 27.56035
AC$CHROMATOGRAPHY: KOVATS_RTI NA
MS$FOCUSED_ION: BASE_PEAK 403.7856
PK$SPLASH: splash10-11or-0982850000-6ce7faa5d3da00565add
PK$NUM_PEAK: 361
PK$PEAK: m/z int. rel.int.
  232.84233 80877 8
  233.84952 777046 78
  235.8476 348315 35
  237.87152 32602 3
  239.86975 13949 1
  243.95168 1302951 132
  244.95584 113324 11
  245.94954 1161550 117
  245.9682 146118 15
  246.95248 113691 11
  247.84634 106719 11
  247.96574 137695 14
  248.85458 131187 13
  248.9884 75584 8
  249.8445 247650 25
  250.8523 231250 23
  250.96852 18211 2
  251.84245 111945 11
  252.85039 89680 9
  253.86655 33661 3
  255.12268 13069 1
  255.99202 58683 6
  256.98743 24103 2
  257.98953 60776 6
  258.00757 60238 6
  260.86584 129611 13
  262.86365 261366 26
  264.86157 147410 15
  265.01999 17868 2
  266.88577 17097 2
  268.88345 15698 2
  268.97824 13993 1
  270.8584 72006 7
  273.2583 23624 2
  282.05084 24975 3
  283.04825 79322 8
  294.87518 1808987 183
  295.86563 120082 12
  295.8793 190249 19
  296.87323 3567068 360
  297.87607 391673 40
  298.7695 340694 34
  298.87085 1882664 190
  299.87442 206992 21
  300.76819 910486 92
  302.76575 973029 98
  303.7706 31922 3
  304.7648 324318 33
  304.90897 19762 2
  305.78494 42456 4
  305.91287 50204 5
  307.90976 149632 15
  308.90396 25094 3
  309.90857 54293 5
  310.9714 20357 2
  321.86209 74723 8
  322.87 346100 35
  323.86096 147077 15
  323.87814 1074799 109
  324.86893 702667 71
  324.87207 215781 22
  324.9866 13807 1
  325.87531 2205717 223
  326.86676 367061 37
  326.87961 290526 29
  327.87354 1041053 105
  328.87784 90445 9
  335.90082 15507 2
  335.91882 244304 25
  337.91687 310748 31
  339.91428 193958 20
  340.77365 95201 10
  341.01849 78821 8
  342.77264 141574 14
  343.01386 36030 4
  344.97662 33762 3
  350.87668 175199 18
  352.87433 333602 34
  354.8717 175345 18
  355.07062 48213 5
  359.0285 21678 2
  362.91714 28537 3
  374.78467 143629 15
  376.78244 113340 11
  401.78778 3448326 348
  402.79236 405551 41
  403.78564 9892424 999
  404.789 1233702 125
  405.78519 9646460 974
  406.78744 1145490 116
  407.78201 3125586 316
  408.78537 377565 38
  412.82529 72084 7
  413.82822 22788 2
  414.82404 108241 11
  415.03668 18587 2
  416.82138 118372 12
  417.03415 41037 4
  418.82013 38942 4
  419.82248 130096 13
  467.74347 24279 2
  475.14331 16842 2
  481.6972 136211 14
  481.71423 163693 17
  483.69495 183218 19
  483.7121 633053 64
  484.7157 78381 8
  485.71057 952320 96
  486.715 122037 12
  487.70746 649883 66
  488.71219 79355 8
  489.7052 149658 15
  493.73721 35626 4
  493.75488 17044 2
  494.74857 47364 5
  495.73636 36067 4
  495.75412 129388 13
  497.75076 62867 6
  499.75079 174116 18
  501.74689 38769 4
  559.62732 585917 59
  560.63037 77662 8
  561.62543 3078413 311
  562.62689 343611 35
  563.62378 6027354 609
  564.62677 678986 69
  565.61835 5852517 591
  566.62341 705403 71
  567.61975 2976716 301
  568.62244 374357 38
  569.61688 595438 60
  574.6593 85584 9
  576.65735 70385 7
//
