ACCESSION: MSBNK-NILU-NL0460
RECORD_TITLE: PBDE-138; GC-EI-TOF; MS; Positive
DATE: 2025.04.02
AUTHORS: MILK, NILU
LICENSE: CC BY
COPYRIGHT: MILK, NILU
CH$NAME: PBDE-138
CH$NAME: 2,2',3,4,4',5'-Hexabromodiphenyl ether
CH$COMPOUND_CLASS: Non-Natural Product; Brominated Flame Retardant
CH$FORMULA: C12H4Br6O
CH$EXACT_MASS: 637.53622
CH$SMILES: BrC1C=CC(OC2C=C(Br)C(Br)=CC=2Br)=C(Br)C=1Br
CH$IUPAC: InChI=1S/C12H4Br6O/c13-5-1-2-9(12(18)11(5)17)19-10-4-7(15)6(14)3-8(10)16/h1-4H
AC$INSTRUMENT: Agilent 7200 QTOF
AC$INSTRUMENT_TYPE: GC-EI-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: INJECTION_TEMPERATURE 280 C
AC$CHROMATOGRAPHY: KOVATS_RTI 2893.655
MS$FOCUSED_ION: BASE_PEAK 483.6963
PK$SPLASH: splash10-001l-2231904000-a5b44b7d2c77712df42d
PK$NUM_PEAK: 238
PK$PEAK: m/z int. rel.int.
  26.01604 288 1.436
  27.02367 255 1.27
  28.00622 3696 18.438
  38.01586 354 1.767
  39.0237 2368 11.812
  43.01929 686 3.421
  44.05815 283 1.412
  49.00741 519 2.588
  53.00293 834 4.161
  53.0394 278 1.389
  54.04632 224 1.118
  55.0089 1172 5.846
  55.05479 1686 8.414
  57.07052 4536 22.632
  60.02053 1156 5.767
  61.00796 7627 38.052
  62.01545 19025 94.912
  66.04545 689 3.436
  67.05469 678 3.382
  67.51129 2338 11.662
  68.01502 1685 8.407
  69.07025 394 1.964
  70.07785 2055 10.253
  73.00757 4953 24.711
  73.04746 1311 6.542
  74.01518 35472 176.97
  75.0218 8578 42.797
  76.02997 800 3.99
  78.91718 1857 9.264
  79.05421 762 3.803
  79.92516 5525 27.564
  80.91574 2043 10.191
  81.07007 592 2.951
  81.92329 5605 27.962
  82.07728 214 1.066
  83.08553 966 4.819
  84.09376 522 2.606
  85.00768 657 3.28
  86.01501 1759 8.775
  89.0385 321 1.602
  90.01056 920 4.591
  91.05419 549 2.74
  92.06132 1566 7.812
  93.06737 1054 5.257
  94.07703 656 3.273
  96.0032 264 1.316
  97.10098 979 4.885
  98.01418 325 1.623
  98.10906 236 1.176
  99.11695 256 1.277
  99.14389 371 1.849
  106.96876 1268 6.325
  107.47266 1206 6.018
  107.97172 2066 10.305
  108.09157 208 1.039
  108.47319 2026 10.108
  109.00665 291 1.452
  109.1012 687 3.427
  110.01456 1472 7.344
  111.02184 714 3.561
  111.11674 229 1.142
  112.12327 371 1.852
  113.13292 272 1.355
  115.92514 995 4.966
  116.92931 1287 6.421
  117.06931 237 1.183
  117.92269 705 3.519
  118.93002 559 2.791
  120.09177 258 1.285
  121.10084 247 1.234
  123.11579 489 2.441
  124.12292 408 2.035
  127.92567 1186 5.916
  129.92267 1154 5.755
  130.07538 259 1.291
  131.08565 363 1.813
  133.01112 395 1.971
  133.10124 402 2.006
  134.01566 1872 9.337
  135.02251 2846 14.2
  135.11674 307 1.532
  136.03049 7487 37.352
  136.1226 343 1.712
  139.14879 220 1.1
  139.92574 2674 13.342
  140.93288 23181 115.648
  140.96544 596 2.974
  141.07079 499 2.492
  141.93147 1378 6.874
  142.93094 22820 113.846
  142.96379 826 4.119
  143.93764 547 2.728
  146.42882 757 3.777
  146.93414 1286 6.415
  147.43022 995 4.964
  147.93192 3263 16.278
