ACCESSION: MSBNK-NILU-NL0118
RECORD_TITLE: 2-Ethylhexyl 2,3,4,5-Tetrabromobenzoate; GC-EI-FT; MS; Positive
DATE: 2024.08.05
AUTHORS: MILK, NILU
LICENSE: CC BY
COPYRIGHT: MILK, NILU
CH$NAME: 2-Ethylhexyl 2,3,4,5-Tetrabromobenzoate
CH$NAME: Benzoic acid, 2,3,4,5-tetrabromo-, 2-ethylhexyl ester
CH$COMPOUND_CLASS: Non-Natural Product; Brominated Flame Retardant
CH$FORMULA: C15H18Br4O2
CH$EXACT_MASS: 545.80403
CH$SMILES: CCCCC(CC)COC(=O)C1=CC(=C(C(=C1Br)Br)Br)Br
CH$IUPAC: InChI=1S/C15H18Br4O2/c1-3-5-6-9(4-2)8-21-15(20)10-7-11(16)13(18)14(19)12(10)17/h7,9H,3-6,8H2,1-2H3
AC$INSTRUMENT: Thermo Scientific Q Exactive GC Hybrid Quadrupol-Orbitrap
AC$INSTRUMENT_TYPE: GC-EI-FT
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: INJECTION_TEMPERATURE 250 C
AC$CHROMATOGRAPHY: KOVATS_RTI 2781.715
MS$FOCUSED_ION: BASE_PEAK 70.07777
PK$SPLASH: splash10-0089-9111200000-aab4ca77d795742c764a
PK$NUM_PEAK: 219
PK$PEAK: m/z int. rel.int.
  139.07564 53161 1.606
  139.14828 54225 1.638
  140.93375 146831 4.435
  141.06988 124646 3.765
  142.07788 60580 1.83
  142.93158 60571 1.83
  143.08484 40628 1.227
  143.08577 142458 4.303
  145.10107 212572 6.421
  146.10919 73220 2.212
  147.0658 80945 2.445
  149.02348 876568 26.477
  150.02686 83460 2.521
  151.9259 4224206 127.594
  152.93341 984408 29.734
  153.92375 4050012 122.332
  154.07712 55386 1.673
  154.93156 939512 28.378
  155.06045 55404 1.674
  156.09366 58327 1.762
  156.87898 54721 1.653
  158.07262 42996 1.299
  158.10893 58039 1.753
  162.96997 50165 1.515
  163.09349 43452 1.312
  163.14821 65953 1.992
  167.0856 46736 1.412
  168.09337 47929 1.448
  168.92866 164227 4.961
  169.10146 80033 2.417
  170.92644 147623 4.459
  173.13272 37718 1.139
  175.07523 57965 1.751
  176.15624 74110 2.239
  176.98537 54576 1.648
  180.92799 292323 8.83
  182.9261 250726 7.573
  189.164 58098 1.755
  190.07764 53410 1.613
  191.17943 47254 1.427
  192.09349 44987 1.359
  192.98015 37030 1.119
  193.10109 54982 1.661
  205.01651 56924 1.719
  207.8346 37152 1.122
  208.0726 34085 1.03
  210.0283 52529 1.587
  211.1485 47313 1.429
  213.16354 33879 1.023
  214.09441 53765 1.624
  220.84204 168666 5.095
  222.85751 174092 5.259
  225.16339 34748 1.05
  227.17871 34483 1.042
  229.19514 74996 2.265
