ACCESSION: MSBNK-NILU-NL0123
RECORD_TITLE: 2,3,4,5,6-Pentabromoethylbenzene; GC-EI-FT; MS; Positive
DATE: 2024.08.05
AUTHORS: MILK, NILU
LICENSE: CC BY
COPYRIGHT: MILK, NILU
CH$NAME: 2,3,4,5,6-Pentabromoethylbenzene
CH$NAME: 1,2,3,4,5-pentabromo-6-ethylbenzene
CH$COMPOUND_CLASS: Non-Natural Product; Brominated flame retardant 
CH$FORMULA: C8H5Br5
CH$EXACT_MASS: 495.63081
CH$SMILES: CCC1=C(C(=C(C(=C1Br)Br)Br)Br)Br
CH$IUPAC: InChI=1S/C8H5Br5/c1-2-3-4(9)6(11)8(13)7(12)5(3)10/h2H2,1H3
AC$INSTRUMENT: Thermo Scientific Q Exactive GC Hybrid Quadrupol-Orbitrap
AC$INSTRUMENT_TYPE: GC-EI-FT
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: INJECTION_TEMPERATURE 250 C
AC$CHROMATOGRAPHY: KOVATS_RTI 2308.304
MS$FOCUSED_ION: BASE_PEAK 179.95708
PK$SPLASH: splash10-003r-2931410000-4715ae7ebf3c6d455d2a
PK$NUM_PEAK: 310
PK$PEAK: m/z int. rel.int.
  220.84206 490852 33.277
  221.83255 202863 13.753
  222.83998 204191 13.843
  227.02162 23470 1.591
  229.10112 29248 1.983
  229.83608 883825 59.919
  230.84486 331249 22.457
  231.83408 1811579 122.816
  231.85213 146288 9.918
  232.84261 749989 50.845
  233.83229 829395 56.229
  233.84964 267293 18.121
  234.84036 358244 24.287
  235.84781 129041 8.748
  242.84401 421063 28.546
  243.85184 734048 49.765
  244.8418 899043 60.95
  244.84488 176247 11.949
  245.8503 1535163 104.076
  246.84024 447434 30.334
  246.85785 252068 17.089
  247.8476 694134 47.059
  248.98852 29766 2.018
  255.85173 263400 17.857
  256.85718 137987 9.355
  256.85938 696504 47.219
  257.86417 785596 53.259
  257.86749 3979329 269.778
  258.85837 1422062 96.409
  258.87552 1364013 92.473
  259.86365 2153481 145.995
  259.86588 8021952 543.847
  259.86813 1129982 76.607
  260.87103 945864 64.125
  260.87442 2557553 173.389
  261.86374 3950892 267.85
  261.86713 461195 31.267
  262.87247 1232777 83.576
  263.87891 58630 3.975
  265.01907 38174 2.588
  274.75302 151788 10.29
  276.75088 106086 7.192
  284.86536 66885 4.534
  286.86401 107287 7.273
  288.86136 82593 5.599
  300.75021 75355 5.109
  308.75406 36889 2.501
  309.76251 99978 6.778
  310.75238 167068 11.326
  311.76013 227604 15.43
  312.75088 129035 8.748
  313.7583 256137 17.365
  313.76129 83163 5.638
  322.77039 830983 56.336
  324.76843 2638288 178.862
  326.76584 2447230 165.91
  327.77011 232284 15.748
  328.76437 701618 47.566
  335.77875 213394 14.467
  336.78653 173745 11.779
  337.77573 766910 51.993
  337.79367 1103042 74.781
  338.7843 690547 46.816
  339.78833 1094049 74.171
  339.79169 3080574 208.847
  340.78345 783937 53.147
  341.78546 506956 34.369
  341.78885 2805723 190.214
  342.79663 315325 21.377
  343.78824 880594 59.7
  344.79459 53109 3.601
  380.67688 46039 3.121
  401.68872 418045 28.341
  402.69287 121879 8.263
  403.68558 1581068 107.188
  404.69308 488533 33.12
  405.68448 2434276 165.031
  406.69095 805596 54.615
  407.68286 1631073 110.578
  408.69052 446445 30.267
  409.68024 380611 25.803
  410.68811 84230 5.71
  415.70514 16574 1.124
  416.71207 564662 38.281
  417.70242 220461 14.946
  418.70978 2223745 150.758
  419.70032 343474 23.286
  419.71646 449939 30.504
  420.70801 3314579 224.711
  421.71258 356221 24.15
  421.7149 565515 38.339
  422.70657 2070540 140.372
  423.71283 410869 27.855
  424.70316 450895 30.568
  425.71002 104886 7.111
  471.59491 52107 3.533
  480.6073 1087843 73.75
  481.6095 49113 3.33
  482.60379 5572126 377.762
  483.60706 416054 28.206
  484.60144 10660062 722.697
  485.60474 790938 53.622
  486.60001 10386382 704.143
  487.60364 705252 47.812
  488.59927 4844825 328.454
  489.60318 360285 24.425
  490.59662 879048 59.595
  495.62994 1050849 71.242
  497.62878 4989601 338.269
  498.6318 371476 25.184
  499.62759 9984173 676.876
  500.63037 787070 53.359
  501.62357 9133394 619.197
  502.62903 760753 51.575
  503.62219 4344254 294.518
  504.62424 435278 29.51
  505.62073 854066 57.901
  506.62299 38562 2.614
//
