ACCESSION: MSBNK-NILU-NL0464
RECORD_TITLE: PBDE-17; GC-EI-TOF; MS; Positive
DATE: 2025.04.02
AUTHORS: MILK, NILU
LICENSE: CC BY
COPYRIGHT: MILK, NILU
CH$NAME: PBDE-17
CH$NAME: 2,2',4-tribromodiphenyl ether
CH$COMPOUND_CLASS: Non-Natural Product; Brominated Flame Retardant
CH$FORMULA: C12H7Br3O
CH$EXACT_MASS: 403.8047 
CH$SMILES: BrC1C=C(Br)C=CC=1OC1=CC=CC=C1Br
CH$IUPAC: InChI=1S/C12H7Br3O/c13-8-5-6-12(10(15)7-8)16-11-4-2-1-3-9(11)14/h1-7H
AC$INSTRUMENT: Agilent 7200 QTOF
AC$INSTRUMENT_TYPE: GC-EI-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: INJECTION_TEMPERATURE 280 C
AC$CHROMATOGRAPHY: KOVATS_RTI 1987.655
MS$FOCUSED_ION: BASE_PEAK 245.9674
PK$SPLASH: splash10-052b-5691600000-8ec31cdbacfc8524e7d5
PK$NUM_PEAK: 149
PK$PEAK: m/z int. rel.int.
26.01564 151 1.322
27.0236 196 1.715
28.00613 1600 13.998
29.0391 557 4.87
37.00868 355 3.105
38.01603 1711 14.967
39.02378 3867 33.831
39.9625 438 3.833
41.03952 1871 16.365
42.04692 497 4.352
43.05511 841 7.355
44.05803 126 1.102
45.02379 286 2.504
50.0155 6836 59.804
51.02352 2243 19.619
52.02988 267 2.333
53.0389 540 4.727
54.04639 289 2.529
55.05478 1439 12.589
56.0624 6336 55.423
57.07036 6659 58.253
58.07362 435 3.806
60.02042 1410 12.331
61.00733 2790 24.406
62.0154 5777 50.534
63.02329 21210 185.543
63.96134 153 1.338
64.03059 5771 50.484
65.03861 889 7.779
65.06509 218 1.907
67.05473 337 2.945
68.06215 311 2.717
69.02294 2846 24.896
69.06979 1232 10.776
69.5272 6835 59.796
70.02895 1160 10.148
70.07766 866 7.579
70.1039 200 1.748
71.08542 2495 21.823
73.02892 2523 22.073
74.01533 10964 95.91
75.02258 20590 180.117
75.05684 1178 10.302
76.03028 9984 87.341
77.03801 1846 16.152
78.91727 546 4.779
79.05391 358 3.133
79.92591 1067 9.334
81.0696 494 4.317
81.9224 1123 9.827
83.08592 668 5.845
84.02847 2195 19.202
85.1012 1113 9.739
85.12998 258 2.253
86.01481 1286 11.252
87.02233 1988 17.391
88.03003 1236 10.811
89.03851 1752 15.329
91.05417 1694 14.818
92.02541 2104 18.41
92.06151 520 4.547
93.0658 148 1.293
95.08543 527 4.612
96.00384 147 1.283
96.09119 408 3.572
97.10136 126 1.104
108.48224 1515 13.255
109.10059 364 3.183
109.48073 1191 10.415
111.11741 387 3.384
113.03852 4035 35.297
114.04394 1030 9.014
115.05424 996 8.713
116.9327 2812 24.602
117.06928 421 3.687
118.93108 2723 23.82
121.10265 203 1.775
122.98334 12455 108.959
123.11644 195 1.71
123.48474 2041 17.855
123.98122 12671 110.845
124.48511 2075 18.153
129.09001 869 7.598
133.1026 164 1.431
137.03813 3717 32.517
138.0457 6741 58.968
139.05415 43949 384.461
139.09001 2200 19.248
140.0582 6142 53.734
140.93167 934 8.166
141.0683 1217 10.643
141.94078 2159 18.886
142.9482 3546 31.023
143.93935 1956 17.112
144.94679 3252 28.446
149.13095 144 1.262
152.93338 1603 14.022
153.94156 2702 23.633
154.94733 4676 40.903
155.93831 2802 24.512
156.94614 4248 37.164
162.44113 1274 11.148
163.44041 2035 17.799
164.4388 1071 9.372
165.06877 284 2.484
166.04109 1132 9.902
167.04898 7908 69.181
167.0817 486 4.254
168.05696 29164 255.128
169.06081 4346 38.02
169.93597 1695 14.831
171.93681 1683 14.726
207.03209 245 2.144
216.96404 2719 23.789
217.97368 1303 11.4
218.96281 2896 25.335
219.9715 1046 9.15
220.85831 2826 24.719
222.85591 5326 46.592
224.85303 2669 23.345
234.85803 819 7.168
239.23752 960 8.402
245.96739 114198 999
246.96953 13437 117.549
247.01495 697 6.097
247.96565 110600 967.521
248.85378 1068 9.346
248.96843 12197 106.702
249.02106 461 4.033
249.97702 1671 14.617
250.85059 1704 14.903
251.85783 916 8.012
252.85082 942 8.241
257.24594 2059 18.011
298.89014 1087 9.509
323.87622 2661 23.278
325.88623 8789 76.883
326.88425 1694 14.819
327.88873 12342 107.968
328.88882 1648 14.418
329.88824 5565 48.685
403.80298 21659 189.469
404.80603 2705 23.66
405.80158 67976 594.648
406.80542 7892 69.039
407.79965 66587 582.502
408.80197 7783 68.083
409.79813 19859 173.73
410.80051 2499 21.86
//

