ACCESSION: MSBNK-NILU-
RECORD_TITLE: PBDE-126; GC-EI-TOF; MS; Positive
DATE: 2025.04.02
AUTHORS: MILK, NILU
LICENSE: CC BY
COPYRIGHT: MILK, NILU
CH$NAME: PBDE-126
CH$NAME: 3,3',4,4',5-Pentabromodiphenyl ether
CH$COMPOUND_CLASS: Non-Natural Product; Brominated Flame Retardant
CH$FORMULA: C12H5Br5O
CH$EXACT_MASS: 559.62571
CH$SMILES: BrC1C=CC(=CC=1Br)OC1=CC(Br)=C(Br)C(Br)=C1
CH$IUPAC: InChI=1S/C12H5Br5O/c13-8-2-1-6(3-9(8)14)18-7-4-10(15)12(17)11(16)5-7/h1-5H
AC$INSTRUMENT: Agilent 7200 QTOF
AC$INSTRUMENT_TYPE: GC-EI-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: INJECTION_TEMPERATURE 280 C
AC$CHROMATOGRAPHY: KOVATS_RTI 2656.472
MS$FOCUSED_ION: BASE_PEAK 563.6205
PK$SPLASH: splash10-03xr-4452590000-3ad6f0e8d0d6d1c35b87
PK$NUM_PEAK: 161
PK$PEAK: m/z int. rel.int.
28.00605 2318 74.017
29.00329 58 1.855
29.03915 295 9.419
38.01543 235 7.501
39.02354 1324 42.283
41.03934 1126 35.965
43.05499 1739 55.553
45.02274 263 8.415
47.96651 99 3.155
50.01528 1229 39.249
55.08128 228 7.274
57.07039 677 21.612
60.02114 45 1.446
61.00798 1650 52.685
62.01483 4604 147.056
63.02309 7367 235.288
63.961 269 8.597
64.02997 660 21.083
65.0387 788 25.172
69.06986 397 12.68
70.07742 786 25.116
71.08531 1564 49.945
71.11253 126 4.011
72.08983 97 3.083
73.0078 1405 44.86
74.01498 11400 364.102
74.03662 855 27.299
75.02268 9736 310.963
76.02978 1262 40.316
77.03854 120 3.824
78.91637 570 18.203
79.05413 98 3.135
79.92515 994 31.758
80.91529 521 16.63
81.92332 996 31.815
83.08524 141 4.504
84.09282 163 5.209
85.10066 388 12.396
86.01532 380 12.136
89.03815 297 9.492
90.04524 300 9.568
91.05391 110 3.525
96.00274 76 2.44
97.10068 538 17.178
99.11605 341 10.888
103.05229 146 4.648
105.03276 138 4.408
105.06935 443 14.146
106.07719 64 2.055
107.08476 71 2.269
108.47955 877 28.002
109.10034 435 13.906
110.10774 283 9.052
112.12407 140 4.477
113.13354 102 3.273
119.08536 95 3.044
120.0922 126 4.009
121.10114 86 2.734
121.9744 969 30.935
122.97608 1151 36.769
123.11732 66 2.096
124.12418 77 2.467
126.1399 65 2.068
128.06223 129 4.134
129.06902 100 3.191
131.08492 43 1.366
134.10777 114 3.631
137.03856 4092 130.689
137.13046 110 3.511
138.04463 1441 46.01
139.05273 1136 36.283
140.93283 3141 100.313
141.06853 142 4.545
141.94034 1216 38.84
142.93109 3283 104.854
143.93684 1107 35.359
145.10162 102 3.242
147.43643 1334 42.613
148.4355 2308 73.724
149.1317 180 5.749
152.93227 4575 146.11
153.93965 3616 115.497
154.93184 3986 127.297
155.93846 3301 105.422
161.93401 1660 53.018
162.43368 1227 39.179
162.93622 2864 91.481
163.14764 132 4.22
163.93596 1357 43.338
165.06949 218 6.963
167.08421 153 4.896
169.93701 835 26.673
200.89227 2516 80.372
201.89253 7157 228.586
202.39362 1193 38.09
202.89101 7186 229.518
203.39313 1159 37.007
203.89047 2544 81.24
207.03125 916 29.267
209.03067 148 4.73
216.96432 2416 77.148
217.95467 1033 32.981
218.96199 2252 71.919
220.85539 1083 34.577
222.85637 2091 66.776
224.85196 1020 32.59
231.84996 1150 36.726
232.85562 1288 41.142
233.8476 2100 67.072
234.85686 2435 77.771
235.84876 1095 34.974
236.85496 1184 37.813
243.95226 1571 50.185
244.95891 1660 53.005
245.95555 1662 53.088
246.95708 1638 52.3
247.96489 976 31.182
251.85722 795 25.378
294.87183 4132 131.956
295.8793 902 28.813
296.87268 7600 242.729
297.87582 1424 45.474
298.87128 4090 130.636
322.86752 3923 125.285
323.87393 2446 78.122
324.86716 7439 237.59
325.87448 4776 152.521
326.86551 3790 121.047
327.87521 2282 72.872
374.78958 991 31.644
376.79279 1851 59.122
378.79279 1758 56.146
401.78644 2316 73.979
403.78671 7154 228.473
404.78659 1598 51.031
405.78738 8163 260.694
406.78906 1275 40.72
407.79205 4071 130.03
409.79394 992 31.684
454.70651 2150 68.666
456.70782 3010 96.142
458.70859 2127 67.938
481.71353 2118 67.644
483.7102 8226 262.728
484.71121 1509 48.205
485.70828 11887 379.661
486.71057 1690 53.982
487.70822 7475 238.745
488.70612 1072 34.229
489.7106 1697 54.187
559.62494 2963 94.618
561.62183 15707 501.638
562.62543 2087 66.65
563.62048 31279 999
563.69147 485 15.499
564.62116 3864 123.41
565.61792 31170 995.493
566.61993 3897 124.459
567.6156 14446 461.376
568.61743 1792 57.247
569.61768 2727 87.096
//

