ACCESSION: MSBNK-NILU-NL0461
RECORD_TITLE: PBDE-153; GC-EI-TOF; MS; Positive
DATE: 2025.04.02
AUTHORS: MILK, NILU
LICENSE: CC BY
COPYRIGHT: MILK, NILU
CH$NAME: PBDE-153
CH$NAME: 2,2′,4,4′,5,5′-Hexabromodiphenyl ether
CH$COMPOUND_CLASS: Non-Natural Product; Brominated Flame Retardant
CH$FORMULA: C12H4Br6O
CH$EXACT_MASS: 637.53622
CH$SMILES: BrC1C=C(Br)C(Br)=CC=1OC1C=C(Br)C(Br)=CC=1Br
CH$IUPAC: InChI=1S/C12H4Br6O/c13-5-1-9(17)11(3-7(5)15)19-12-4-8(16)6(14)2-10(12)18/h1-4H
AC$INSTRUMENT: Agilent 7200 QTOF
AC$INSTRUMENT_TYPE: GC-EI-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: INJECTION_TEMPERATURE 280 C
AC$CHROMATOGRAPHY: KOVATS_RTI 2784.341
MS$FOCUSED_ION: BASE_PEAK 483.6956
PK$SPLASH: splash10-001l-2231902000-669b1e6aa54fe0841155
PK$NUM_PEAK: 194
PK$PEAK: m/z int. rel.int.
  27.02333 156 2.514
  29.03897 621 9.995
  31.98975 1786 28.747
  37.00866 511 8.231
  38.01534 627 10.1
  39.02361 171 2.748
  39.96236 235 3.778
  40.03094 375 6.04
  41.03934 585 9.421
  42.01102 216 3.481
  42.04681 532 8.569
  44.05803 77 1.233
  45.03435 69 1.109
  50.01575 571 9.192
  51.02281 143 2.298
  52.03079 147 2.37
  53.03914 335 5.387
  55.0179 232 3.734
  55.05458 717 11.549
  56.06244 627 10.087
  57.07035 1717 27.642
  60.02124 295 4.744
  61.00761 2971 47.82
  62.01524 10028 161.411
  63.02289 2969 47.782
  64.03022 160 2.57
  67.05446 493 7.933
  67.51129 1040 16.738
  68.01478 1041 16.762
  69.0698 1003 16.145
  71.11517 407 6.551
  72.08746 118 1.903
  73.00732 3049 49.071
  73.04639 262 4.223
  74.01536 20297 326.705
  75.02333 4013 64.601
  76.0317 326 5.247
  78.91672 1085 17.464
  79.05396 349 5.619
  79.92498 2053 33.045
  80.91511 966 15.547
  81.06965 976 15.717
  81.92324 2121 34.138
  83.08547 490 7.884
  85.10077 161 2.597
  86.01418 1238 19.922
  87.02267 669 10.766
  90.0456 94 1.516
  92.06142 947 15.237
  95.08523 723 11.631
  96.00382 260 4.18
  96.09194 157 2.535
  97.10156 317 5.106
  98.10827 453 7.298
  105.03292 280 4.512
  105.06985 113 1.818
  106.07699 113 1.821
  108.09201 110 1.766
  108.47298 1057 17.017
  110.01439 1239 19.95
  110.10702 500 8.046
  111.11597 282 4.536
  112.12402 198 3.191
  115.05433 106 1.704
  117.06849 282 4.545
  119.08491 205 3.302
  121.10126 77 1.242
  125.13191 176 2.826
  127.14873 101 1.621
  128.15593 62 1
  129.06796 77 1.243
  131.08672 104 1.674
  134.01459 867 13.95
  135.02251 1690 27.198
  135.11502 262 4.221
  136.03104 2444 39.335
  137.03816 2476 39.857
  137.13158 138 2.219
  140.93268 10091 162.431
  141.06938 79 1.266
  142.07516 179 2.887
  142.93077 9299 149.678
  145.09955 157 2.534
  146.93286 838 13.484
  147.11658 65 1.051
  147.43292 962 15.478
  147.93308 1283 20.648
  148.93138 856 13.784
  149.13228 201 3.235
  151.14891 133 2.147
  151.92685 1929 31.045
  152.93265 6922 111.425
  153.92317 2360 37.984
  154.93127 6790 109.288
  155.0863 95 1.525
  155.93703 1508 24.268
  161.93147 2077 33.43
