ACCESSION: KO002481
RECORD_TITLE: Na-Benzenolarginine ethylester; LC-ESI-QQ; MS2; CE:40 V; [M+H]+
DATE: 2016.01.19 (Created 2007.07.07, modified 2011.05.10)
AUTHORS: Kakazu Y, Horai H, Institute for Advanced Biosciences, Keio Univ.
LICENSE: CC BY-NC-SA
COMMENT: KEIO_ID B026
CH$NAME: Na-Benzenolarginine ethylester
CH$NAME: Bz-Arg-OEt
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C15H22N4O3
CH$EXACT_MASS: 306.16919
CH$SMILES: CCOC(=O)C(CCCNC(N)=N)NC(=O)c(c1)cccc1
CH$IUPAC: InChI=1S/C15H22N4O3/c1-2-22-14(21)12(9-6-10-18-15(16)17)19-13(20)11-7-4-3-5-8-11/h3-5,7-8,12H,2,6,9-10H2,1H3,(H,19,20)(H4,16,17,18)
CH$LINK: KEGG C01670
CH$LINK: PUBCHEM SID:4815
CH$LINK: INCHIKEY YQDHCCVUYCIGSW-UHFFFAOYSA-N
AC$INSTRUMENT: API3000, Applied Biosystems
AC$INSTRUMENT_TYPE: LC-ESI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 40 V
MS$FOCUSED_ION: PRECURSOR_M/Z 307
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0a4i-2900000000-d063164c9eaf490e0107
PK$NUM_PEAK: 112
PK$PEAK: m/z int. rel.int.
  42.800 158416.0 1
  44.600 29703.0 1
  55.400 361386.5 1
  56.300 34653.5 1
  57.100 79208.0 1
  57.400 29703.0 1
  59.200 54455.5 1
  60.000 1163367.5 3
  68.100 346535.0 1
  69.200 158416.0 1
  70.000 37069344.0 86
  71.100 29495079.0 69
  72.000 6415848.0 15
  73.200 1004951.5 2
  74.000 89109.0 1
  75.100 64356.5 1
  77.200 10193079.5 24
  78.100 54455.5 1
  79.100 836634.5 2
  80.200 450495.5 1
  80.800 306931.0 1
  82.200 168317.0 1
  83.900 79208.0 1
  85.400 1133664.5 3
  86.200 247525.0 1
  87.000 163366.5 1
  88.300 188119.0 1
  89.100 44554.5 1
  90.900 69307.0 1
  95.000 17430710.5 41
  96.200 480198.5 1
  97.200 4242578.5 10
  97.900 5108916.0 12
  99.000 6836640.5 16
  100.000 39604.0 1
  100.900 39604.0 1
  102.000 420792.5 1
  102.800 232673.5 1
  104.100 5717827.5 13
  105.100 429153894.5 999
  105.600 2178220.0 5
  106.200 133663.5 1
  107.700 14851.5 1
  110.200 232673.5 1
  111.300 133663.5 1
  112.300 4084162.5 10
  113.200 13801994.0 32
  114.000 5217827.0 12
  115.300 698020.5 2
  116.200 851486.0 2
  117.100 361386.5 1
  121.000 128713.0 1
  122.200 21698041.5 51
  123.200 396040.0 1
  124.200 450495.5 1
  126.000 381188.5 1
  127.000 1019803.0 2
  129.100 74257.5 1
  130.100 1816833.5 4
  131.000 108911.0 1
  132.100 69307.0 1
  134.100 207921.0 1
  138.300 99010.0 1
  140.100 123762.5 1
  141.200 866337.5 2
  142.200 3514855.0 8
  144.200 2361388.5 5
  145.100 792080.0 2
  146.300 128713.0 1
  148.200 158416.0 1
  150.400 292079.5 1
  156.200 301980.5 1
  157.400 113861.5 1
  157.900 772278.0 2
  159.100 450495.5 1
  160.200 34653.5 1
  164.300 44554.5 1
  169.300 277228.0 1
  170.200 495050.0 1
  172.200 89109.0 1
  173.200 3960400.0 9
  174.300 9693079.0 23
  175.200 118812.0 1
  176.200 321782.5 1
  177.800 34653.5 1
  184.100 193069.5 1
  184.800 19802.0 1
  186.100 163366.5 1
  187.100 1306932.0 3
  189.400 74257.5 1
  192.400 554456.0 1
  198.100 336634.0 1
  199.400 188119.0 1
  200.500 217822.0 1
  201.200 2475250.0 6
  202.200 1668318.5 4
  206.200 34653.5 1
  212.400 59406.0 1
  216.300 4232677.5 10
  219.500 5519807.5 13
  220.300 3029706.0 7
  230.500 59406.0 1
  244.300 108911.0 1
  245.300 44554.5 1
  247.600 2084160.5 5
  248.300 6955452.5 16
  261.200 39604.0 1
  262.200 995050.5 2
  273.500 153465.5 1
  279.500 118812.0 1
  290.500 841585.0 2
  307.700 108911.0 1
//
