ACCESSION: KO004164
RECORD_TITLE: Tetrahydropalmatine; LC-ESI-QQ; MS2; CE:30 V; [M+H]+
DATE: 2016.01.19 (Created 2007.07.07, modified 2011.05.10)
AUTHORS: Kakazu Y, Horai H, Institute for Advanced Biosciences, Keio Univ.
LICENSE: CC BY-NC-SA
COMMENT: KEIO_ID T041
CH$NAME: Tetrahydropalmatine
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C21H25NO4
CH$EXACT_MASS: 355.17836
CH$SMILES: COc(c4)c(OC)cc(c34)C(C1)N(CC3)Cc(c(OC)2)c(ccc(OC)2)1
CH$IUPAC: InChI=1S/C21H25NO4/c1-23-18-6-5-13-9-17-15-11-20(25-3)19(24-2)10-14(15)7-8-22(17)12-16(13)21(18)26-4/h5-6,10-11,17H,7-9,12H2,1-4H3
CH$LINK: CAS 10097-84-4
CH$LINK: CHEBI 16563
CH$LINK: KEGG C02890
CH$LINK: NIKKAJI J31.846I
CH$LINK: PUBCHEM SID:5820
CH$LINK: INCHIKEY AEQDJSLRWYMAQI-UHFFFAOYSA-N
AC$INSTRUMENT: API3000, Applied Biosystems
AC$INSTRUMENT_TYPE: LC-ESI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30 V
MS$FOCUSED_ION: PRECURSOR_M/Z 356
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-052f-0905000000-54cdccff1d57303554a0
PK$NUM_PEAK: 109
PK$PEAK: m/z int. rel.int.
  68.300 24752.5 1
  70.800 14851.5 1
  76.100 9901.0 1
  91.000 49505.0 1
  97.300 19802.0 1
  98.800 14851.5 1
  102.800 44554.5 1
  105.000 381188.5 1
  106.800 94059.5 1
  111.700 24752.5 1
  112.100 39604.0 1
  118.200 69307.0 1
  119.300 69307.0 1
  120.500 44554.5 1
  121.300 39604.0 1
  123.500 24752.5 1
  130.000 777228.5 3
  131.000 99010.0 1
  133.000 455446.0 2
  133.900 217822.0 1
  135.000 519802.5 2
  136.200 217822.0 1
  136.500 24752.5 1
  137.200 89109.0 1
  139.100 257426.0 1
  139.900 34653.5 1
  145.300 29703.0 1
  146.100 54455.5 1
  148.000 168317.0 1
  149.300 94059.5 1
  150.200 6331689.5 23
  151.200 3455449.0 12
  158.100 79208.0 1
  159.100 198020.0 1
  159.900 163366.5 1
  161.300 193069.5 1
  163.100 59406.0 1
  165.400 65005015.5 234
  167.100 103960.5 1
  174.200 326733.0 1
  175.100 509901.5 2
  176.100 782179.0 3
  177.300 1504952.0 5
  178.400 74257.5 1
  179.200 277228.0 1
  180.000 108911.0 1
  181.700 24752.5 1
  187.300 74257.5 1
  188.200 24752.5 1
  189.200 1722774.0 6
  190.200 7549512.5 27
  191.100 737624.5 3
  192.400 277549782.5 999
  193.700 49505.0 1
  200.300 49505.0 1
  201.500 49505.0 1
  203.500 74257.5 1
  204.300 3262379.5 12
  205.300 2450497.5 9
  206.500 49505.0 1
  218.500 133663.5 1
  232.400 29703.0 1
  236.000 9901.0 1
  246.400 9901.0 1
  248.000 34653.5 1
  249.300 103960.5 1
  250.500 14851.5 1
  253.000 24752.5 1
  263.200 24752.5 1
  264.000 74257.5 1
  264.500 94059.5 1
  266.100 24752.5 1
  267.200 49505.0 1
  269.200 34653.5 1
  276.200 59406.0 1
  277.400 99010.0 1
  278.600 54455.5 1
  279.500 69307.0 1
  280.400 178218.0 1
  281.700 183168.5 1
  282.600 138614.0 1
  291.200 29703.0 1
  292.400 123762.5 1
  293.300 915842.5 3
  294.700 173267.5 1
  295.500 485149.0 2
  296.400 361386.5 1
  297.500 54455.5 1
  298.600 123762.5 1
  299.600 44554.5 1
  306.700 108911.0 1
  308.500 3841588.0 14
  309.500 707921.5 3
  310.600 247525.0 1
  311.400 133663.5 1
  312.500 866337.5 3
  313.700 331683.5 1
  322.600 504951.0 2
  323.500 544555.0 2
  324.700 2316834.0 8
  325.600 257426.0 1
  326.600 628713.5 2
  327.600 1282179.5 5
  337.700 34653.5 1
  339.400 2301982.5 8
  340.600 2925745.5 11
  341.600 3554459.0 13
  354.700 504951.0 2
  356.700 200015051.5 720
//
