ACCESSION: KO002245
RECORD_TITLE: Apramycin; LC-ESI-QQ; MS2; CE:30 V; [M+2H]++
DATE: 2016.01.19 (Created 2007.07.07, modified 2011.05.10)
AUTHORS: Kakazu Y, Horai H, Institute for Advanced Biosciences, Keio Univ.
LICENSE: CC BY-NC-SA
COMMENT: KEIO_ID A100
CH$NAME: Apramycin sulfate
CH$NAME: Apramycin
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C21H41N5O11
CH$EXACT_MASS: 539.28026
CH$SMILES: OC[C@@H](O1)[C@@H](N)[C@H](O)[C@@H](O)[C@H]1O[C@H](O2)[C@@H](NC)[C@@H](O)[C@@H](O3)[C@@H](C[C@@H](N)[C@@H](O[C@H]([C@@H](N)4)[C@H](O)[C@@H](O)[C@H](N)C4)3)2
CH$IUPAC: InChI=1S/C21H41N5O11/c1-26-11-14(30)18-8(33-20(11)37-21-16(32)13(29)10(25)9(4-27)34-21)3-7(24)19(36-18)35-17-6(23)2-5(22)12(28)15(17)31/h5-21,26-32H,2-4,22-25H2,1H3/t5-,6+,7-,8-,9-,10-,11+,12+,13+,14-,15-,16-,17-,18+,19+,20+,21-/m1/s1
CH$LINK: CAS 37321-09-8
CH$LINK: KEGG C01555
CH$LINK: NIKKAJI J139.315D
CH$LINK: PUBCHEM SID:4713
CH$LINK: INCHIKEY XZNUGFQTQHRASN-UXNWEDNLSA-N
AC$INSTRUMENT: API3000, Applied Biosystems
AC$INSTRUMENT_TYPE: LC-ESI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30 V
MS$FOCUSED_ION: PRECURSOR_M/Z 270.5
MS$FOCUSED_ION: PRECURSOR_TYPE [M+2H]++
PK$SPLASH: splash10-03xr-6920000000-7b79e57ebec0be3ba142
PK$NUM_PEAK: 139
PK$PEAK: m/z int. rel.int.
  43.700 34653.5 5
  53.200 39604.0 6
  55.300 74257.5 12
  56.200 242574.5 38
  56.500 29703.0 5
  58.100 133663.5 21
  60.000 1712873.0 266
  66.800 39604.0 6
  68.100 1163367.5 181
  68.900 688119.5 107
  70.100 366337.0 57
  70.900 128713.0 20
  71.900 1707922.5 266
  72.900 371287.5 58
  73.800 410891.5 64
  76.100 29703.0 5
  80.200 410891.5 64
  80.900 495050.0 77
  82.100 1262377.5 196
  83.400 257426.0 40
  84.100 4049509.0 630
  84.900 861387.0 134
  86.200 886139.5 138
  86.800 163366.5 25
  88.100 108911.0 17
  88.900 19802.0 3
  90.000 1851487.0 288
  91.200 29703.0 5
  92.400 123762.5 19
  93.100 59406.0 9
  94.100 222772.5 35
  95.100 128713.0 20
  96.200 2480200.5 386
  96.800 698020.5 109
  97.900 1277229.0 199
  99.100 366337.0 57
  100.000 346535.0 54
  100.800 272277.5 42
  102.000 2797032.5 435
  102.800 178218.0 28
  104.400 24752.5 4
  105.200 24752.5 4
  106.200 74257.5 12
  108.000 500000.5 78
  109.100 693070.0 108
  110.100 1782180.0 277
  111.200 1787130.5 278
  112.100 252475.5 39
  112.900 74257.5 12
  114.200 564357.0 88
  114.800 103960.5 16
  116.400 584159.0 91
  118.000 282178.5 44
  119.900 29703.0 5
  121.300 59406.0 9
  122.400 386139.0 60
  124.000 366337.0 57
  126.200 2247527.0 349
  127.000 212871.5 33
  128.000 782179.0 122
  130.300 39604.0 6
  131.900 99010.0 15
  133.800 39604.0 6
  134.800 252475.5 39
  136.300 460396.5 72
  138.200 158416.0 25
  138.900 89109.0 14
  140.300 232673.5 36
  142.300 371287.5 58
  144.200 2034655.5 316
  145.100 1519803.5 236
  146.100 445545.0 69
  146.800 49505.0 8
  149.000 34653.5 5
  149.900 311881.5 48
  151.300 123762.5 19
  152.200 262376.5 41
  153.100 227723.0 35
  154.200 168317.0 26
  157.200 94059.5 15
  158.000 34653.5 5
  162.100 2024754.5 315
  163.200 6356442.0 988
  164.100 430693.5 67
  165.500 24752.5 4
  166.400 34653.5 5
  168.200 470297.5 73
  170.300 99010.0 15
  172.400 64356.5 10
  173.100 49505.0 8
  174.400 19802.0 3
  175.500 94059.5 15
  175.800 39604.0 6
  178.900 24752.5 4
  180.100 44554.5 7
  181.200 321782.5 50
  182.000 242574.5 38
  183.100 84158.5 13
  185.900 128713.0 20
  187.300 103960.5 16
  194.500 34653.5 5
  196.100 29703.0 5
  198.000 64356.5 10
  199.200 1579209.5 246
  200.400 678218.5 105
  201.600 331683.5 52
  202.500 54455.5 8
  204.000 19802.0 3
  208.300 29703.0 5
  211.100 99010.0 15
  213.200 49505.0 8
  215.100 49505.0 8
  216.300 59406.0 9
  217.400 6425749.0 999
  218.500 425743.0 66
  219.500 24752.5 4
  225.300 123762.5 19
  226.900 44554.5 7
  229.000 99010.0 15
  231.400 29703.0 5
  235.700 44554.5 7
  237.300 34653.5 5
  240.400 24752.5 4
  253.200 287129.0 45
  254.100 118812.0 18
  255.600 99010.0 15
  271.300 584159.0 91
  272.700 64356.5 10
  273.400 34653.5 5
  277.500 44554.5 7
  280.600 39604.0 6
  289.400 371287.5 58
  295.400 59406.0 9
  308.600 138614.0 22
  313.400 113861.5 18
  326.600 99010.0 15
  327.200 24752.5 4
  331.500 34653.5 5
  344.400 89109.0 14
//
