ACCESSION: JEL00043
RECORD_TITLE: Morphine; MALDI-TOFTOF; MS2; CE: 20keV; [M+H]+
DATE: 2016.01.19 (Created 2012.06.18)
AUTHORS: JEOL Ltd.
LICENSE: CC BY-NC-SA
COPYRIGHT: Copyright (c) 2012 JEOL Ltd.
CH$NAME: Morphine
CH$COMPOUND_CLASS: Natural Product
CH$FORMULA: C17H19NO3
CH$EXACT_MASS: 285.13649
CH$SMILES: Oc(c5)c(O4)c(c(c5)1)C(C2)(C([H])34)C([H])(C=CC(O)3)C([H])(N(C)C2)C1
CH$IUPAC: InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2-5,10-11,13,16,19-20H,6-8H2,1H3/t10-,11+,13-,16-,17-/m0/s1
CH$LINK: INCHIKEY BQJCRHHNABKAKU-KBQPJGBKSA-N
AC$INSTRUMENT: JMS-S3000
AC$INSTRUMENT_TYPE: MALDI-TOFTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_M/Z 286.14377
PK$SPLASH: splash10-002f-9200000000-77d1b224936bb66ff63e
PK$NUM_PEAK: 213
PK$PEAK: m/z int. rel.int.
  170.10233 905970 15
  171.08714 4072884 68
  172.09146 903571 15
  173.09287 1861329 31
  174.09757 1376874 23
  175.09792 376345 6
  176.10355 638225 11
  177.11481 370658 6
  178.12986 1149796 19
  179.09994 651444 11
  180.10931 674285 11
  181.09708 6017057 100
  182.11568 1135144 19
  183.10612 1183697 20
  184.09305 2125704 35
  185.09154 2104959 35
  186.11607 877721 15
  187.10193 669911 11
  188.10225 390376 6
  189.09775 440141 7
  190.08099 293455 5
  191.12822 363681 6
  193.10713 790676 13
  194.12816 599812 10
  195.10225 1012096 17
  196.10964 439660 7
  197.0914 2836140 47
  198.07708 2049036 34
  199.09856 1644590 27
  200.10106 1265975 21
  201.09626 1481774 25
  202.08675 950846 16
  205.08423 212435 4
  207.09979 465838 8
  208.0786 449158 7
  209.09832 3012402 50
  210.08421 1462910 24
  211.08495 1853237 31
  212.07741 616488 10
  213.09471 999940 17
  214.10078 1076687 18
  215.11213 1604590 27
  216.11606 717169 12
  219.07444 218521 4
  221.08597 326031 5
  222.08894 290703 5
  223.09163 570571 9
  224.06848 524914 9
  225.08782 726008 12
  226.05919 2168804 36
  227.0727 2771954 46
  228.06718 1578294 26
  229.0636 2802467 47
  237.03327 437520 7
  238.06856 387971 6
  239.06718 521670 9
  240.08791 1090241 18
  241.05245 603806 10
  242.06431 656983 11
  242.96314 293721 5
  250.07795 181740 3
  250.90901 102893 2
  252.02414 323745 5
  254.09517 385503 6
  256.09329 1001621 17
  257.09274 475378 8
  258.08186 323977 5
  266.01603 530204 9
  268.02049 4323516 72
  269.05177 1446610 24
//
