ACCESSION: FFF00265
RECORD_TITLE: Stigmasterol; LC-APPI-QQ; MS2; CE:60 V; [M-H2O+H]+
DATE: 2016.01.19 (Created 2011.04.05, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: Stigmasterol
CH$COMPOUND_CLASS: Natural Product; Sterol
CH$FORMULA: C29H48O
CH$EXACT_MASS: 412.37052
CH$SMILES: C(C4)C(C(CC4O)=3)(C(C(CC3)2)CCC(C21)(C(CC1)C(C)C=CC(C(C)C)CC)C)C
CH$IUPAC: InChI=1S/C29H48O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h8-10,19-21,23-27,30H,7,11-18H2,1-6H3/b9-8+/t20?,21?,23-,24?,25?,26?,27?,28?,29?/m0/s1
CH$LINK: CAS 83-48-7
CH$LINK: LIPIDBANK SST0019
CH$LINK: INCHIKEY HCXVJBMSMIARIN-WWUFFIEYSA-N
AC$INSTRUMENT: API2000
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.820883 min
MS$FOCUSED_ION: BASE_PEAK 105.099998
MS$FOCUSED_ION: ION_TYPE [M-H2O+H]+
MS$FOCUSED_ION: PRECURSOR_M/Z 395.500000
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H2O+H]+
PK$SPLASH: splash10-0apj-9600000000-3bb7b9833e79c65f9cdd
PK$NUM_PEAK: 318
PK$PEAK: m/z int. rel.int.
  37.950001 3701.000000 1
  38.400002 1850.500000 1
  39.200001 7402.000000 1
  39.900002 1850.500000 1
  40.200001 1850.500000 1
  41.088680 196153.000000 28
  43.106789 1417483.000000 203
  44.200001 1850.500000 1
  44.500000 5551.500000 1
  49.799999 1850.500000 1
  50.500000 1850.500000 1
  50.900002 3701.000000 1
  51.200001 3701.000000 1
  51.500000 1850.500000 1
  52.000000 3701.000000 1
  53.215385 48113.000000 7
  53.599998 12953.500000 2
  55.092762 3323498.000000 477
  57.144522 1857902.000000 267
  57.900002 3701.000000 1
  62.700001 1850.500000 1
  63.200001 1850.500000 1
  63.700001 3701.000000 1
  64.000000 1850.500000 1
