ACCESSION: FFF00030
RECORD_TITLE: Coprostanone; LC-APPI-QQ; MS2; CE:50 V; [M-H2O+H]+
DATE: 2016.01.19 (Created 2011.01.24, modified 2011.06.20)
AUTHORS: Atsushi Yamamoto, PFOS.jp
LICENSE: CC BY-SA
COPYRIGHT: PFOS.jp
COMMENT: Disclaimer: While authors make an effort to ensure that the content of this record is accurate, the authors make no representations or warranties in relation to the accuracy or completeness of the record. This record do not reflect any viewpoints of the affiliation and organization to which the authors belong.
CH$NAME: Coprostanone
CH$COMPOUND_CLASS: Natural Product; Sterol
CH$FORMULA: C27H46O
CH$EXACT_MASS: 386.35487
CH$SMILES: C(C)(C1)(C(C(C)CCCC(C)C)4)C(CC4)C(C2)C(C(C)(C3)C([H])(CC(C3)=O)C2)C1
CH$IUPAC: InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h18-20,22-25H,6-17H2,1-5H3/t19?,20-,22?,23?,24?,25?,26?,27?/m1/s1
CH$LINK: CAS 601-53-6
CH$LINK: INCHIKEY PESKGJQREUXSRR-JAGYRSRJSA-N
AC$INSTRUMENT: API2000, Applied
AC$INSTRUMENT_TYPE: LC-APPI-QQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: RETENTION_TIME 0.820867 min
MS$FOCUSED_ION: BASE_PEAK 94.800003
MS$FOCUSED_ION: ION_TYPE [M-H2O+H]+
MS$FOCUSED_ION: PRECURSOR_M/Z 369.431000
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H2O+H]+
PK$SPLASH: splash10-0apj-9700000000-c4e9821d91977d30bbbc
PK$NUM_PEAK: 315
PK$PEAK: m/z int. rel.int.
  37.850000 3701.000000 1
  38.971429 12953.500000 1
  39.500000 3701.000000 1
  39.700001 1850.500000 1
  40.400002 7402.000000 1
  41.238889 133236.000000 9
  41.700001 5551.500000 1
  43.072844 1008522.500000 68
  43.900002 1850.500000 1
  49.900002 1850.500000 1
  50.966666 11103.000000 1
  52.299999 1850.500000 1
  53.200001 14804.000000 1
  55.054023 3541857.000000 239
  57.110784 4839057.500000 327
  58.350000 3701.000000 1
  58.650000 3701.000000 1
  59.900002 1850.500000 1
  61.099998 1850.500000 1
  61.350000 3701.000000 1
  63.350000 3701.000000 1
  63.700001 1850.500000 1
  64.000000 1850.500000 1
  64.250000 7402.000000 1
  65.175000 88824.000000 6
  67.108142 7409402.000000 500
  69.088333 10499737.000000 709
