ACCESSION: MSBNK-EPA-ENTACT_AGILENT001593
RECORD_TITLE: PharmaGSID_48511; ESI-QTOF; MS2; CE: 40; [M-H]-
DATE: 2023.09.19
AUTHORS: EPA CCTE and Agilent Technologies
LICENSE: CC BY
CH$NAME: PharmaGSID_48511
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C27H35F2N7O3
CH$EXACT_MASS: 543.2769444352
CH$SMILES: CN1CCC(CC1)NC(=O)C1C=CC(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)=C(C=1)OC
CH$IUPAC: InChI=1S/C27H35F2N7O3/c1-34-12-10-18(11-13-34)31-24(37)17-8-9-20(22(14-17)39-3)32-26-30-15-21-23(33-26)36(19-6-4-5-7-19)16-27(28,29)25(38)35(21)2/h8-9,14-15,18-19H,4-7,10-13,16H2,1-3H3,(H,31,37)(H,30,32,33)
CH$LINK: CAS 1062243-51-9
CH$LINK: INCHIKEY DJNZZLZKAXGMMC-UHFFFAOYSA-N
CH$LINK: PUBCHEM CID:25015677
AC$INSTRUMENT: N/A
AC$INSTRUMENT_TYPE: ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 40
MS$FOCUSED_ION: PRECURSOR_M/Z 542.2696679835
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
MS$DATA_PROCESSING: WHOLE Agilent ChemVista Version 1.0
PK$SPLASH: splash10-00fu-0056790000-ca4ec0f190a4040e0cc7
PK$NUM_PEAK: 151
PK$PEAK: m/z int. rel.int.
  387.15123 13.94714 139
  388.160398 1.298641 12
  390.168397 1.174309 11
  392.184047 1.968861 19
  393.146933 1.621092 16
  394.162409 5.708289 57
  395.170234 44.372579 443
  396.172694 3.184608 31
  397.178233 10.067069 100
  401.165737 2.773263 27
  402.174705 9.177615 91
  405.202203 1.150383 11
  408.159174 1.063882 10
  409.178233 2.107221 21
  410.142262 2.862307 28
  410.194611 40.229051 401
  411.155253 2.13143 21
  411.193883 4.307465 43
  412.175654 2.616707 26
  415.188798 1.222672 12
  418.184876 1.202967 12
  419.171136 2.323877 23
  421.178233 1.88411 18
  422.181133 3.031297 30
  423.15143 1.196478 11
  423.202436 1.49328 14
  425.17429 9.076207 90
  428.169226 1.005242 10
  429.20579 5.768499 57
  430.173642 1.698772 16
  430.210028 7.85191 78
  431.208864 1.315332 13
  432.215347 1.37897 13
  434.192366 1.052809 10
  434.228752 1.860371 18
  437.17697 1.852932 18
  438.168397 3.234334 32
  438.193549 2.337369 23
  439.176222 1.6836 16
  442.181053 3.027381 30
  442.231157 1.298473 12
  444.176716 2.423014 24
  444.222998 1.456851 14
  446.194611 1.362688 13
  446.228752 1.018596 10
  449.209533 2.378384 23
  450.217358 2.811562 28
  454.199697 3.866118 38
  457.180519 1.544771 15
  458.173482 7.056297 70
  458.194611 8.424551 84
  459.181307 9.142642 91
  459.202436 10.53712 105
  460.19544 1.587724 15
  462.225911 2.690707 26
  463.226326 1.054222 10
  465.241976 1.289154 12
  466.200839 1.859636 18
  470.23214 3.809638 38
  471.202436 1.145169 11
  472.206674 4.566602 45
  474.205925 5.688245 56
  477.205591 1.353587 13
  479.208665 1.908857 19
  486.222324 12.512023 124
  487.233736 9.16874 91
  490.237225 6.586473 65
  492.21649 1.880495 18
  496.227803 3.23317 32
  506.23214 15.047516 150
  507.239965 24.699709 246
  508.240379 1.9065 19
  510.243453 1.969631 19
  512.222718 5.212093 52
  522.26344 32.423089 323
  523.271265 2.466931 24
  526.238368 3.378995 33
  527.246193 100 999
  528.254018 7.995812 79
  542.269668 98.232855 981
//
