  332.0408 33.2248 25
  334.0559 253.8719 198
  337.0571 8.658 6
  339.0276 28.9149 22
  340.0196 232.4555 181
  341.0067 20.502 16
  342.0139 5.4933 4
  345.0157 43.4788 33
  352.022 6.6173 5
  353.991 5.1779 4
  355.0157 7.3079 5
  356.0088 53.0442 41
  357.015 48.1366 37
  358.0117 5.2232 4
  368.0201 57.385 44
  370.0121 42.1829 32
  371.0017 9.1971 7
  372.0091 9.2055 7
  373.0212 57.5013 44
  383.006 37.3718 29
  385.0206 56.7043 44
  386.015 46.7439 36
  387.0007 8.5773 6
  397.0087 15.8897 12
  398.0149 60.7857 47
  399.0098 7.669 5
  401.0164 174.3077 136
  414.012 34.4037 26
  417.0106 11.8433 9
  418.9847 25.0729 19
  431.9777 17.2633 13
  464.9768 9.995 7
//
