  189.114 1.2 23
  190.0859 1.1 21
  190.1214 1.5 29
  194.1161 1.0 19
  202.1199 0.8 15
  204.1013 1.8 34
  204.1374 3.1 60
  205.1217 1.8 34
  206.116 1.1 21
  208.132 3.0 58
  215.1052 0.9 17
  222.1125 0.7 13
  222.1483 7.5 145
  223.1369 0.7 13
  224.1631 1.6 31
  232.1321 1.2 23
  234.1493 3.5 67
  250.1433 13.6 263
  251.1521 2.2 42
  252.1591 2.5 48
//
